ID,KIND_OF_CONDITION_ID,KIND_OF_CONDITION,CONDITION_DATA_SET_ID,KIND_OF_PART_ID,KIND_OF_PART,PART_ID,PART_NAME_LABEL,VTH_V,KIND_OF_HM_FLUTE_ID,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_CONFIG_ID,KIND_OF_HM_SET_ID,PROCEDURE_TYPE,EQUIPMENT,WAITING_TIME_S,AC_FREQ_HZ,AC_AMPL_V,CORR_OPEN_PFRD,TEMP_SET_DEGC,AV_TEMP_DEGC,FILE_NAME,Location
21936168,9160,Tracker Halfmoon TC Parameters,2050076,7500,PS-s Halfmoon W,26259,34252_010_PSS_HM_WW,4.38,PQC1,VDP_POLY,Rotated,Right,VdP-polySi,PQC_HM_POSITION 4,0.2,,,,20.0,20.085,Test_HPK_VPX34252_010_PSS_HM_WW_West_North_PQC1_VdP-polySi_VDPPoly_r_Run01_09_03_2020_07_20_07_PM.txt,Brown
21886111,9160,Tracker Halfmoon TC Parameters,2048399,7500,PS-s Halfmoon W,26259,34252_010_PSS_HM_WW,4.236,PQC1,VDP_POLY,Rotated,Right,VdP-polySi,PQC_HM_POSITION 4,0.2,,,,20.0,20.085,Test_HPK_VPX34252_010_PSS_HM_WW_West_North_PQC1_VdP-polySi_VDPPoly_r_Run01_09_03_2020_07_20_07_PM.txt,Brown
21841835,9160,Tracker Halfmoon TC Parameters,2046743,7480,PS-s Halfmoon E,26260,34252_011_PSS_HM_EE,4.335,PQC4,CC_STRIP,Not Used,Right,ContactChain-Strip,PQC_HM_POSITION 1,0.2,,,,20.0,20.064,Test_HPK_VPX34252_011_PSS_HM_EE_East_South_PQC4_ContactChain-Strip_CCStrip_IV_Run01_09_01_2020_08_35_37_PM.txt,Brown
21886108,9160,Tracker Halfmoon TC Parameters,2048249,7480,PS-s Halfmoon E,26260,34252_011_PSS_HM_EE,4.356,PQC4,CC_STRIP,Not Used,Right,ContactChain-Strip,PQC_HM_POSITION 1,0.2,,,,20.0,20.064,Test_HPK_VPX34252_011_PSS_HM_EE_East_South_PQC4_ContactChain-Strip_CCStrip_IV_Run01_09_01_2020_08_35_37_PM.txt,Brown
21841829,9160,Tracker Halfmoon TC Parameters,2046395,7500,PS-s Halfmoon W,26265,34252_011_PSS_HM_WW,4.217,PQC1,FET_PSS,Not Used,Left,FET1,PQC_HM_POSITION 2,0.01,,,,20.0,20.116,Test_HPK_VPX34252_011_PSS_HM_WW_West_South_PQC1_FET1_FETPSs_trans_Run01_09_02_2020_04_50_37_PM.txt,Brown
21936170,9160,Tracker Halfmoon TC Parameters,2050130,7480,PS-s Halfmoon E,26266,34252_012_PSS_HM_EE,3.715,PQC4,GCD05,Not Used,Left,GCD,PQC_HM_POSITION 3,0.01,,,,20.0,20.123,Test_HPK_VPX34252_012_PSS_HM_EE_East_North_PQC4_GCD_GCD05_IV_Run01_09_02_2020_07_36_22_PM.txt,Brown
21886105,9160,Tracker Halfmoon TC Parameters,2048087,7480,PS-s Halfmoon E,26266,34252_012_PSS_HM_EE,4.359,PQC4,GCD05,Not Used,Left,GCD,PQC_HM_POSITION 3,0.01,,,,20.0,20.123,Test_HPK_VPX34252_012_PSS_HM_EE_East_North_PQC4_GCD_GCD05_IV_Run01_09_02_2020_07_36_22_PM.txt,Brown
21886110,9160,Tracker Halfmoon TC Parameters,2048387,7500,PS-s Halfmoon W,26271,34252_012_PSS_HM_WW,3.477,PQC4,CBKR_STRIP,Standard,Right,CBKR-strip,PQC_HM_POSITION 4,0.2,,,,20.0,20.074,Test_HPK_VPX34252_012_PSS_HM_WW_West_North_PQC4_CBKR-strip_CBKRStrip_s_Run01_09_02_2020_02_50_14_PM.txt,Brown
21841832,9160,Tracker Halfmoon TC Parameters,2046647,7500,PS-s Halfmoon W,26271,34252_012_PSS_HM_WW,4.304,PQC4,CBKR_STRIP,Standard,Right,CBKR-strip,PQC_HM_POSITION 4,0.2,,,,20.0,20.074,Test_HPK_VPX34252_012_PSS_HM_WW_West_North_PQC4_CBKR-strip_CBKRStrip_s_Run01_09_02_2020_02_50_14_PM.txt,Brown
21841833,9160,Tracker Halfmoon TC Parameters,2046704,7480,PS-s Halfmoon E,26284,34252_015_PSS_HM_EE,4.318,PQC2,LINEWIDTH_STRIP,Not Used,Right,Linewidth-strip,PQC_HM_POSITION 1,0.2,,,,20.0,20.019,Test_HPK_VPX34252_015_PSS_HM_EE_East_South_PQC2_Linewidth-strip_LinewidthStrip_Run01_08_25_2020_05_35_08_PM.txt,Brown
21936169,9160,Tracker Halfmoon TC Parameters,2050091,7480,PS-s Halfmoon E,26284,34252_015_PSS_HM_EE,4.367,PQC2,LINEWIDTH_STRIP,Not Used,Right,Linewidth-strip,PQC_HM_POSITION 1,0.2,,,,20.0,20.019,Test_HPK_VPX34252_015_PSS_HM_EE_East_South_PQC2_Linewidth-strip_LinewidthStrip_Run01_08_25_2020_05_35_08_PM.txt,Brown
21936167,9160,Tracker Halfmoon TC Parameters,2049974,7500,PS-s Halfmoon W,26289,34252_015_PSS_HM_WW,4.387,PQC3,VDP_EDGE,Rotated,Right,VdP-pPlus,PQC_HM_POSITION 2,0.2,,,,20.0,20.022,Test_HPK_VPX34252_015_PSS_HM_WW_West_North_PQC3_VdP-pPlus_VDPEdge_r_Run01_08_25_2020_07_26_09_PM.txt,Brown
