Name,Type,Location,Average,Std.dev
38868,2-S,HEPHY,116300012500.0,1064374309.3949602
38869,2-S,Demokritos,56730714285.71429,8662308685.231771
38870,2-S,Demokritos,63082142857.14286,1867557757.6133966
38871,2-S,HEPHY,109577587500.0,1682306098.9308693
38872,2-S,Demokritos,59582500000.0,2176409504.9721994
38873,2-S,Brown,79938028000.0,2618545783.8689365
38874,2-S,Brown,83762160833.33333,2391158256.168901
38875,2-S,Brown,77387969000.0,3209989585.6163692
38876,2-S,Demokritos,62566250000.0,1645365243.863588
38877,2-S,Perugia,67963225397.324066,3338563696.321571
38878,2-S,HEPHY,113098625000.0,3686614366.6874986
38879,2-S,HEPHY,108228375000.0,2255093435.0191946
38880,2-S,HEPHY,119390850000.0,2389220120.248446
38881,2-S,Demokritos,60170000000.0,282842712.47461903
38882,2-S,Demokritos,41412142857.14286,4839609295.373763
38883,2-S,Demokritos,63239285714.28571,2530911858.434591
38884,2-S,Demokritos,57371428571.42857,3868034398.7470064
38885,2-S,HEPHY,109460493750.0,1807246826.5894783
38920,PSS,Perugia,74068970085.42032,2221165320.4888377
38921,PSS,Perugia,71378966223.46466,5841431817.543969
38922,PSS,Perugia,73717224340.32494,2145677670.4690819
39478,PSS,Perugia,69247768568.74576,3195516160.8450603
39479,PSS,Demokritos,64271428571.42857,1735178364.3314464
39480,2-S,HEPHY,90386161875.0,3356647341.290052
39481,2-S,HEPHY,112229368750.0,2505456584.262638
39482,2-S,HEPHY,103482361875.0,2457780629.2513
39483,2-S,HEPHY,111823124117.64706,8536719765.87836
39484,2-S,Demokritos,58172142857.14286,3695066136.974243
39485,2-S,Perugia,77298097609.332,3051932141.5050244
39486,2-S,HEPHY,114565300000.0,1935593760.064339
39487,2-S,Demokritos,62107142857.14286,1911026207.0471892
39488,2-S,Perugia,77854481682.69034,3048143744.024666
39547,PSS,Demokritos,58999285714.28571,5403244700.79815
39548,PSS,HEPHY,115925530000.0,6795677908.254396
39562,PSS,HEPHY,106812105000.0,4024341099.579296
39563,PSS,Brown,75285310625.0,1630118320.337388
39564,2-S,Brown,82122225833.33333,2222289611.7557282
39565,2-S,Brown,85548718333.33333,2604280461.5158734
39566,2-S,Brown,77830044375.0,2987034094.8259897
39567,2-S,Brown,83771028750.0,2329950794.0551734
39568,2-S,Perugia,69371163950.16115,3017092195.070822
39569,2-S,Brown,78225298000.0,2854342987.767549
39570,2-S,Brown,84786370000.0,1723379962.3027635
39571,2-S,Brown,78374707500.0,2915617506.982257
39572,2-S,Brown,79512195000.0,2591897899.0751157
41352,2-S,Brown,85356422500.0,1667703128.8721626
41353,2-S,Perugia,68172094954.131996,1956652882.6237812
41354,2-S,Brown,75516053333.33333,1768660488.769208
41355,2-S,Perugia,76241799345.71124,2476403091.0438924
41356,2-S,Demokritos,57163571428.57143,5478316323.054896
41357,2-S,Demokritos,59647142857.14286,1914383871.762821
41727,PSS,Brown,74991805000.0,2850056198.8751464
41728,PSS,Perugia,48870904294.20487,3670979869.5364866
41729,PSS,Brown,75642350000.0,2240179026.6613345
41730,2-S,Demokritos,44620681818.181816,5382311856.410936
41731,2-S,Demokritos,54176000000.0,3876750861.4017644
41732,2-S,Demokritos,62627142857.14286,1576829583.1799786
41733,2-S,HEPHY,89268436250.0,7502034745.621908
41734,2-S,HEPHY,116364518750.0,1896574066.4748628
41735,2-S,HEPHY,88151150000.0,2881244171.883621
41736,2-S,Perugia,71684942802.24,2572192639.3859687
41737,2-S,Perugia,70859003358.149,2266946157.5575233
41738,2-S,Perugia,77205698396.31676,2532613327.062225
41739,2-S,Perugia,48820878638.434,2592977718.2726064
41740,2-S,Demokritos,54378000000.0,3708791262.8751373
41741,2-S,Demokritos,61047857142.85714,2158453419.4698706
41742,2-S,Perugia,75250018227.37465,5302797264.67065
41743,2-S,Perugia,66064313465.02067,2108831366.5796566
41744,2-S,HEPHY,107443993750.0,1788876696.1303754
41745,2-S,HEPHY,114104737500.0,1756609023.4217362
41746,2-S,Perugia,66119185624.51342,1334754078.028789
41747,2-S,HEPHY,112767687500.0,1924058045.1656504
41748,2-S,Demokritos,55475000000.0,2973980373.0454006
41749,2-S,Demokritos,59223000000.0,5203899448.844511
41750,2-S,Demokritos,41710000000.0,4647145133.814614
41751,2-S,Brown,76494414166.66667,1233532368.1234834
41752,2-S,Brown,82098436250.0,2038773208.2173824
41753,2-S,Brown,73770790000.0,1775928430.423554
41754,2-S,Brown,84718750833.33333,2867730010.064844
41755,2-S,Brown,81042517500.0,2595731874.161893
41756,2-S,Demokritos,64199285714.28571,3035967630.023326
41757,2-S,Demokritos,55646428571.42857,2343887655.2982097
41758,2-S,Demokritos,39651428571.42857,2596033604.595765
41759,2-S,HEPHY,115041862500.0,2064288226.2820423
42240,PSS,Brown,61531872500.0,2348510387.2951746
42241,PSS,HEPHY,100941407000.0,2495051854.6053257
42242,2-S,HEPHY,109885668750.0,1732876856.8361497
42243,2-S,HEPHY,112896100000.0,1546659122.5698612
42244,2-S,HEPHY,107461837500.0,1985164807.8937936
42245,2-S,Perugia,69582607597.01962,3291391879.798984
