batch_number,Type,NOX,Location,KIND_OF_HM_SET_ID
34354,2-S,75353679812.979,Perugia,Left
34354,2-S,75649897276.262,Perugia,Left
34354,2-S,75597792825.671,Perugia,Left
34357,2-S,54178691008.123,Perugia,Left
34357,2-S,55569169689.862,Perugia,Left
34357,2-S,55995646794.19,Perugia,Left
34357,2-S,55045250404.724,Perugia,Left
34357,2-S,54845087052.038,Perugia,Left
34357,2-S,51742711866.162,Perugia,Left
34357,2-S,53586352008.31,Perugia,Left
34357,2-S,54288663012.95,Perugia,Left
34357,2-S,54097202827.185,Perugia,Left
34357,2-S,58225547372.917,Perugia,Left
34357,2-S,54913266520.329,Perugia,Left
34357,2-S,61077617741.059,Perugia,Left
34357,2-S,59501368572.02,Perugia,Left
34357,2-S,55842516404.101,Perugia,Left
34357,2-S,57452297932.074,Perugia,Left
34357,2-S,61543638866.776,Perugia,Left
34357,2-S,59627480083.373,Perugia,Left
34357,2-S,63928275071.7,Perugia,Left
34357,2-S,60785218825.005,Perugia,Left
34357,2-S,50481036196.492,Perugia,Left
34357,2-S,51344754577.48,Perugia,Left
34357,2-S,48632385469.128,Perugia,Left
34357,2-S,51224954508.595,Perugia,Left
34357,2-S,51343591509.201,Perugia,Left
34357,2-S,50902759162.969,Perugia,Left
34357,2-S,51335865862.642,Perugia,Left
34357,2-S,51921971217.698,Perugia,Left
34357,2-S,53075708786.287,Perugia,Left
34357,2-S,51472813120.97,Perugia,Left
34359,2-S,79948310000.0,Brown,Right
34359,2-S,82165050000.0,Brown,Right
34359,2-S,80798160000.0,Brown,Left
34359,2-S,81423260000.0,Brown,Right
34359,2-S,79974970000.0,Brown,Right
34359,2-S,82432580000.0,Brown,Right
34359,2-S,84741050000.0,Brown,Right
34359,2-S,83195280000.0,Brown,Right
34359,2-S,80445200000.0,Brown,Right
34359,2-S,76115630000.0,Brown,Left
34359,2-S,82526350000.0,Brown,Left
34359,2-S,84131380000.0,Brown,Right
34359,2-S,80829130000.0,Brown,Right
34359,2-S,83886250000.0,Brown,Right
34359,2-S,80138880000.0,Brown,Right
34359,2-S,75013710000.0,Brown,Left
34359,2-S,83389020000.0,Brown,Right
34359,2-S,85386060000.0,Brown,Right
34359,2-S,82864470000.0,Brown,Right
34359,2-S,85103360000.0,Brown,Right
34359,2-S,76814830000.0,Brown,Left
34359,2-S,77905280000.0,Brown,Right
34359,2-S,74142520000.0,Brown,Left
34359,2-S,78551730000.0,Brown,Right
34359,2-S,80933760000.0,Brown,Right
34359,2-S,81455770000.0,Brown,Right
34359,2-S,79873730000.0,Brown,Right
34359,2-S,82251600000.0,Brown,Right
35494,PSP,154578928531.211,Perugia,Left
35494,PSP,126101447104.946,Perugia,Right
35494,PSP,152943602717.473,Perugia,Left
35494,PSP,127432226501.471,Perugia,Left
35494,PSP,154363141019.942,Perugia,Left
35494,PSP,135188240827.203,Perugia,Left
35494,PSP,153418860982.242,Perugia,Left
35494,PSP,133631728074.718,Perugia,Left
35494,PSP,147015815411.914,Perugia,Left
35494,PSP,118709696490.648,Perugia,Left
35494,PSP,147392832310.072,Perugia,Left
35494,PSP,121720933068.386,Perugia,Left
35494,PSP,150018748753.23,Perugia,Left
35494,PSP,121573206423.285,Perugia,Right
35494,PSP,151031857307.444,Perugia,Left
35494,PSP,123591963646.487,Perugia,Left
35494,PSP,151579188804.692,Perugia,Left
35494,PSP,151580691624.652,Perugia,Left
35494,PSP,129582441071.61,Perugia,Left
35495,PSP,111762995064.834,Perugia,Left
35495,PSP,146200137290.078,Perugia,Left
35495,PSP,146825032955.245,Perugia,Right
35495,PSP,114712437989.71,Perugia,Left
35495,PSP,121109272605.655,Perugia,Left
35495,PSP,58620289245.438,Perugia,Right
35495,PSP,150287025018.529,Perugia,Right
