batch_number,Type,Average,std
38920,PSS,-2.36275,0.056900288726357634
38921,PSS,-2.12725,0.05249693868625644
38922,PSS,-2.414625,0.059066397263708915
39478,PSS,-2.467875,0.1284572608190868
39479,PSS,-2.7230000000000003,0.09230384607371471
39484,2S,-2.427166666666667,0.06718754844959472
39485,2S,-2.4685,0.13953028345129972
39487,2S,-2.628,0.026832815729997263
39488,2S,-2.5813333333333333,0.09701889850264574
39547,PSS,-2.474833333333333,0.09645603488982253
39563,PSS,-2.337125,0.08090459549017351
39564,2S,-2.3915,0.05615959401562654
39565,2S,-2.6631666666666667,0.07800619633507756
39566,2S,-2.329,0.09802186345038405
39567,2S,-2.59925,0.09843598354841006
39568,2S,-2.3343333333333334,0.13220993406951959
39569,2S,-2.37975,0.15521463633734203
39570,2S,-2.518,0.11313708498984723
39571,2S,-2.32475,0.13552951708022876
39572,2S,-2.35425,0.09925850089538923
41352,2S,-2.61,0.06941181455631315
41353,2S,-2.201375,0.07388009107427274
41354,2S,-2.2341666666666664,0.11632612203055114
41355,2S,-2.581625,0.0794120133049329
41356,2S,-2.422,0.040987803063838125
41357,2S,-2.6054999999999997,0.06055988771455915
41727,PSS,-2.208875,0.10422288958902291
41728,PSS,-1.4533749999999999,0.13866809036585995
41729,PSS,-2.244625,0.08508640566254641
41730,2S,-2.0245,0.030618621784789773
41731,2S,-2.267,0.08031189202104508
41732,2S,-2.7479999999999998,0.07823042886243194
41736,2S,-2.4008333333333334,0.11509199219175344
41737,2S,-2.34225,0.15692104475090105
41738,2S,-2.4603333333333333,0.21976138574978693
41739,2S,-0.6098571428571429,2.4745731907119812
41740,2S,-2.35325,0.11771257366993565
41741,2S,-2.778,0.09949874371066204
41742,2S,-2.563125,0.17310396339442127
41743,2S,-2.262166666666667,0.10858621766442851
41746,2S,-2.1521666666666666,0.11431258315105401
41748,2S,-2.560166666666667,0.07558946134658351
41749,2S,-2.51125,0.11828602340654347
41750,2S,-2.012,0.0
41751,2S,-2.3275,0.07920290398716448
41752,2S,-2.449875,0.0555606168329433
41753,2S,-2.266,0.1049190163888319
41754,2S,-2.5406666666666666,0.07948500906879646
41755,2S,-2.3661250000000003,0.10899729682100223
41756,2S,-2.7929999999999997,0.09486832980505118
41757,2S,-2.5301666666666667,0.08084408863155468
41758,2S,-2.012,0.0
42240,PSS,-1.88775,0.12499799998399966
42245,2S,-2.116625,0.5824632269201943
42246,2S,-2.4682500000000003,0.06616807603152966
42247,2S,-2.420666666666667,0.06128186246081849
42248,2S,-2.18125,0.11008405879145274
42249,2S,-2.3461666666666665,0.07351303739246973
42250,2S,-2.420875,0.06596630633458689
42251,2S,-2.1808333333333336,0.0798007936468472
42253,2S,-2.69175,0.0894776508408664
42254,2S,-2.56775,0.13838442831474956
42255,2S,-2.54925,0.007500000000000099
42256,2S,-2.53325,0.11488223784131554
42257,2S,-2.7807500000000003,0.5303976271224663
42258,PSP,-3.7383333333333337,0.2945615385619787
42259,PSP,-4.406666666666666,0.1782687577788098
42649,PSS,-2.440875,0.06502183699123157
42651,2S,-2.181888888888889,0.09360347809302351
42652,2S,-2.154125,0.08226514189757761
42657,2S,-2.653,0.02949576240750535
42658,2S,-2.4145,0.06933613776379521
42659,2S,-2.484833333333333,0.04764206824505687
42660,PSP,-3.87625,0.27925705004529433
42899,PSS,-2.20275,0.06849973931128715
42901,2S,-2.648,0.07745966692414831
42902,2S,-2.684375,0.36288838799671885
42903,2S,-1.9016250000000001,0.050796337044543456
42904,2S,-2.92175,0.5051451700819704
42905,2S,-2.623875,0.08952483693686025
42906,2S,-2.612833333333333,0.10334489182667257
42907,2S,-2.638,0.09934787365615835
42908,2S,-2.64275,0.08296599992079381
42909,2S,-2.608857142857143,0.2547288941675237
42912,PSP,-3.356,0.631437588817318
42913,PSP,-3.329625,0.7336653455668425
42914,PSP,-3.434625,0.6987494824940581
43256,PSS,-2.331,0.07266754040540667
43257,PSS,-2.390625,0.14543721031035065
43258,2S,-2.7125,0.04558821902954438
43259,2S,-2.38675,0.12114896379487293
43260,2S,-2.47625,0.1637216714863544
43261,2S,-2.444625,0.11829012457271562
43262,2S,-2.6967499999999998,0.09650869686939395
43263,2S,-2.358375,0.07950370611307554
43264,2S,-2.8805,0.09459122580873991
43265,2S,-2.5218333333333334,0.23975438821149173
43266,2S,-2.587666666666667,0.3035955643066392
43267,2S,-2.710875,0.07533437367591823
43268,2S,-2.358,0.05600255096230628
43269,2S,-2.4631250000000002,0.10096595961015781
43271,2S,-2.0861666666666667,0.10879230977723887
43272,2S,-2.49675,0.056195449739534706
43273,2S,-2.3770000000000002,0.10745417627993802
43274,2S,-2.64,0.08162352602038234
43275,2S,-2.4023333333333334,0.06973855939626711
43276,2S,-2.75225,0.09615872295325059
43277,2S,-2.489,0.08935962654992946
43278,2S,-2.357625,0.06892633231004165
43280,PSP,-3.521125,0.7368057385963896
43281,PSP,-3.427125,0.7265408134244274
43282,PSP,-3.0445,0.4434369016154224
43284,PSP,-3.2563750000000002,0.6816511335405693
