batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,ISURF_PAMPR
38873,2S,EE,Brown,Right,20.0,20.007,4.938
38873,2S,WW,Brown,Right,20.0,20.009,5.095
38873,2S,EE,Brown,Right,20.0,20.021,5.07
38873,2S,WW,Brown,Right,20.0,20.004,5.282
38874,2S,EE,Brown,Right,20.0,20.003,5.822
38874,2S,WW,Brown,Right,20.0,20.008,6.038
38874,2S,EE,Brown,Right,20.0,20.005,5.327
38874,2S,WW,Brown,Right,20.0,20.004,5.539
38874,2S,EE,Brown,Right,20.0,20.005,5.373
38874,2S,WW,Brown,Right,20.0,20.01,5.666
38874,2S,EE,Brown,Right,20.0,20.004,5.271
38874,2S,WW,Brown,Right,20.0,20.003,5.656
38875,2S,EE,Brown,Right,20.0,20.005,4.837
38875,2S,WW,Brown,Right,20.0,20.007,5.16
38875,2S,EE,Brown,Right,20.0,20.002,4.545
38875,2S,WW,Brown,Right,20.0,20.007,4.515
38875,2S,EE,Brown,Right,20.0,20.002,4.834
38875,2S,WW,Brown,Right,20.0,20.003,4.985
38876,2S,EE,Demokritos,Left,20.4,20.4,7.223
38876,2S,WW,Demokritos,Left,21.3,21.3,7.474
38876,2S,EE,Demokritos,Left,21.8,21.8,8.144
38876,2S,WW,Demokritos,Left,22.3,22.3,8.372
38877,2S,EE,Perugia,Left,20.0,20.0,5.836
38877,2S,WW,Perugia,Left,20.0,20.0,5.724
38877,2S,EE,Perugia,Left,20.0,20.0,5.372
38877,2S,WW,Perugia,Left,20.0,20.0,5.232
38877,2S,EE,Perugia,Left,20.0,20.0,5.362
38877,2S,WW,Perugia,Left,20.0,20.0,5.097
38877,2S,EE,Perugia,Left,20.0,20.0,4.947
38877,2S,WW,Perugia,Left,20.0,20.0,4.846
38922,PSS,EE,Perugia,Left,20.0,20.0,5.973
38922,PSS,WW,Perugia,Left,20.0,20.0,5.905
38922,PSS,EE,Perugia,Left,20.0,20.0,6.204
38922,PSS,WW,Perugia,Left,20.0,20.0,6.13
38922,PSS,EE,Perugia,Left,20.0,20.0,5.762
38922,PSS,WW,Perugia,Left,20.0,20.0,5.622
38922,PSS,EE,Perugia,Left,20.0,20.0,6.016
38922,PSS,WW,Perugia,Left,20.0,20.0,5.887
38882,2S,EE,Demokritos,Left,21.6,21.6,10.962
38882,2S,WW,Demokritos,Left,21.7,21.7,10.915
38882,2S,EE,Demokritos,Left,21.8,21.8,9.236
38882,2S,WW,Demokritos,Left,21.9,21.9,9.126
38882,2S,EE,Demokritos,Left,20.7,20.7,9.247
38882,2S,WW,Demokritos,Left,21.0,21.0,9.163
38883,2S,EE,Demokritos,Left,20.7,20.7,7.648
38883,2S,WW,Demokritos,Left,20.9,20.9,7.777
38883,2S,EE,Demokritos,Left,19.6,19.6,7.505
38883,2S,WW,Demokritos,Left,20.2,20.2,7.602
38883,2S,EE,Demokritos,Left,21.3,21.3,7.396
38883,2S,WW,Demokritos,Left,21.8,21.8,7.6
38884,2S,EE,Demokritos,Left,20.3,20.3,6.451
38884,2S,WW,Demokritos,Left,21.8,21.8,6.951
38884,2S,EE,Demokritos,Left,22.2,22.2,7.845
38884,2S,WW,Demokritos,Left,22.3,22.3,7.909
38884,2S,EE,Demokritos,Left,22.5,22.5,7.528
