batch_number,Type,Orientation,PART_ID,PART_NAME_LABEL,RHO_KOHMCM,VD_V,CMIN_PFRD,NA,D_UM,CMINPLNR_PFRD,KIND_OF_HM_FLUTE_ID,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_CONFIG_ID,KIND_OF_HM_SET_ID,PROCEDURE_TYPE,EQUIPMENT,WAITING_TIME_S,AC_FREQ_HZ,AC_AMPL_V,CORR_OPEN_PFRD,TEMP_SET_DEGC,AV_TEMP_DEGC,FILE_NAME,Location
34330,2S,EE,25928,34330_015_2-S_HM_EE,,,2.52,8.778,231.574,,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_015_2-S_HM_E_flute3_L_DiodeCV_11_9_2020_14h54m55s.txt,Perugia
34330,2S,WW,25931,34330_015_2-S_HM_WW,,,2.589,8.702,225.403,,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_015_2-S_HM_W_flute3_L_DiodeCV_11_9_2020_17h31m36s.txt,Perugia
34330,2S,WW,25931,34330_015_2-S_HM_WW,,,2.598,8.961,224.622,,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_015_2-S_HM_W_flute3_R_DiodeCV_11_9_2020_17h13m13s.txt,Perugia
34330,2S,WW,25931,34330_015_2-S_HM_WW,,,2.589,8.702,225.403,,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_015_2-S_HM_W_flute3_L_DiodeCV_11_9_2020_17h31m36s.txt,Perugia
34330,2S,WW,25931,34330_015_2-S_HM_WW,,,2.598,8.961,224.622,,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_015_2-S_HM_W_flute3_R_DiodeCV_11_9_2020_17h13m13s.txt,Perugia
34330,2S,EE,26008,34330_038_2-S_HM_EE,,,2.486,8.64,234.741,,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_038_2-S_HM_E_flute3_R_DiodeCV_9_9_2020_16h51m35s.txt,Perugia
34330,2S,EE,26008,34330_038_2-S_HM_EE,,,2.46,8.81,237.222,,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_038_2-S_HM_E_flute3_L_DiodeCV_9_9_2020_16h6m57s.txt,Perugia
34330,2S,EE,26008,34330_038_2-S_HM_EE,,,2.46,8.81,237.222,,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_038_2-S_HM_E_flute3_L_DiodeCV_9_9_2020_16h6m57s.txt,Perugia
34330,2S,EE,26008,34330_038_2-S_HM_EE,,,2.486,8.64,234.741,,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_038_2-S_HM_E_flute3_R_DiodeCV_9_9_2020_16h51m35s.txt,Perugia
34330,2S,WW,26011,34330_038_2-S_HM_WW,,,2.546,8.434,229.209,,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_038_2-S_HM_W_flute3_L_DiodeCV_9_9_2020_18h57m10s.txt,Perugia
34330,2S,WW,26011,34330_038_2-S_HM_WW,,,2.603,9.13,224.19,,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_038_2-S_HM_W_flute3_R_DiodeCV_9_9_2020_18h38m4s.txt,Perugia
34330,2S,WW,26011,34330_038_2-S_HM_WW,,,2.546,8.434,229.209,,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_038_2-S_HM_W_flute3_L_DiodeCV_9_9_2020_18h57m10s.txt,Perugia
34330,2S,WW,26011,34330_038_2-S_HM_WW,,,2.603,9.13,224.19,,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_038_2-S_HM_W_flute3_R_DiodeCV_9_9_2020_18h38m4s.txt,Perugia
34330,2S,EE,26012,34330_039_2-S_HM_EE,,,2.416,8.496,241.543,,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_039_2-S_HM_E_flute3_L_DiodeCV_9_9_2020_12h35m46s.txt,Perugia
