batch_number,Type,Average,std
38197,2S,189.747875,6.500205133942571
38198,2S,273.49742857142854,33.13117720334008
38199,2S,199.34342857142857,16.941383435991135
38200,2S,211.4556875,4.429858398320042
38201,2S,215.6290625,2.5528760896617455
38202,2S,222.6535625,9.887528716983159
38212,PSS,233.32725,7.472081954404228
38213,PSS,239.62292857142856,1.1277914062644576
38691,2S,213.03326666666666,7.6012095134042115
38693,2S,226.07987500000002,9.054815616565584
38694,2S,228.73125,5.584540452594704
38695,2S,225.0963125,11.710113769551235
38696,2S,225.397,3.7066030128322156
38711,PSS,224.5659375,18.50924435507385
38712,PSS,200.48023529411765,5.2369794434556045
38713,2S,237.449875,12.470150738864387
38714,2S,202.88728571428572,4.806860808798691
38715,2S,185.8942142857143,2.115196669472948
38716,2S,203.59416666666667,8.867990690048554
38868,2S,209.234,5.4731443735144865
38869,2S,185.94764285714285,5.6342472926687455
38870,2S,203.9522857142857,17.067755940227304
38871,2S,206.00975,5.516883546592826
38872,2S,199.22424999999998,3.3438583876514105
38873,2S,225.13240000000002,12.871217418030911
38874,2S,223.33624999999998,14.667710158557627
38875,2S,225.12449999999998,4.919566856498198
38876,2S,209.582125,11.056103840187111
38877,2S,234.157375,6.250988613811443
38878,2S,235.3789375,11.15683745792237
38879,2S,223.6831875,3.860484740180521
38880,2S,237.88250000000002,2.459518713081884
38881,2S,200.3295,6.476391008887583
38882,2S,208.56921428571428,10.820666332237876
38883,2S,210.34292857142856,11.357388733360294
38884,2S,189.3932142857143,9.636685770681595
38885,2S,215.01737500000002,2.624767618285487
38920,PSS,238.4731875,36.06125238760434
38921,PSS,212.44292857142858,13.609583322985127
38922,PSS,255.858625,37.277279959558925
39478,PSS,224.550875,3.7175004483299454
39479,PSS,201.28364285714287,10.92133489028307
39480,2S,224.6193125,4.4910316664622405
39481,2S,217.115625,6.24671398283396
39482,2S,215.8889375,4.539317488620953
39483,2S,216.56276470588236,8.760620387060294
39484,2S,171.54757142857144,4.863659127641485
39485,2S,206.86041666666665,2.4346442136315796
39486,2S,212.54137500000002,8.220348401983959
39487,2S,216.04957142857143,14.453909967225457
39488,2S,207.64541666666665,4.014161623288076
39547,PSS,190.5987857142857,6.840546336464554
39548,PSS,197.85494999999997,14.738591118396052
39562,PSS,186.7403,3.707628779748732
39563,PSS,218.0523125,8.756040229226523
39564,2S,212.66275,3.8933159768318983
39565,2S,218.9525,14.922818131974942
39566,2S,210.07274999999998,2.0166677300272737
39567,2S,218.6694375,5.088506185103184
39568,2S,198.198,5.152239781806622
39569,2S,215.25900000000001,3.2632066710182075
39570,2S,240.4915,3.1708836307881123
39571,2S,231.75975,16.71597602594595
39572,2S,228.36516666666668,10.860360609421143
41352,2S,221.099625,13.174110996707581
41353,2S,191.4451875,0.9634215566580105
41354,2S,217.78508333333332,12.539916060748016
41355,2S,231.697,18.19477134783507
41356,2S,187.0662142857143,7.927291410336543
41357,2S,195.1955714285714,8.065448804473457
41727,PSS,222.80225000000002,8.258028202906544
41728,PSS,223.5180625,4.9086629743580215
41729,PSS,229.97075,7.5176529626384445
41730,2S,176.72150000000002,9.5594274430251
41731,2S,161.9479,2.679266170262133
41732,2S,196.36478571428572,6.662670464594522
41733,2S,213.8033125,4.762526678402972
41734,2S,205.759875,9.194804060808858
41735,2S,192.84506249999998,3.161849700597212
41736,2S,225.51475000000002,32.605907892240516
41737,2S,204.3499375,16.90502289644017
41738,2S,239.99825,30.191342245222923
41739,2S,204.72366666666667,11.033287520732499
41740,2S,181.8143,8.73808945619375
41741,2S,189.0837857142857,11.059655622532334
41742,2S,245.02184615384616,33.73425195763241
41743,2S,203.81175,6.160550759395697
41744,2S,198.18868750000001,4.401977596773979
41745,2S,217.9819375,50.062111317134494
41746,2S,214.12341666666669,6.112822327747297
41747,2S,215.5736875,5.69585735681352
41748,2S,190.3565,2.590540506416498
41749,2S,185.6968,9.85977884358693
41750,2S,204.327,12.44199945525013
41751,2S,232.09825,8.326250396132158
41752,2S,232.221625,15.552832560340901
41753,2S,219.4484375,10.175427014586006
41754,2S,225.68175,9.027601313597799
41755,2S,226.740625,9.707974672917105
41756,2S,211.67114285714288,14.714416106751825
41757,2S,173.85757142857142,7.0369777135258325
41758,2S,202.60385714285715,25.0118825879502
41759,2S,199.724,7.5738475999102794
42240,PSS,224.034,8.021585130134815
42241,PSS,205.2733,9.29282825963968
42242,2S,200.1995625,5.72607983375188
42243,2S,193.31286666666668,6.579453047900238
42244,2S,190.8121875,4.266556710334465
42245,2S,216.16946666666666,32.97503635407217
42246,2S,199.82714285714286,15.577020999176678
42247,2S,213.5993125,5.849695498841511
42248,2S,198.6625625,13.52219779458329
42249,2S,214.456625,8.999314861884393
42250,2S,210.0523125,28.14448628705985
42251,2S,220.3086875,12.011679991956443
42252,2S,190.6493125,2.3034281037546234
42253,2S,192.7423,17.708258218193627
42254,2S,178.46959999999999,15.953036702911596
42255,2S,192.0238,17.237172704490852
42256,2S,217.9095,8.500062533103314
42257,2S,221.2250625,35.078811896392665
42258,PSP,228.15692857142858,44.50205237525444
42259,PSP,300.61925,69.37206538994401
42648,PSS,208.93735,3.9963421337518104
42649,PSS,212.5948125,6.590659685936867
42650,2S,221.4366875,63.984657793066546
42651,2S,208.2499375,2.9343360513922057
42652,2S,206.99705882352941,5.005728586711782
42653,2S,205.058875,4.427177624250762
42654,2S,212.506125,19.314315253631612
42655,2S,200.841625,3.200519351084561
42656,2S,201.6939375,3.797170200184181
42657,2S,177.80992857142857,12.907979800610432
42658,2S,179.20492857142858,7.705474412233315
42659,2S,183.60764285714285,10.845795361174916
42660,PSP,250.00900000000001,48.62465291187176
42899,PSS,206.822625,3.590286727175613
42900,PSS,208.7246,6.1286192348942485
42901,2S,201.12071428571429,13.08657828833432
42902,2S,228.054625,15.794172089202188
42903,2S,223.4605625,5.448091029204635
42904,2S,226.7275,12.551326421272504
42905,2S,223.3435,2.2512427678950964
42906,2S,189.13335714285716,12.532128185692851
42907,2S,193.50592857142857,6.777530460894404
42908,2S,221.151,8.154962366559397
42909,2S,228.7166875,31.256153027777312
42910,2S,203.946375,12.00378430815327
42911,2S,195.333625,6.426912549324651
43255,PSS,219.158625,5.942212975819701
43256,PSS,214.1900625,1.9852241004900855
43257,PSS,222.46675000000002,23.8975858459943
43258,2S,196.4005,6.630858509795178
43259,2S,195.46121428571428,10.29313303711655
43260,2S,207.4130714285714,9.238799842672588
43261,2S,205.7616,6.679677599148895
43262,2S,205.078,13.333867170979824
43263,2S,201.35907142857144,6.192286597227042
43264,2S,193.18592857142858,13.157218261438134
43265,2S,208.65516666666667,14.023288233463218
43266,2S,173.32228571428573,6.8841824544337955
43267,2S,218.54806250000001,24.347556878035352
43268,2S,222.92035714285717,30.31400643421134
43269,2S,229.20749999999998,12.854519106783677
43270,2S,215.1356,7.3408757535168405
43271,2S,226.85649999999998,27.83754554064119
43272,2S,237.5928125,2.0675759145675845
43273,2S,237.84333333333333,1.8534301533463096
43274,2S,237.19375,5.984640190065356
43275,2S,243.72349999999997,7.897910845740964
43276,2S,226.6301875,10.67111437616365
43277,2S,222.556,8.594699490577506
43278,2S,210.1265625,1.6738949775399077
43836,2S,186.7195,7.9511419134154995
43837,2S,197.22166666666666,10.885894462212287
