batch_number,Type,Orientation,AGGREGATED_COND_DATA_SET_ID,PART_ID,PART_NAME_LABEL,RHO_KOHMCM,VD_V,CMIN_PFRD,NA,D_UM,CMINPLNR_PFRD,PART_NAME_LABEL.1,KIND_OF_HM_FLUTE_ID,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_CONFIG_ID,KIND_OF_HM_SET_ID,PROCEDURE_TYPE,EQUIPMENT,WAITING_TIME_S,AC_FREQ_HZ,AC_AMPL_V,CORR_OPEN_PFRD,TEMP_SET_DEGC,AV_TEMP_DEGC,FILE_NAME,Location
34330,2S,EE,830759,26012,34330_039_2-S_HM_EE,,,2.416,8.496,241.543,,34330_039_2-S_HM_EE,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_039_2-S_HM_E_flute3_L_DiodeCV_9_9_2020_12h35m46s.txt,Perugia
34330,2S,EE,831728,26012,34330_039_2-S_HM_EE,,,2.446,8.502,238.58,,34330_039_2-S_HM_EE,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_039_2-S_HM_E_flute3_R_DiodeCV_9_9_2020_10h4m0s.txt,Perugia
34330,2S,WW,832982,26015,34330_039_2-S_HM_WW,,,2.552,8.789,228.671,,34330_039_2-S_HM_WW,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_039_2-S_HM_W_flute3_L_DiodeCV_8_9_2020_17h31m26s.txt,Perugia
34330,2S,EE,831506,26016,34330_041_2-S_HM_EE,,,2.402,8.352,242.951,,34330_041_2-S_HM_EE,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_041_2-S_HM_E_flute3_R_DiodeCV_8_9_2020_12h24m15s.txt,Perugia
34330,2S,EE,832511,26016,34330_041_2-S_HM_EE,,,2.467,8.471,236.549,,34330_041_2-S_HM_EE,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_041_2-S_HM_E_flute3_L_DiodeCV_8_9_2020_12h42m24s.txt,Perugia
34330,2S,WW,830600,26019,34330_041_2-S_HM_WW,,,2.501,8.358,233.334,,34330_041_2-S_HM_WW,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_041_2-S_HM_W_flute3_L_DiodeCV_8_9_2020_15h35m13s.txt,Perugia
34330,2S,WW,831218,26019,34330_041_2-S_HM_WW,,,2.601,9.326,224.363,,34330_041_2-S_HM_WW,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_041_2-S_HM_W_flute3_R_DiodeCV_8_9_2020_17h7m22s.txt,Perugia
34330,2S,WW,832331,26019,34330_041_2-S_HM_WW,,,2.596,8.761,224.795,,34330_041_2-S_HM_WW,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_041_2-S_HM_W_flute3_R_DiodeCV_8_9_2020_15h12m23s.txt,Perugia
34330,2S,EE,831050,26020,34330_042_2-S_HM_EE,,,2.133,9.626,273.59,,34330_042_2-S_HM_EE,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_042_2-S_HM_E_flute3_R_DiodeCV_8_9_2020_10h18m54s.txt,Perugia
34330,2S,EE,831614,26020,34330_042_2-S_HM_EE,,,2.162,9.599,269.92,,34330_042_2-S_HM_EE,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_042_2-S_HM_E_flute3_L_DiodeCV_8_9_2020_10h37m53s.txt,Perugia
