batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,NA
34348,2S,WW,Perugia,Left,20.0,20.0,8.589
34348,2S,WW,Perugia,Left,20.0,20.0,8.591
34348,2S,EE,Perugia,Left,20.0,20.0,8.773
34348,2S,WW,Perugia,Left,20.0,20.0,9.036
34348,2S,EE,Perugia,Left,20.0,20.0,8.623
34348,2S,WW,Perugia,Left,20.0,20.0,8.642
34348,2S,EE,Perugia,Left,20.0,20.0,8.287
34348,2S,WW,Perugia,Left,20.0,20.0,8.271
34331,2S,EE,Brown,Right,20.0,20.112,3.255
34331,2S,EE,Brown,Left,20.0,20.136,3.504
34331,2S,WW,Brown,Right,20.0,20.061,3.202
34331,2S,EE,Brown,Right,20.0,20.017,2.836
34331,2S,WW,Brown,Right,20.0,20.07,3.312
34331,2S,EE,Brown,Right,20.0,20.133,3.227
34331,2S,WW,Brown,Right,20.0,20.074,3.539
34331,2S,EE,Brown,Right,20.0,20.066,3.122
34331,2S,WW,Brown,Right,20.0,20.106,3.177
34331,2S,EE,Brown,Right,20.0,20.099,4.813
34331,2S,WW,Brown,Right,20.0,20.094,3.619
34331,2S,EE,Brown,Right,20.0,20.012,3.3
34331,2S,WW,Brown,Right,20.0,20.069,3.303
34331,2S,EE,Brown,Right,20.0,20.12,3.284
34331,2S,WW,Brown,Right,20.0,20.06,3.562
34331,2S,EE,Brown,Right,20.0,20.007,3.453
34331,2S,WW,Brown,Right,20.0,20.046,3.801
34331,2S,EE,Brown,Right,20.0,20.097,3.172
34331,2S,WW,Brown,Right,20.0,20.046,3.59
34331,2S,EE,Brown,Right,20.0,20.002,3.255
34331,2S,WW,Brown,Right,20.0,20.001,3.277
34331,2S,EE,Brown,Right,20.0,20.006,3.455
34331,2S,WW,Brown,Right,20.0,20.003,3.172
34331,2S,EE,Brown,Right,20.0,20.002,2.866
34331,2S,WW,Brown,Right,20.0,20.002,2.881
34331,2S,EE,Brown,Right,20.0,20.008,2.872
34331,2S,WW,Brown,Right,20.0,20.002,3.141
34331,2S,EE,Brown,Right,20.0,20.028,2.51
34331,2S,WW,Brown,Right,20.0,20.104,3.093
34331,2S,EE,Brown,Right,20.0,20.144,2.832
34331,2S,WW,Brown,Right,20.0,20.079,3.136
34331,2S,EE,Brown,Right,20.0,20.035,3.271
34331,2S,WW,Brown,Right,20.0,20.096,2.999
34331,2S,EE,Brown,Right,20.0,20.139,2.667
34331,2S,WW,Brown,Right,20.0,20.079,3.087
34331,2S,EE,Brown,Right,20.0,20.056,2.779
34331,2S,WW,Brown,Right,20.0,20.074,2.865
34331,2S,EE,Brown,Right,20.0,20.126,2.457
34331,2S,WW,Brown,Right,20.0,20.069,2.49
34340,PSS,EE,Brown,Right,20.0,20.005,2.364
34340,PSS,WW,Brown,Right,20.0,20.019,2.734
34340,PSS,EE,Brown,Right,20.0,20.061,2.752
34340,PSS,WW,Brown,Right,20.0,20.01,2.566
34340,PSS,EE,Brown,Right,20.0,20.002,2.751
34340,PSS,WW,Brown,Right,20.0,20.009,2.597
34340,PSS,EE,Brown,Right,20.0,20.04,2.826
34340,PSS,WW,Brown,Right,20.0,20.003,2.65
34340,PSS,EE,Brown,Right,20.0,20.004,2.532
34340,PSS,WW,Brown,Right,20.0,20.025,2.599
34340,PSS,EE,Brown,Right,20.0,20.071,2.36
34340,PSS,WW,Brown,Right,20.0,20.026,2.768
34340,PSS,EE,Brown,Right,20.0,20.002,2.78
34340,PSS,WW,Brown,Right,20.0,20.015,2.779
34340,PSS,EE,Brown,Right,20.0,20.069,2.392
34340,PSS,WW,Brown,Right,20.0,20.027,2.921
34340,PSS,EE,Brown,Right,20.0,20.004,2.87
34340,PSS,WW,Brown,Right,20.0,20.027,2.754
34340,PSS,EE,Brown,Right,20.0,20.067,2.86
34340,PSS,WW,Brown,Right,20.0,20.031,2.825
34340,PSS,EE,Brown,Right,20.0,20.003,2.754
34340,PSS,WW,Brown,Right,20.0,20.018,2.448
34340,PSS,EE,Brown,Right,20.0,20.092,2.731
34340,PSS,WW,Brown,Right,20.0,20.027,2.567
34340,PSS,EE,Brown,Right,20.0,20.003,2.779
34340,PSS,WW,Brown,Right,20.0,20.022,3.016
34340,PSS,EE,Brown,Right,20.0,20.068,2.722
34340,PSS,WW,Brown,Right,20.0,20.024,2.844
34340,PSS,EE,Brown,Right,20.0,20.001,2.777
34340,PSS,WW,Brown,Right,20.0,20.019,2.618
34340,PSS,EE,Brown,Right,20.0,20.081,2.795
34340,PSS,WW,Brown,Right,20.0,20.048,2.772
34340,PSS,EE,Brown,Right,20.0,20.009,2.787
34254,PSS,EE,Brown,Right,20.0,20.009,2.885
34254,PSS,WW,Brown,Right,20.0,20.028,2.82
34254,PSS,EE,Brown,Right,20.0,20.085,2.758
34254,PSS,WW,Brown,Left,20.0,20.115,3.281
34254,PSS,EE,Brown,Right,20.0,20.012,2.889
34254,PSS,WW,Brown,Right,20.0,20.045,2.433
34254,PSS,WW,Brown,Right,20.0,20.035,2.989
34254,PSS,EE,Brown,Right,20.0,20.005,2.809
34254,PSS,WW,Brown,Right,20.0,20.03,3.598
34254,PSS,EE,Brown,Right,20.0,20.104,2.638
34254,PSS,WW,Brown,Right,20.0,20.038,2.775
34254,PSS,EE,Brown,Right,20.0,20.019,2.912
34254,PSS,WW,Brown,Right,20.0,20.006,2.692
34254,PSS,EE,Brown,Right,20.0,20.038,2.774
34254,PSS,WW,Brown,Right,20.0,20.138,2.829
34254,PSS,EE,Brown,Right,20.0,20.002,2.667
34254,PSS,WW,Brown,Right,20.0,20.004,3.522
34254,PSS,EE,Brown,Right,20.0,20.03,2.448
34254,PSS,WW,Brown,Right,20.0,20.003,2.777
34254,PSS,WW,Brown,Right,20.0,20.004,2.868
34254,PSS,EE,Brown,Right,20.0,20.026,2.742
34254,PSS,WW,Brown,Right,20.0,19.993,3.035
34254,PSS,EE,Brown,Right,20.0,20.002,2.75
34254,PSS,WW,Brown,Right,20.0,20.003,2.967
34254,PSS,EE,Brown,Right,20.0,20.025,2.792
34254,PSS,WW,Brown,Right,20.0,20.007,2.859
34254,PSS,EE,Brown,Right,20.0,20.002,2.95
34254,PSS,WW,Brown,Right,20.0,20.01,2.911
34254,PSS,EE,Brown,Right,20.0,20.04,2.722
34254,PSS,WW,Brown,Right,20.0,20.009,3.106
34254,PSS,EE,Brown,Right,20.0,20.002,2.788
34254,PSS,WW,Brown,Right,20.0,20.006,2.83
34254,PSS,EE,Brown,Right,20.0,20.025,2.693
34254,PSS,WW,Brown,Right,20.0,20.004,2.998
34254,PSS,EE,Brown,Right,20.0,20.003,2.972
34254,PSS,WW,Brown,Right,20.0,20.011,3.309
34254,PSS,EE,Brown,Right,20.0,20.046,2.64
34254,PSS,WW,Brown,Right,20.0,20.012,3.161
34254,PSS,EE,Brown,Right,20.0,20.004,2.693
34254,PSS,WW,Brown,Right,20.0,20.008,2.743
34254,PSS,EE,Brown,Right,20.0,20.03,2.743
34254,PSS,WW,Brown,Right,20.0,20.005,2.903
34254,PSS,EE,Brown,Right,20.0,20.013,2.745
34254,PSS,WW,Brown,Right,20.0,20.052,2.947
34254,PSS,EE,Brown,Right,20.0,20.112,2.746
34254,PSS,WW,Brown,Right,20.0,20.048,2.857
