batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,RHO_KOHMCM
34252,PSS,WW,Brown,Right,20.0,20.038,2.925
34252,PSS,EE,Brown,Left,20.0,20.077,2.712
34252,PSS,WW,Brown,Left,20.0,20.088,3.036
34252,PSS,WW,Brown,Right,20.0,20.042,2.79
34252,PSS,EE,Brown,Left,20.0,20.066,2.85
34252,PSS,EE,Brown,Right,20.0,20.008,2.96
34252,PSS,WW,Brown,Left,20.0,20.071,2.836
34252,PSS,EE,Brown,Right,20.0,20.058,2.849
34252,PSS,EE,Brown,Left,20.0,20.055,2.875
34252,PSS,WW,Brown,Right,20.0,20.025,2.926
34252,PSS,WW,Brown,Left,20.0,20.052,2.814
34332,2S,EE,Perugia,Left,20.0,20.0,3.558
34332,2S,WW,Perugia,Left,20.0,20.0,3.499
34332,2S,WW,Perugia,Right,20.0,20.0,2.507
34332,2S,EE,Perugia,Right,20.0,20.0,3.524
34332,2S,EE,Perugia,Left,20.0,20.0,3.585
34332,2S,WW,Perugia,Left,20.0,20.0,3.57
34332,2S,WW,Perugia,Right,20.0,20.0,3.566
34332,2S,EE,Perugia,Left,20.0,20.0,3.555
34332,2S,EE,Perugia,Right,20.0,20.0,3.513
34332,2S,WW,Perugia,Right,20.0,20.0,2.286
34332,2S,WW,Perugia,Left,20.0,20.0,3.495
34332,2S,EE,Perugia,Right,20.0,20.0,3.533
34332,2S,WW,Perugia,Right,20.0,20.0,2.98
34332,2S,WW,Perugia,Left,20.0,20.0,3.57
34332,2S,WW,Perugia,Left,20.0,20.0,3.557
34332,2S,EE,Perugia,Left,20.0,20.0,3.524
34332,2S,EE,Perugia,Right,20.0,20.0,3.423
34332,2S,WW,Perugia,Right,20.0,20.0,3.436
34332,2S,WW,Perugia,Left,20.0,20.0,3.524
34332,2S,EE,Perugia,Left,20.0,20.0,3.591
34332,2S,EE,Perugia,Right,20.0,20.0,3.02
34332,2S,WW,Perugia,Left,20.0,20.0,3.299
34332,2S,WW,Perugia,Right,20.0,20.0,3.174
34332,2S,EE,Perugia,Left,20.0,20.0,3.54
34332,2S,EE,Perugia,Right,20.0,20.0,3.525
34332,2S,WW,Perugia,Left,20.0,20.0,3.507
34332,2S,WW,Perugia,Right,20.0,20.0,3.308
34332,2S,EE,Perugia,Right,20.0,20.0,3.578
34332,2S,EE,Perugia,Left,20.0,20.0,3.616
34332,2S,WW,Perugia,Left,20.0,20.0,3.549
34332,2S,WW,Perugia,Right,20.0,20.0,2.75
34332,2S,EE,Perugia,Left,20.0,20.0,3.485
34332,2S,EE,Perugia,Right,20.0,20.0,3.528
34332,2S,WW,Perugia,Right,20.0,20.0,2.73
34332,2S,WW,Perugia,Left,20.0,20.0,3.485
34332,2S,EE,Perugia,Right,20.0,20.0,3.578
34332,2S,EE,Perugia,Left,20.0,20.0,3.586
34332,2S,WW,Perugia,Right,20.0,20.0,3.802
34332,2S,WW,Perugia,Left,20.0,20.0,3.558
34346,2S,EE,Perugia,Left,20.0,20.0,3.624
34346,2S,EE,Perugia,Right,20.0,20.0,3.608
34346,2S,WW,Perugia,Right,20.0,20.0,0.396
