batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,VI600_NAMPRMM3
35952,2S,EE,Brown,Right,20.0,20.006,0.135
35952,2S,WW,Brown,Right,20.0,20.027,0.125
35952,2S,EE,Brown,Right,20.0,20.066,0.158
35952,2S,WW,Brown,Right,20.0,20.038,0.124
35952,2S,EE,Brown,Right,20.0,20.076,0.16
35952,2S,WW,Brown,Right,20.0,20.026,0.14
35952,2S,EE,Brown,Right,20.0,20.003,0.159
35952,2S,WW,Brown,Right,20.0,20.008,0.126
35952,2S,EE,Brown,Right,20.0,20.043,0.153
35952,2S,WW,Brown,Right,20.0,20.014,0.129
35963,2S,EE,Brown,Right,20.0,20.004,0.183
35963,2S,WW,Brown,Right,20.0,20.005,0.21
35963,2S,EE,Brown,Right,20.0,20.015,0.07433178
35963,2S,EE,Brown,Right,20.0,20.014,0.175
35963,2S,WW,Brown,Right,20.0,20.005,0.212
35963,2S,EE,Brown,Right,20.0,20.031,0.178
35963,2S,WW,Brown,Right,20.0,20.012,0.204
35963,2S,EE,Brown,Right,20.0,20.003,0.183
35963,2S,WW,Brown,Right,20.0,20.005,0.228
35963,2S,EE,Brown,Right,20.0,20.005,0.234
35963,2S,WW,Brown,Right,20.0,20.006,0.246
35963,2S,EE,Brown,Right,20.0,20.023,0.191
35963,2S,WW,Brown,Right,20.0,20.009,0.209
35963,2S,EE,Brown,Right,20.0,20.017,0.227
35963,2S,WW,Brown,Right,20.0,20.004,0.229
35963,2S,EE,Brown,Right,20.0,20.004,0.214
35963,2S,WW,Brown,Right,20.0,20.007,0.215
36238,2S,EE,Brown,Right,20.0,20.003,0.221
36238,2S,WW,Brown,Right,20.0,20.004,0.223
36238,2S,EE,Brown,Right,20.0,20.005,0.206
36238,2S,WW,Brown,Right,20.0,20.004,0.306
36238,2S,EE,Brown,Right,20.0,20.014,0.286
36238,2S,WW,Brown,Right,20.0,20.006,0.313
36238,2S,EE,Brown,Right,20.0,20.017,0.235
36238,2S,WW,Brown,Right,20.0,20.004,0.361
36238,2S,EE,Brown,Right,20.0,20.003,0.195
36238,2S,WW,Brown,Right,20.0,20.005,0.303
36238,2S,EE,Brown,Right,20.0,20.004,0.231
36238,2S,WW,Brown,Right,20.0,20.004,0.292
36238,2S,EE,Brown,Right,20.0,20.013,0.323
36238,2S,WW,Brown,Right,20.0,20.006,0.302
36238,2S,EE,Brown,Right,20.0,20.014,0.282
36238,2S,WW,Brown,Right,20.0,20.004,0.312
36238,2S,EE,Brown,Right,20.0,20.028,0.282
36238,2S,WW,Brown,Right,20.0,20.008,0.29
36245,2S,EE,Brown,Right,20.0,20.002,0.294
36245,2S,WW,Brown,Right,20.0,20.004,0.387
36245,2S,WW,Brown,Right,20.0,20.002,0.29
36245,2S,EE,Brown,Right,20.0,20.005,0.397
36245,2S,WW,Brown,Right,20.0,20.003,0.318
36245,2S,EE,Brown,Right,20.0,20.004,0.394
36245,2S,WW,Brown,Right,20.0,20.004,0.348
36245,2S,EE,Brown,Right,20.0,20.003,0.384
36245,2S,WW,Brown,Right,20.0,20.003,0.305
36245,2S,EE,Brown,Right,20.0,20.004,0.378
36245,2S,WW,Brown,Right,20.0,20.004,0.359
36245,2S,EE,Brown,Right,20.0,20.005,0.375
36245,2S,WW,Brown,Right,20.0,20.004,0.33
36245,2S,EE,Brown,Right,20.0,20.006,0.35
36245,2S,WW,Brown,Right,20.0,20.004,0.332
36245,2S,EE,Brown,Right,20.0,20.004,0.325
36245,2S,WW,Brown,Right,20.0,20.002,0.332
35500,PSP,EE,Brown,Right,20.0,20.046,0.02895165
35500,PSP,WW,Brown,Right,20.0,20.114,0.03797998
35500,PSP,EE,Brown,Right,20.0,20.264,0.02710023
35500,PSP,WW,Brown,Right,20.0,20.175,0.0464023
35500,PSP,EE,Brown,Right,20.0,20.139,0.03708212
35500,PSP,WW,Brown,Right,20.0,20.138,0.03488517
35500,PSP,EE,Brown,Right,20.0,20.339,0.05987583
35500,PSP,EE,Brown,Right,20.0,20.039,0.03244791
35500,PSP,WW,Brown,Right,20.0,20.101,0.03332805
35500,PSP,EE,Brown,Right,20.0,20.038,0.03904574
35500,PSP,WW,Brown,Right,20.0,20.101,0.03839566
35500,PSP,EE,Brown,Right,20.0,20.114,0.04723246
35500,PSP,WW,Brown,Right,20.0,20.138,0.03045593
35500,PSP,EE,Brown,Right,20.0,20.103,0.04114403
35500,PSP,WW,Brown,Right,20.0,20.12,0.03368378
35500,PSP,EE,Brown,Right,20.0,20.025,0.03602428
35500,PSP,WW,Brown,Right,20.0,20.097,0.03001391
35500,PSP,EE,Brown,Right,20.0,20.104,0.0387659
35500,PSP,WW,Brown,Right,20.0,20.114,0.03500583
