batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,I600_PAMPR
34341,PSS,EE,Brown,Right,20.0,20.105,0.129952
34341,PSS,WW,Brown,Right,20.0,20.048,0.21639599999999998
34341,PSS,EE,Brown,Right,20.0,20.012,0.161932
34341,PSS,WW,Brown,Right,20.0,20.046,0.297762
34341,PSS,EE,Brown,Right,20.0,20.107,0.163487
34341,PSS,WW,Brown,Right,20.0,20.053,0.246493
34341,PSS,EE,Brown,Right,20.0,20.011,0.13967
34341,PSS,WW,Brown,Right,20.0,20.043,0.22673400000000002
34341,PSS,EE,Brown,Right,20.0,20.099,0.162648
34341,PSS,WW,Brown,Right,20.0,20.043,0.248528
34341,PSS,EE,Brown,Right,20.0,20.005,0.153787
34341,PSS,WW,Brown,Right,20.0,20.027,0.200214
34341,PSS,EE,Brown,Right,20.0,20.079,0.158719
34341,PSS,WW,Brown,Right,20.0,20.031,0.19303800000000002
34341,PSS,EE,Brown,Right,20.0,20.012,0.14353800000000003
34341,PSS,WW,Brown,Right,20.0,20.042,0.20581800000000003
34341,PSS,EE,Brown,Right,20.0,20.114,0.165836
34341,PSS,WW,Brown,Right,20.0,20.065,0.15487700000000001
34341,PSS,EE,Brown,Right,20.0,20.005,0.145299
34341,PSS,WW,Brown,Right,20.0,20.024,0.15081
34341,PSS,EE,Brown,Right,20.0,20.085,0.164965
34341,PSS,WW,Brown,Right,20.0,20.04,0.32681099999999996
34341,PSS,EE,Brown,Right,20.0,20.004,0.182958
34341,PSS,WW,Brown,Right,20.0,20.021,0.38541000000000003
34341,PSS,EE,Brown,Right,20.0,20.069,0.216959
34341,PSS,WW,Brown,Right,20.0,20.019,0.15813300000000002
34341,PSS,EE,Brown,Right,20.0,20.014,0.209846
34341,PSS,WW,Brown,Right,20.0,20.043,0.353969
34341,PSS,EE,Brown,Right,20.0,20.092,0.196475
34341,PSS,WW,Brown,Right,20.0,20.037,0.27327100000000004
34341,PSS,EE,Brown,Right,20.0,20.04,0.179823
34341,PSS,WW,Brown,Right,20.0,20.057,0.325467
34341,PSS,EE,Brown,Right,20.0,20.109,0.170969
34341,PSS,WW,Brown,Right,20.0,20.058,0.188307
34343,PSS,EE,Brown,Right,20.0,20.005,0.158886
34343,PSS,WW,Brown,Right,20.0,20.015,0.306784
34343,PSS,EE,Brown,Right,20.0,20.069,0.204496
34343,PSS,WW,Brown,Right,20.0,20.024,0.20794200000000002
34343,PSS,EE,Brown,Right,20.0,20.062,0.18597
34343,PSS,WW,Brown,Right,20.0,20.015,0.223361
34343,PSS,EE,Brown,Right,20.0,20.004,0.174595
34343,PSS,WW,Brown,Right,20.0,20.013,0.210559
34343,PSS,EE,Brown,Right,20.0,20.004,0.18022200000000002
34343,PSS,WW,Brown,Right,20.0,20.004,0.20707499999999998
34343,PSS,EE,Brown,Right,20.0,20.047,0.181719
34343,PSS,WW,Brown,Right,20.0,20.04,0.216629
34343,PSS,EE,Brown,Right,20.0,20.005,0.198112
34343,PSS,WW,Brown,Right,20.0,20.014,0.246928
34343,PSS,EE,Brown,Right,20.0,20.061,0.20852400000000001
34343,PSS,WW,Brown,Right,20.0,20.014,0.228464
34343,PSS,EE,Brown,Right,20.0,20.028,0.209821
34343,PSS,WW,Brown,Right,20.0,20.072,0.234357
34343,PSS,EE,Brown,Right,20.0,20.127,0.17767
34343,PSS,WW,Brown,Right,20.0,20.07,0.228563
34343,PSS,EE,Brown,Right,20.0,20.012,0.20516700000000002
34343,PSS,WW,Brown,Right,20.0,20.027,0.26250799999999996
34343,PSS,EE,Brown,Right,20.0,20.076,0.21032900000000002
34343,PSS,WW,Brown,Right,20.0,20.023,0.245568
34343,PSS,EE,Brown,Right,20.0,20.016,0.229448
34343,PSS,WW,Brown,Right,20.0,20.068,0.271739
34343,PSS,EE,Brown,Right,20.0,20.131,0.22740700000000003
34343,PSS,WW,Brown,Right,20.0,20.081,0.24340799999999999
34343,PSS,EE,Brown,Right,20.0,20.006,0.25566
34343,PSS,WW,Brown,Right,20.0,20.023,0.25552199999999997
34343,PSS,EE,Brown,Right,20.0,20.081,0.21935200000000002
34343,PSS,WW,Brown,Right,20.0,20.035,0.22771700000000003
34343,PSS,EE,Brown,Right,20.0,20.038,0.23204400000000003
34343,PSS,WW,Brown,Right,20.0,20.097,0.181645
34343,PSS,EE,Brown,Right,20.0,20.15,0.23023500000000002
34343,PSS,WW,Brown,Right,20.0,20.096,0.236396
34343,PSS,EE,Brown,Right,20.0,20.013,0.231042
34343,PSS,WW,Brown,Right,20.0,20.032,0.232296
34343,PSS,EE,Brown,Right,20.0,20.074,0.254398
34343,PSS,WW,Brown,Right,20.0,20.021,0.253932
35722,2S,EE,Brown,Right,20.0,20.006,0.32186200000000004
35722,2S,WW,Brown,Right,20.0,20.012,0.248976
35722,2S,EE,Brown,Right,20.0,20.003,0.360705
35722,2S,WW,Brown,Right,20.0,20.008,0.14924
35722,2S,EE,Brown,Right,20.0,20.056,0.389282
35722,2S,WW,Brown,Right,20.0,20.029,0.269289
35722,2S,EE,Brown,Right,20.0,20.039,0.318036
35722,2S,WW,Brown,Right,20.0,20.016,0.277521
35722,2S,EE,Brown,Right,20.0,20.006,0.35430500000000004
35722,2S,WW,Brown,Right,20.0,20.018,0.327338
35722,2S,EE,Brown,Right,20.0,20.004,0.34792500000000004
35722,2S,WW,Brown,Right,20.0,20.01,0.311701
35722,2S,EE,Brown,Right,20.0,20.053,0.395599
