batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,R_OHM
34332,2S,EE,Perugia,Right,20.0,20.0,32.53220946199
34332,2S,EE,Perugia,Left,20.0,20.0,28.945755149477
34332,2S,WW,Perugia,Right,20.0,20.0,35.166897798114995
34332,2S,WW,Perugia,Left,20.0,20.0,27.864715571256998
34332,2S,EE,Perugia,Right,20.0,20.0,33.441585963077
34332,2S,EE,Perugia,Left,20.0,20.0,26.969910414599997
34332,2S,WW,Perugia,Right,20.0,20.0,34.384832982111995
34332,2S,WW,Perugia,Left,20.0,20.0,27.049897590934
34332,2S,EE,Perugia,Right,20.0,20.0,44.388927860022996
34332,2S,EE,Perugia,Left,20.0,20.0,46.036808100652
34332,2S,WW,Perugia,Left,20.0,20.0,44.716498117391
34332,2S,WW,Perugia,Right,20.0,20.0,53.222342384406
34346,2S,EE,Perugia,Left,20.0,20.0,35.305172500542994
34346,2S,EE,Perugia,Right,20.0,20.0,35.628847906457
34346,2S,WW,Perugia,Right,20.0,20.0,42.74813194531799
34346,2S,WW,Perugia,Left,20.0,20.0,36.228313329639
34346,2S,EE,Perugia,Left,20.0,20.0,36.910483534457995
34346,2S,WW,Perugia,Left,20.0,20.0,34.257508547978
34346,2S,EE,Perugia,Right,20.0,20.0,38.104756385686
34346,2S,EE,Perugia,Left,20.0,20.0,36.846586452742
34346,2S,WW,Perugia,Right,20.0,20.0,45.030145234812
34346,2S,WW,Perugia,Left,20.0,20.0,35.109989449005994
34346,2S,EE,Perugia,Left,20.0,20.0,37.133247842681996
34346,2S,EE,Perugia,Right,20.0,20.0,39.511950692759996
34346,2S,WW,Perugia,Left,20.0,20.0,36.60848208524099
34346,2S,EE,Perugia,Right,20.0,20.0,41.116170828103996
34346,2S,EE,Perugia,Left,20.0,20.0,39.291962540202995
34346,2S,WW,Perugia,Left,20.0,20.0,38.275313655279
34346,2S,WW,Perugia,Right,20.0,20.0,47.28596581498599
34346,2S,EE,Perugia,Left,20.0,20.0,40.827299910379
34346,2S,EE,Perugia,Right,20.0,20.0,43.05019922624199
34346,2S,WW,Perugia,Left,20.0,20.0,39.048001105341996
34346,2S,WW,Perugia,Right,20.0,20.0,47.837497161430996
34346,2S,EE,Perugia,Left,20.0,20.0,41.693433453368996
34346,2S,EE,Perugia,Right,20.0,20.0,41.725604353774
34346,2S,WW,Perugia,Right,20.0,20.0,50.786655431919996
34346,2S,WW,Perugia,Left,20.0,20.0,38.390015510017996
34346,2S,EE,Perugia,Left,20.0,20.0,36.954247963146
34346,2S,EE,Perugia,Right,20.0,20.0,38.823119165018994
34346,2S,WW,Perugia,Right,20.0,20.0,46.447781746344
34346,2S,WW,Perugia,Left,20.0,20.0,35.430132607629
