batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,RSH_OHMSQR
34254,PSS,EE,Brown,Right,20.0,19.95,2302.966
34254,PSS,WW,Brown,Right,20.0,20.0,2399.225
34254,PSS,WW,Brown,Right,20.0,20.003,2409.422
34254,PSS,EE,Brown,Right,20.0,20.003,2250.198
34254,PSS,EE,Brown,Right,20.0,20.002,2260.719
34254,PSS,WW,Brown,Right,20.0,20.01,2348.047
34254,PSS,WW,Brown,Right,20.0,20.013,2359.085
34254,PSS,EE,Brown,Right,20.0,20.065,2254.762
34254,PSS,EE,Brown,Right,20.0,19.999,2244.988
34254,PSS,WW,Brown,Right,20.0,19.999,2359.203
34254,PSS,WW,Brown,Right,20.0,20.0,2360.011
34254,PSS,EE,Brown,Right,20.0,20.001,2265.253
34254,PSS,EE,Brown,Right,20.0,20.0,2262.271
34254,PSS,WW,Brown,Right,20.0,20.026,2358.365
34254,PSS,WW,Brown,Right,20.0,20.028,2357.958
34254,PSS,EE,Brown,Right,20.0,20.061,2268.723
34254,PSS,EE,Brown,Right,20.0,20.038,2265.506
34254,PSS,WW,Brown,Right,20.0,20.002,2372.033
34254,PSS,WW,Brown,Right,20.0,20.002,2371.492
34254,PSS,EE,Brown,Right,20.0,20.004,2265.309
34254,PSS,EE,Brown,Right,20.0,20.002,2260.098
34254,PSS,WW,Brown,Right,20.0,20.016,2361.174
34254,PSS,WW,Brown,Right,20.0,20.014,2370.861
34254,PSS,EE,Brown,Right,20.0,20.075,2281.735
34254,PSS,EE,Brown,Right,20.0,20.076,2276.51
34254,PSS,WW,Brown,Right,20.0,20.006,2360.357
34254,PSS,WW,Brown,Right,20.0,20.01,2357.751
34254,PSS,EE,Brown,Right,20.0,20.031,2280.333
34254,PSS,EE,Brown,Right,20.0,20.03,2280.155
34254,PSS,WW,Brown,Right,20.0,20.085,2379.415
34254,PSS,WW,Brown,Right,20.0,20.087,2364.299
34254,PSS,EE,Brown,Right,20.0,20.027,2325.507
34254,PSS,EE,Brown,Right,20.0,20.044,2291.357
34254,PSS,WW,Brown,Right,20.0,20.002,2364.692
34254,PSS,WW,Brown,Right,20.0,20.002,2364.024
34254,PSS,EE,Brown,Right,20.0,20.001,2290.464
34254,PSS,EE,Brown,Right,20.0,20.001,2290.986
34254,PSS,WW,Brown,Right,20.0,20.015,2380.591
34254,PSS,WW,Brown,Right,20.0,20.013,2379.67
34254,PSS,EE,Brown,Right,20.0,19.937,2288.956
34254,PSS,EE,Brown,Right,20.0,20.001,2289.364
34254,PSS,WW,Brown,Right,20.0,20.001,2363.717
34254,PSS,WW,Brown,Right,20.0,20.004,2374.656
34254,PSS,EE,Brown,Right,20.0,20.004,2285.313
34254,PSS,EE,Brown,Right,20.0,20.003,2281.809
34254,PSS,WW,Brown,Right,20.0,20.015,2381.673
34254,PSS,WW,Brown,Right,20.0,20.017,2376.619
34340,PSS,WW,Brown,Right,20.0,20.003,2350.735
34340,PSS,WW,Brown,Right,20.0,20.001,2352.462
34340,PSS,EE,Brown,Right,20.0,20.019,2314.485
34340,PSS,EE,Brown,Right,20.0,20.019,2319.001
34340,PSS,WW,Brown,Right,20.0,20.068,2367.177
34340,PSS,WW,Brown,Right,20.0,20.067,2371.867
34340,PSS,EE,Brown,Right,20.0,20.014,2293.518
34340,PSS,EE,Brown,Right,20.0,19.954,2295.741
34340,PSS,WW,Brown,Right,20.0,20.004,2352.734
34340,PSS,WW,Brown,Right,20.0,20.002,2353.375
34340,PSS,EE,Brown,Right,20.0,20.016,2290.164
34340,PSS,EE,Brown,Right,20.0,20.015,2304.523
34340,PSS,WW,Brown,Right,20.0,20.082,2354.361
34340,PSS,WW,Brown,Right,20.0,20.079,2364.841
34354,2S,EE,Perugia,Left,20.0,20.0,2320.108
34354,2S,EE,Perugia,Left,20.0,20.0,2320.211
34354,2S,EE,Perugia,Left,20.0,20.0,2330.506
34354,2S,WW,Perugia,Left,20.0,20.0,2378.0
34352,2S,EE,Perugia,Left,20.0,20.0,2248.789
34352,2S,EE,Perugia,Left,20.0,20.0,2248.789
34352,2S,EE,Perugia,Left,20.0,20.0,2248.789
34352,2S,EE,Perugia,Left,20.0,20.0,2248.789
34352,2S,EE,Perugia,Left,20.0,20.0,2248.789
34352,2S,EE,Perugia,Left,20.0,20.0,2248.789
34352,2S,EE,Perugia,Left,20.0,20.0,2248.789
34352,2S,EE,Perugia,Left,20.0,20.0,2248.789
34352,2S,WW,Perugia,Left,20.0,20.0,2282.301
34352,2S,EE,Perugia,Left,20.0,20.0,2261.122
34352,2S,WW,Perugia,Left,20.0,20.0,2294.722
34352,2S,EE,Perugia,Left,20.0,20.0,2265.827
34352,2S,WW,Perugia,Left,20.0,20.0,2291.059
34352,2S,EE,Perugia,Left,20.0,20.0,2277.755
34352,2S,WW,Perugia,Left,20.0,20.0,2294.075
34352,2S,EE,Perugia,Left,20.0,20.0,2287.084
34352,2S,WW,Perugia,Left,20.0,20.0,2294.381
34353,2S,EE,Brown,Right,20.0,20.014,2394.681
34353,2S,EE,Brown,Right,20.0,20.014,2394.084
34353,2S,WW,Brown,Right,20.0,20.012,2458.608
34353,2S,WW,Brown,Right,20.0,20.012,2439.517
34353,2S,EE,Brown,Right,20.0,20.038,2302.192
34353,2S,EE,Brown,Right,20.0,20.037,2298.733
34353,2S,WW,Brown,Right,20.0,20.092,2353.369
34353,2S,WW,Brown,Right,20.0,20.091,2351.044
34353,2S,EE,Brown,Right,20.0,20.042,2264.183
34353,2S,EE,Brown,Right,20.0,20.044,2270.356
34353,2S,WW,Brown,Right,20.0,20.012,2320.586
34353,2S,WW,Brown,Right,20.0,20.012,2323.149
34353,2S,EE,Brown,Right,20.0,20.044,2271.924
34353,2S,EE,Brown,Right,20.0,20.043,2275.291
