batch_number,Type,TOX_NM,Location,KIND_OF_HM_SET_ID
36239,2-S,673.4119999999999,HEPHY,Left
36239,2-S,665.4739999999999,HEPHY,Left
36239,2-S,672.5089999999999,HEPHY,Left
36239,2-S,663.2860000000001,HEPHY,Left
36239,2-S,670.073,HEPHY,Left
36239,2-S,661.6389999999999,HEPHY,Left
36239,2-S,671.097,HEPHY,Left
36239,2-S,662.008,HEPHY,Left
36239,2-S,667.7689999999999,HEPHY,Left
36240,2-S,666.451,HEPHY,Left
36240,2-S,677.4689999999999,HEPHY,Left
36240,2-S,669.454,HEPHY,Left
36240,2-S,678.1519999999999,HEPHY,Left
36240,2-S,672.2739999999999,HEPHY,Left
36240,2-S,678.172,HEPHY,Left
36240,2-S,670.9639999999999,HEPHY,Left
36240,2-S,674.31,HEPHY,Left
36240,2-S,664.01,HEPHY,Left
36240,2-S,676.8969999999999,HEPHY,Left
36240,2-S,675.1239999999999,HEPHY,Left
36240,2-S,668.5889999999999,HEPHY,Left
36240,2-S,672.0089999999999,HEPHY,Right
36240,2-S,664.73,HEPHY,Right
36240,2-S,672.049,HEPHY,Left
36240,2-S,674.429,HEPHY,Left
36240,2-S,666.242,HEPHY,Left
36240,2-S,672.888,HEPHY,Left
36240,2-S,668.444,HEPHY,Left
36240,2-S,668.992,HEPHY,Left
36240,2-S,680.5260000000001,HEPHY,Left
36240,2-S,667.676,HEPHY,Left
36240,2-S,665.2919999999999,HEPHY,Left
36240,2-S,673.9760000000001,HEPHY,Left
36241,2-S,676.186,HEPHY,Left
36241,2-S,686.951,HEPHY,Left
36241,2-S,677.331,HEPHY,Left
36241,2-S,690.922,HEPHY,Left
36241,2-S,676.342,HEPHY,Left
36241,2-S,688.665,HEPHY,Left
36241,2-S,674.921,HEPHY,Left
36241,2-S,688.7389999999999,HEPHY,Left
36241,2-S,674.569,HEPHY,Left
36241,2-S,685.932,HEPHY,Left
36241,2-S,671.1189999999999,HEPHY,Left
36241,2-S,683.465,HEPHY,Left
36241,2-S,675.438,HEPHY,Left
36241,2-S,680.748,HEPHY,Left
36241,2-S,669.097,HEPHY,Left
36241,2-S,680.671,HEPHY,Left
36241,2-S,668.3430000000001,HEPHY,Left
36241,2-S,677.452,HEPHY,Left
36241,2-S,668.445,HEPHY,Left
36241,2-S,677.916,HEPHY,Left
36243,2-S,640.0, ,Left
36243,2-S,640.0, ,Left
36243,2-S,640.0, ,Left
36243,2-S,640.0, ,Left
36243,2-S,640.0, ,Left
36243,2-S,640.0, ,Left
36243,2-S,640.0, ,Left
36243,2-S,640.0, ,Left
36243,2-S,640.0, ,Left
36243,2-S,640.0, ,Left
36243,2-S,640.0, ,Left
36243,2-S,640.0, ,Left
36243,2-S,640.0, ,Left
36243,2-S,640.0, ,Left
36243,2-S,640.0, ,Left
36243,2-S,640.0, ,Left
36243,2-S,640.0, ,Left
36245,2-S,666.574,Brown,Right
36245,2-S,666.574,Brown,Right
36245,2-S,666.574,Brown,Right
36245,2-S,666.574,Brown,Right
36245,2-S,666.574,Brown,Right
36245,2-S,658.955,Brown,Right
36245,2-S,658.955,Brown,Right
36245,2-S,658.955,Brown,Right
36245,2-S,666.299,Brown,Right
36245,2-S,666.299,Brown,Right
36245,2-S,666.299,Brown,Right
36245,2-S,666.299,Brown,Right
36245,2-S,658.035,Brown,Right
36245,2-S,658.035,Brown,Right
36245,2-S,664.495,Brown,Right
36245,2-S,664.495,Brown,Right
36245,2-S,664.495,Brown,Right
36245,2-S,664.495,Brown,Right
36245,2-S,658.829,Brown,Right
36245,2-S,658.829,Brown,Right
36245,2-S,660.203,Brown,Right
36245,2-S,660.203,Brown,Right
36245,2-S,660.203,Brown,Right
36245,2-S,660.203,Brown,Right
36245,2-S,659.054,Brown,Right
36245,2-S,659.054,Brown,Right
36245,2-S,659.625,Brown,Right
36245,2-S,659.625,Brown,Right
36245,2-S,659.625,Brown,Right
36245,2-S,659.625,Brown,Right
36245,2-S,652.71,Brown,Right
36245,2-S,652.71,Brown,Right
36245,2-S,662.199,Brown,Right
36245,2-S,662.199,Brown,Right
36245,2-S,662.199,Brown,Right
36245,2-S,662.199,Brown,Right
36245,2-S,652.148,Brown,Right
36245,2-S,652.148,Brown,Right
36245,2-S,659.314,Brown,Right
36245,2-S,659.314,Brown,Right
36245,2-S,659.314,Brown,Right
36245,2-S,659.314,Brown,Right
36245,2-S,652.43,Brown,Right
36245,2-S,652.43,Brown,Right
36245,2-S,659.467,Brown,Right
36245,2-S,659.467,Brown,Right
36245,2-S,659.467,Brown,Right
36245,2-S,659.467,Brown,Right
36245,2-S,652.798,Brown,Right
36245,2-S,652.798,Brown,Right
36245,2-S,657.336,Brown,Right
36245,2-S,657.336,Brown,Right
36245,2-S,657.336,Brown,Right
36245,2-S,657.336,Brown,Right
36245,2-S,652.8919999999999,Brown,Right
36245,2-S,652.8919999999999,Brown,Right
36246,2-S,662.96,Brown,Right
36246,2-S,657.003,Brown,Right
36246,2-S,664.695,Brown,Right
36246,2-S,657.7280000000001,Brown,Right
36246,2-S,664.1489999999999,Brown,Right
36246,2-S,656.946,Brown,Right
36246,2-S,663.847,Brown,Right
36246,2-S,657.48,Brown,Right
36246,2-S,662.054,Brown,Right
36246,2-S,657.439,Brown,Right
36246,2-S,660.559,Brown,Right
36246,2-S,655.742,Brown,Right
36246,2-S,658.995,Brown,Right
36246,2-S,654.0459999999999,Brown,Right
36246,2-S,659.577,Brown,Right
36246,2-S,654.693,Brown,Right
36246,2-S,658.6510000000001,Brown,Right
36246,2-S,651.63,Brown,Right
36696,PSS,676.467,Brown,Right
36696,PSS,676.467,Brown,Right
36696,PSS,664.32,Brown,Right
36696,PSS,664.32,Brown,Right
36696,PSS,674.0239999999999,Brown,Right
36696,PSS,674.0239999999999,Brown,Right
36696,PSS,669.043,Brown,Right
36696,PSS,669.043,Brown,Right
36696,PSS,677.084,Brown,Right
36696,PSS,677.084,Brown,Right
36696,PSS,670.1469999999999,Brown,Right
36696,PSS,670.1469999999999,Brown,Right
36696,PSS,678.955,Brown,Right
36696,PSS,678.955,Brown,Right
36696,PSS,675.9910000000001,Brown,Right
36696,PSS,675.9910000000001,Brown,Right
36696,PSS,669.556,Brown,Right
36696,PSS,669.556,Brown,Right
36696,PSS,668.154,Brown,Right
36696,PSS,668.154,Brown,Right
36696,PSS,665.14,Brown,Right
36696,PSS,665.14,Brown,Right
36696,PSS,670.813,Brown,Right
36696,PSS,670.813,Brown,Right
36696,PSS,670.2919999999999,Brown,Right
36696,PSS,670.2919999999999,Brown,Right
36696,PSS,671.17,Brown,Right
36696,PSS,671.17,Brown,Right
36696,PSS,662.185,Brown,Right
36696,PSS,662.185,Brown,Right
36696,PSS,667.533,Brown,Right
36696,PSS,667.533,Brown,Right
36696,PSS,661.128,Brown,Right
36696,PSS,661.128,Brown,Right
36697,PSS,667.995,Brown,Right
36697,PSS,667.995,Brown,Right
