ID,KIND_OF_CONDITION_ID,KIND_OF_CONDITION,CONDITION_DATA_SET_ID,KIND_OF_PART_ID,KIND_OF_PART,PART_ID,PART_BARCODE,PART_NAME_LABEL,VFB_V,CACC_PFRD,NOX,TOX_NM,KIND_OF_HM_FLUTE_ID,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_CONFIG_ID,KIND_OF_HM_SET_ID,PROCEDURE_TYPE,EQUIPMENT,WAITING_TIME_S,AC_FREQ_HZ,AC_AMPL_V,TEMP_SET_DEGC,AV_TEMP_DEGC,FILE_NAME,Location
8772180,9140,Tracker Halfmoon CV Parameters,758802,7620,PS-p Halfmoon W,68151,35499_002_PSP_HM_WW,35499_002_PSP_HM_WW,4.423,87.521,167846600000.0,656.2589999999999,PQC1,MOS_QUARTER,Not Used,Left,MOS capacitor (HV Src),PQC Flute 1 Pos3,0.1,10000.0,0.25,,,HPK_VPX35499_002_PSP_HM_WL__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-20T14-14-30.json,HEPHY
8807260,9140,Tracker Halfmoon CV Parameters,765642,7600,PS-p Halfmoon E,68234,35499_011_PSP_HM_EE,35499_011_PSP_HM_EE,5.066,88.54,191160300000.0,648.705,PQC1,MOS_QUARTER,Not Used,Left,MOS capacitor (HV Src),PQC Flute 1 Pos2,0.1,10000.0,0.25,,,HPK_VPX35499_011_PSP_HM_EL__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-20T18-37-51.json,HEPHY
8778320,9140,Tracker Halfmoon CV Parameters,759782,7600,PS-p Halfmoon E,68234,35499_011_PSP_HM_EE,35499_011_PSP_HM_EE,4.717,87.405,177285300000.0,657.132,PQC1,MOS_QUARTER,Not Used,Left,MOS capacitor (HV Src),PQC Flute 1 Pos2,0.1,10000.0,0.25,,,HPK_VPX35499_011_PSP_HM_EL__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-20T18-37-51.json,HEPHY
8843880,9140,Tracker Halfmoon CV Parameters,773302,7620,PS-p Halfmoon W,68239,35499_011_PSP_HM_WW,35499_011_PSP_HM_WW,4.49,87.976,170939700000.0,652.863,PQC1,MOS_QUARTER,Not Used,Right,MOS capacitor (HV Src),PQC Flute 1 Pos1,0.1,10000.0,0.25,,,HPK_VPX35499_011_PSP_HM_WR__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-20T16-10-27.json,HEPHY
8798060,9140,Tracker Halfmoon CV Parameters,764022,7620,PS-p Halfmoon W,68239,35499_011_PSP_HM_WW,35499_011_PSP_HM_WW,5.183,88.046,193982200000.0,652.342,PQC1,MOS_QUARTER,Not Used,Right,MOS capacitor (HV Src),PQC Flute 1 Pos1,0.1,10000.0,0.25,,,HPK_VPX35499_011_PSP_HM_WR__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-20T16-10-27.json,HEPHY
8812680,9140,Tracker Halfmoon CV Parameters,766942,7600,PS-p Halfmoon E,68278,35499_015_PSP_HM_EE,35499_015_PSP_HM_EE,4.905,87.738,184132700000.0,654.633,PQC1,MOS_QUARTER,Not Used,Right,MOS capacitor (HV Src),PQC Flute 1 Pos2,0.1,10000.0,0.25,,,HPK_VPX35499_015_PSP_HM_ER__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-21T12-35-15.json,HEPHY
8767760,9140,Tracker Halfmoon CV Parameters,757642,7600,PS-p Halfmoon E,68278,35499_015_PSP_HM_EE,35499_015_PSP_HM_EE,5.178,88.11,193929400000.0,651.87,PQC1,MOS_QUARTER,Not Used,Right,MOS capacitor (HV Src),PQC Flute 1 Pos2,0.1,10000.0,0.25,,,HPK_VPX35499_015_PSP_HM_ER__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-21T12-35-15.json,HEPHY
8765220,9140,Tracker Halfmoon CV Parameters,756982,7620,PS-p Halfmoon W,68293,35499_015_PSP_HM_WW,35499_015_PSP_HM_WW,4.724,87.84100000000001,178379400000.0,653.865,PQC1,MOS_QUARTER,Not Used,Right,MOS capacitor (HV Src),PQC Flute 1 Pos1,0.1,10000.0,0.25,,,HPK_VPX35499_015_PSP_HM_WR__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-21T10-55-06.json,HEPHY
8823540,9140,Tracker Halfmoon CV Parameters,768882,7620,PS-p Halfmoon W,68293,35499_015_PSP_HM_WW,35499_015_PSP_HM_WW,5.285,87.881,196965700000.0,653.5740000000001,PQC1,MOS_QUARTER,Not Used,Right,MOS capacitor (HV Src),PQC Flute 1 Pos1,0.1,10000.0,0.25,,,HPK_VPX35499_015_PSP_HM_WR__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-21T10-55-06.json,HEPHY
8786280,9140,Tracker Halfmoon CV Parameters,761622,7600,PS-p Halfmoon E,71154,35499_021_PSP_HM_EE,35499_021_PSP_HM_EE,5.111000000000001,88.34700000000001,192229300000.0,650.123,PQC1,MOS_QUARTER,Not Used,Right,MOS capacitor (HV Src),PQC Flute 1 Pos4,0.1,10000.0,0.25,,,HPK_VPX35499_021_PSP_HM_ER__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-21T19-57-56.json,HEPHY
8817660,9140,Tracker Halfmoon CV Parameters,767882,7600,PS-p Halfmoon E,71154,35499_021_PSP_HM_EE,35499_021_PSP_HM_EE,4.891,87.792,183785500000.0,654.234,PQC1,MOS_QUARTER,Not Used,Right,MOS capacitor (HV Src),PQC Flute 1 Pos4,0.1,10000.0,0.25,,,HPK_VPX35499_021_PSP_HM_ER__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-21T19-57-56.json,HEPHY
8779940,9140,Tracker Halfmoon CV Parameters,760142,7620,PS-p Halfmoon W,71159,35499_021_PSP_HM_WW,35499_021_PSP_HM_WW,4.761,87.90700000000001,179736700000.0,653.378,PQC1,MOS_QUARTER,Not Used,Left,MOS capacitor (HV Src),PQC Flute 1 Pos3,0.1,10000.0,0.25,,,HPK_VPX35499_021_PSP_HM_WL__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-21T15-06-29.json,HEPHY
8837580,9140,Tracker Halfmoon CV Parameters,772142,7620,PS-p Halfmoon W,71159,35499_021_PSP_HM_WW,35499_021_PSP_HM_WW,5.2379999999999995,88.184,196086900000.0,651.326,PQC1,MOS_QUARTER,Not Used,Left,MOS capacitor (HV Src),PQC Flute 1 Pos3,0.1,10000.0,0.25,,,HPK_VPX35499_021_PSP_HM_WL__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-21T15-06-29.json,HEPHY
8820760,9140,Tracker Halfmoon CV Parameters,768282,7600,PS-p Halfmoon E,71230,35499_027_PSP_HM_EE,35499_027_PSP_HM_EE,5.151,88.04,192889400000.0,652.389,PQC1,MOS_QUARTER,Not Used,Left,MOS capacitor (HV Src),PQC Flute 1 Pos2,0.1,10000.0,0.25,,,HPK_VPX35499_027_PSP_HM_EL__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-21T19-06-48.json,HEPHY
8760540,9140,Tracker Halfmoon CV Parameters,756162,7600,PS-p Halfmoon E,71230,35499_027_PSP_HM_EE,35499_027_PSP_HM_EE,4.526,88.04,172248400000.0,652.391,PQC1,MOS_QUARTER,Not Used,Left,MOS capacitor (HV Src),PQC Flute 1 Pos2,0.1,10000.0,0.25,,,HPK_VPX35499_027_PSP_HM_EL__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-21T19-06-48.json,HEPHY
8826420,9140,Tracker Halfmoon CV Parameters,769922,7620,PS-p Halfmoon W,71235,35499_027_PSP_HM_WW,35499_027_PSP_HM_WW,5.162999999999999,88.538,194377600000.0,648.719,PQC1,MOS_QUARTER,Not Used,Right,MOS capacitor (HV Src),PQC Flute 1 Pos1,0.1,10000.0,0.25,,,HPK_VPX35499_027_PSP_HM_WR__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-21T16-34-50.json,HEPHY
8776600,9140,Tracker Halfmoon CV Parameters,759402,7620,PS-p Halfmoon W,71235,35499_027_PSP_HM_WW,35499_027_PSP_HM_WW,4.295,88.766,165981000000.0,647.053,PQC1,MOS_QUARTER,Not Used,Right,MOS capacitor (HV Src),PQC Flute 1 Pos1,0.1,10000.0,0.25,,,HPK_VPX35499_027_PSP_HM_WR__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-21T16-34-50.json,HEPHY
8751600,9140,Tracker Halfmoon CV Parameters,753502,7600,PS-p Halfmoon E,71312,35499_035_PSP_HM_EE,35499_035_PSP_HM_EE,4.5489999999999995,87.999,172922200000.0,652.691,PQC1,MOS_QUARTER,Not Used,Left,MOS capacitor (HV Src),PQC Flute 1 Pos2,0.1,10000.0,0.25,,,HPK_VPX35499_035_PSP_HM_EL__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-23T11-33-28.json,HEPHY
