,Name,Mode,DielNE,DielNW,DielSW,LineW_Pstop_std,LineW_Pstop_rot,LineW_Strip_std,LineW_Strip_rot,Rpoly,GCD I_surf,GCD S_0,GCD Vfb_Acc_Dep
58,VPX37077_037_PSS_HM_E_Left,Quick,200,200,200,41.0197,53.163000000000004,34.0426,34.1919,1.5331700000000001,4.62472,1.15687,-2.65766
59,VPX37077_037_PSS_HM_W_Left,Quick,200,200,200,46.6013,46.6668,34.0631,33.8102,1.50132,4.5494,1.1480299999999999,-2.6876900000000004
60,VPX35955_010_PSS_HM_E_Left,Extended,200,200,200,50.4426,50.0641,34.1196,34.3208,1.40479,5.94919,1.11827,-2.62763
61,VPX35955_010_PSS_HM_W_Left,Extended,200,200,200,49.9788,49.8554,34.2955,34.4365,1.41806,5.17706,1.11691,-2.67267
62,VPX35955_020_PSS_HM_E_Left,Extended,200,200,200,49.1425,49.6001,33.6666,34.0152,1.4041700000000001,5.5153099999999995,1.08217,-2.67267
63,VPX35955_020_PSS_HM_W_Left,Extended,200,200,200,49.6041,49.1512,33.7537,33.7868,1.38704,5.69304,1.08863,-2.77778
64,VPX35955_030_PSS_HM_E_Left,Extended,200,200,200,52.36,52.5441,33.926,33.8922,1.45821,4.8810400000000005,1.01725,-2.56757
65,VPX35955_030_PSS_HM_W_Left,Extended,200,200,200,50.6311,50.6211,33.6814,33.6686,1.45222,5.22612,0.990815,-2.55255
66,VPX35955_047_PSS_HM_E_Left,Extended,200,200,200,49.2113,48.9307,34.2186,34.339,1.4649,5.15565,1.0116,-2.49249
67,VPX35955_047_PSS_HM_W_Left,Extended,200,200,200,50.9404,50.7727,34.0035,34.091,1.44709,5.35952,1.01611,-2.5375400000000004
68,VPX35955_008_PSS_HM_E_Left,Quick,200,200,200,48.2065,48.8381,33.9158,34.0595,1.40094,5.92781,1.05853,-2.67267
69,VPX35955_008_PSS_HM_W_Left,Quick,200,200,200,50.056000000000004,49.8494,34.2142,34.0944,1.4183700000000001,5.7817099999999995,1.05924,-2.6876900000000004
70,VPX35955_018_PSS_HM_E_Left,Quick,200,200,200,49.1715,49.1737,33.9572,34.1515,1.3943,6.0339,1.11494,-2.62763
71,VPX35955_018_PSS_HM_W_Left,Quick,200,200,200,49.1825,48.9607,34.4607,34.5243,1.39196,5.95017,1.1089200000000001,-2.74775
72,VPX35955_026_PSS_HM_E_Left,Quick,200,200,200,48.917,48.9975,33.7146,34.1839,1.46004,5.2135,0.971628,-2.44745
73,VPX35955_026_PSS_HM_W_Left,Quick,200,200,200,50.2533,49.5145,34.2847,34.2916,1.4769,5.33633,0.9945200000000001,-2.52252
74,VPX35955_035_PSS_HM_E_Left,Quick,200,200,200,48.1699,48.131,34.0835,34.0682,1.45795,5.41619,1.01809,-2.4624599999999996
75,VPX35955_035_PSS_HM_W_Left,Quick,200,200,200,50.9521,50.7217,34.1867,34.2551,1.44507,5.340269999999999,1.0038200000000002,-2.5375400000000004
76,VPX35955_044_PSS_HM_E_Left,Quick,200,200,200,48.9429,48.8284,33.9999,34.1041,1.45849,5.75535,1.1390200000000001,-2.49249
77,VPX35955_044_PSS_HM_W_Left,Quick,200,200,200,50.5133,50.2951,34.2058,34.1378,1.44465,5.67221,1.08465,-2.55255
78,VPX35720_001_2-S_HM_E_Left,Quick,200,200,200,48.5292,48.1319,33.5785,33.5753,1.43925,5.1381,1.15762,-2.74775
79,VPX35720_001_2-S_HM_W_Left,Quick,200,200,200,49.1784,49.3481,33.6482,33.9464,1.4331,4.82069,1.1148,-2.7627599999999997
80,VPX35720_011_2-S_HM_E_Left,Quick,200,200,200,48.1906,48.3942,33.8085,33.8668,1.44261,5.51695,1.19023,-2.7627599999999997
81,VPX35720_011_2-S_HM_W_Left,Quick,200,200,200,48.7645,48.2339,33.6276,33.6285,1.45397,5.08983,1.1172799999999998,-2.79279
82,VPX35720_018_2-S_HM_E_Left,Quick,200,200,200,48.9847,49.2097,33.7483,33.7317,1.48315,5.14219,1.26401,-2.77778
83,VPX35720_018_2-S_HM_W_Left,Quick,200,200,200,48.2756,48.6108,33.7984,33.7981,1.46255,5.221830000000001,1.13636,-2.77778
84,VPX35720_029_2-S_HM_E_Left,Quick,200,200,200,47.8747,47.3241,33.9802,34.2029,1.4129,5.2595,1.0589600000000001,-2.6876900000000004
85,VPX35720_029_2-S_HM_W_Left,Quick,200,200,200,48.5376,48.1581,33.655,33.8731,1.37409,4.95181,1.01434,-2.73273
86,VPX35720_044_2-S_HM_E_Left,Quick,200,200,200,48.4944,48.4629,33.782,33.777,1.41319,5.63473,1.09614,-2.67267
87,VPX35720_044_2-S_HM_W_Left,Quick,200,200,200,49.5327,49.4705,33.8331,33.8651,1.4170200000000002,5.888,1.09733,-2.73273
88,VPX35720_008_2-S_HM_E_Left,Extended,200,200,200,48.7154,48.6112,33.777,33.808,1.44074,5.83387,1.15456,-2.7627599999999997
89,VPX35720_008_2-S_HM_W_Left,Extended,200,200,200,46.3225,46.7589,34.4914,34.6285,1.43404,5.45377,1.1766,-2.7627599999999997
90,VPX35720_015_2-S_HM_E_Left,Extended,200,200,200,48.2994,48.9048,33.7343,34.0042,1.44136,5.89553,1.2829700000000002,-2.7627599999999997
91,VPX35720_015_2-S_HM_W_Left,Extended,200,200,200,48.6328,48.5504,33.4026,33.4891,1.44696,3.51937,1.17887,-2.77778
92,VPX35720_034_2-S_HM_E_Left,Extended,200,200,200,44.3016,44.3659,33.4346,33.5054,1.4313799999999999,3.87399,1.03955,-2.5976
93,VPX35720_034_2-S_HM_W_Left,Extended,200,200,200,47.4741,47.7876,33.9662,34.0434,1.42356,4.46064,1.0226,-2.64264
94,VPX35720_049_2-S_HM_E_Left,Extended,200,200,200,47.6886,47.9709,33.3011,33.3802,1.43889,5.91518,1.30976,-2.73273
95,VPX35720_049_2-S_HM_W_Left,Extended,200,200,200,46.8526,46.7975,33.8988,34.0697,1.41931,5.65375,1.11891,-2.74775
96,VPX37400_006_2-S_HM_E_Left,Extended,200,200,200,48.4612,47.4164,34.1009,34.2372,1.42479,6.223669999999999,1.24234,-2.85285
97,VPX37400_006_2-S_HM_W_Left,Extended,200,200,200,48.0648,47.3096,33.5953,33.7455,1.61219,5.7964400000000005,1.2185,-2.97297
98,VPX37400_019_2-S_HM_E_Left,Extended,200,200,200,49.6186,49.172,33.5495,33.5526,1.44807,6.29365,1.19321,-2.95796
99,VPX37400_019_2-S_HM_W_Left,Extended,200,200,200,48.1561,48.3033,33.9981,34.1305,1.4151,6.60292,1.2305700000000002,-3.07808
100,VPX37400_049_2-S_HM_E_Left,Extended,200,200,200,47.9668,47.6922,33.485,32.5056,1.45484,6.09192,1.1160700000000001,-2.8378400000000004
101,VPX37400_049_2-S_HM_W_Left,Extended,200,200,200,47.1254,47.9424,34.05,34.2913,1.4791,5.74935,1.24037,-2.95796
102,VPX37400_003_2-S_HM_E_Left,Quick,200,200,200,48.6703,49.0524,33.9712,33.912,1.42913,5.9310599999999996,1.12446,-2.8979
103,VPX37400_003_2-S_HM_W_Left,Quick,200,200,200,49.5579,49.495,34.0451,34.0614,1.45347,6.11637,1.13989,-3.003
104,VPX37400_015_2-S_HM_E_Left,Quick,200,200,200,47.8895,47.8873,33.8677,33.7946,1.46919,6.39896,1.18239,-2.92793
105,VPX37400_015_2-S_HM_W_Left,Quick,200,200,200,48.7367,48.5826,33.4596,33.5152,1.43541,6.44225,1.19039,-3.04805
106,VPX37400_027_2-S_HM_E_Left,Quick,200,200,200,46.2145,46.2212,33.8566,33.9015,1.50949,5.6862900000000005,1.04176,-2.6126099999999997
107,VPX37400_027_2-S_HM_W_Left,Quick,200,200,200,48.9283,48.8056,33.5755,33.6713,1.50353,5.1539,1.13134,-2.73273
108,VPX37400_037_2-S_HM_E_Left,Quick,200,200,200,47.6147,47.8437,33.9798,33.9523,1.47835,5.37385,1.1103299999999998,-2.74775
109,VPX37400_037_2-S_HM_W_Left,Quick,200,200,200,48.1602,47.5077,33.5284,33.5882,1.4591100000000001,5.4144,1.1284,-2.86787
110,VPX35954_001_PSS_HM_E_Left,Quick,200,200,200,49.2316,49.208999999999996,34.1443,34.3041,1.49641,5.42658,1.23328,-2.74775
111,VPX35954_001_PSS_HM_W_Left,Quick,200,200,200,48.6359,48.8804,34.2991,34.2628,1.51633,5.4289,1.1025200000000002,-2.80781
112,VPX35954_015_PSS_HM_E_Left,Quick,200,200,200,49.9386,49.995,33.975,34.1368,1.47963,6.16517,1.14899,-2.71772
113,VPX35954_015_PSS_HM_W_Left,Quick,200,200,200,50.0972,49.9953,34.0943,34.1722,1.4694,6.31377,1.0804200000000002,-2.82282
114,VPX35954_031_PSS_HM_E_Left,Quick,200,200,200,48.6846,48.5946,34.2756,34.5318,1.43249,6.26,1.0354299999999999,-2.65766
