,Name,Mode,Meander_Rsh,ClMet_Rsh_std,ClMet_Rsh_rot,VDPEdge_std,VDPEdge_rot,LineW_Edge_std,LineW_Edge_rot,VDPBulk_std,VDPBulk_rot,VDPBulk_ResF1081,VDPBulk_ResF1218,Diode_I600,Diode_Cap,Diode_Vdep,Diode_Rho_Bulk
55,VPX37078_048_PSS_HM_W_Left,Quick,,,,,,,,72.3702,73.0034,3.48775,3.9009,0.5149279999999999,2.77631,230.47299999999998,3.70211
56,VPX36794_008_PSS_HM_E_Left,Extended,0.260785,17.7526,17.4073,1.2958399999999999,1.28864,45.9514,45.6961,77.9068,77.6218,3.7545800000000003,4.199330000000001,0.417717,2.76781,207.15599999999998,4.0904
57,VPX36794_008_PSS_HM_W_Left,Extended,0.269208,18.3056,18.2169,1.25443,1.26,45.7043,45.9071,80.3725,78.0805,3.87341,4.3322400000000005,0.506754,2.7539999999999996,208.892,4.0508
58,VPX36794_019_PSS_HM_E_Left,Extended,0.253905,17.8809,17.7561,1.31603,1.31437,47.9763,47.9159,74.2323,74.8716,3.57749,4.00127,0.426018,2.75219,220.47099999999998,3.8380300000000003
59,VPX36794_019_PSS_HM_W_Left,Extended,0.257204,17.9019,17.7013,1.2381,1.22714,45.7928,45.3876,71.9866,72.4582,3.46926,3.8802199999999996,0.48384499999999997,2.7544,218.49200000000002,3.8138900000000002
60,VPX36794_043_PSS_HM_E_Left,Extended,0.254529,17.7526,17.6395,1.28675,1.29318,46.2023,46.4331,72.8679,73.4466,3.51174,3.9277300000000004,0.5297609999999999,2.7831200000000003,215.28400000000002,3.9578300000000004
61,VPX36794_043_PSS_HM_W_Left,Extended,0.265487,18.1388,18.3324,1.27085,1.27773,45.9446,46.1935,74.875,75.7553,3.60846,4.035909999999999,0.47866800000000004,2.7960000000000003,219.74200000000002,3.88289
62,VPX36794_002_PSS_HM_E_Left,Quick,,,,,,,,77.5839,78.3868,3.7390199999999996,4.18193,0.10063899999999999,2.79455,214.68099999999998,3.97168
63,VPX36794_002_PSS_HM_W_Left,Quick,,,,,,,,78.8877,79.8056,3.80185,4.25221,0.47371599999999997,2.7526,216.09,3.9485300000000003
64,VPX36794_015_PSS_HM_E_Left,Quick,,,,,,,,78.0987,78.8193,3.7638199999999995,4.2096800000000005,0.370586,2.7694799999999997,216.752,3.9228699999999996
65,VPX36794_015_PSS_HM_W_Left,Quick,,,,,,,,77.0851,76.8691,3.71498,4.1550400000000005,0.544621,2.75276,219.055,3.8843099999999997
66,VPX36794_026_PSS_HM_E_Left,Quick,,,,,,,,76.9945,77.2501,3.71061,4.15016,0.38113600000000003,2.75576,216.976,3.9487
