,Name,Mode,CCEdge Rc,CCPoly Rc,CCStrip Rc,CBKRPoly_std,CBKRPoly_rot,CBKRStrip_std,CBKRStrip_rot,GCD I_surf,GCD S_0,GCD Vfb_Acc_Dep
13,VPX37408_010_2-S_HM_W_Left,Extended,78.0138,23.7352,90.2107,86.3335,86.3928,147.512,146.042,8.1098,1.08318,-2.79279
14,VPX37408_021_2-S_HM_E_Left,Extended,81.5083,25.980999999999998,94.5189,110.23899999999999,108.631,135.10399999999998,134.657,8.3528,1.2159,-2.71772
15,VPX37408_021_2-S_HM_W_Left,Extended,79.7932,25.2768,90.9037,96.5318,96.8928,140.704,140.719,8.04593,1.23363,-2.8378400000000004
16,VPX37408_046_2-S_HM_E_Left,Extended,83.774,24.6771,85.7579,110.77,111.057,159.386,159.09799999999998,7.5406699999999995,1.13631,-2.58258
17,VPX37408_046_2-S_HM_W_Left,Extended,81.2462,23.2679,86.4829,82.2177,82.2204,113.512,116.13600000000001,7.4358699999999995,1.1401,-2.67267
18,VPX37078_005_PSS_HM_E_Left,Extended,75.8204,15.2368,73.2797,57.0887,56.8444,135.38,134.07,8.321,1.16018,-2.56757
19,VPX37078_005_PSS_HM_W_Left,Extended,77.2981,14.8638,76.0177,51.2772,51.4692,119.624,120.383,8.54075,1.12135,-2.64264
20,VPX37078_017_PSS_HM_E_Left,Extended,77.6687,19.5722,91.3197,70.6631,70.6058,131.335,130.518,9.5744,1.24634,-2.64264
21,VPX37078_017_PSS_HM_W_Left,Extended,77.8877,18.3908,92.8176,79.3992,79.8932,121.749,122.91,9.5809,1.23655,-2.73273
22,VPX37078_031_PSS_HM_E_Left,Extended,76.5811,20.2443,74.1345,85.1799,85.2481,128.156,127.45299999999999,8.65165,1.10711,-2.3873900000000003
23,VPX37078_031_PSS_HM_W_Left,Extended,77.4818,18.9328,67.322,85.0594,85.2695,150.446,149.54,8.66835,1.10925,-2.43243
24,VPX36794_008_PSS_HM_E_Left,Extended,84.7909,19.4408,68.8584,78.1539,78.4796,149.09799999999998,151.542,8.90819,1.29675,-2.01201
25,VPX36794_008_PSS_HM_W_Left,Extended,83.5338,20.373,72.0174,71.4917,71.3766,116.781,114.816,8.47356,1.25498,-2.01201
26,VPX36794_019_PSS_HM_E_Left,Extended,80.8268,23.1259,77.2588,91.4051,90.7882,113.652,113.81700000000001,8.78325,1.30085,-2.01201
27,VPX36794_019_PSS_HM_W_Left,Extended,79.2213,23.9465,83.9264,102.111,102.35,97.1718,95.9494,6.402880000000001,1.1485299999999998,-2.01201
28,VPX36794_043_PSS_HM_E_Left,Extended,61.4582,20.2899,54.5696,85.9502,85.7111,95.5337,95.3126,7.9301,1.0411700000000002,-2.01201
29,VPX36794_043_PSS_HM_W_Left,Extended,81.9786,19.0559,61.5704,79.211,79.1228,77.6888,77.6056,8.11379,1.08371,-2.01201
30,VPX36244_003_2-S_HM_E_Left,Extended,74.2326,16.8636,68.3211,76.4798,76.2486,116.751,116.479,9.234210000000001,1.05782,-2.7027
31,VPX36244_003_2-S_HM_W_Left,Extended,74.446,17.1322,65.6363,65.5833,65.5975,87.4863,87.3272,9.84256,1.08996,-2.79279
32,VPX36244_016_2-S_HM_E_Left,Extended,73.7373,11.5951,68.2698,83.6359,83.9396,104.449,104.81,10.9484,1.22272,-2.73273
33,VPX36244_016_2-S_HM_W_Left,Extended,73.4138,11.3122,71.1662,76.3469,76.6498,113.02600000000001,111.719,10.7502,1.26325,-2.86787
34,VPX36244_028_2-S_HM_E_Left,Extended,74.6098,18.1622,57.1915,75.2093,74.4251,122.01799999999999,120.557,10.6074,1.20486,-2.52252
35,VPX36244_028_2-S_HM_W_Left,Extended,72.3815,14.0846,56.0457,77.0031,77.0066,89.0193,88.6655,9.69854,1.20967,-2.5976
36,VPX36244_042_2-S_HM_E_Left,Extended,71.6649,19.1151,68.2986,82.6801,82.9743,109.515,109.319,7.329269999999999,1.09494,-2.58258
37,VPX36244_042_2-S_HM_W_Left,Extended,70.6729,18.3804,61.0387,58.1286,58.1238,85.0851,85.3603,8.41527,1.25718,-2.7027
38,VPX38714_009_2-S_HM_E_Left,Extended,83.0118,23.3574,83.9364,102.929,102.65899999999999,124.185,124.111,7.68393,0.9917219999999999,-2.34234
39,VPX38714_009_2-S_HM_W_Left,Extended,79.8969,23.276999999999997,82.7949,90.0608,89.7248,142.484,138.404,6.9925,1.01789,-2.32733
40,VPX38714_026_2-S_HM_E_Left,Extended,89.554,21.811999999999998,60.5766,80.124,80.4915,112.936,113.005,6.63173,0.924646,-2.22222
41,VPX38714_026_2-S_HM_W_Left,Extended,89.9557,19.851,57.2001,79.8692,80.3653,105.351,104.8,6.7376,0.923386,-2.25225
42,VPX38714_048_2-S_HM_E_Left,Extended,80.8041,23.5139,74.2348,120.809,120.34700000000001,114.50200000000001,114.238,7.3939,0.98756,-2.1621599999999996
43,VPX38714_048_2-S_HM_W_Left,Extended,81.2846,25.7515,68.4258,93.5543,93.4943,102.93299999999999,102.18299999999999,7.37207,0.9762360000000001,-2.1621599999999996
44,VPX37077_009_PSS_HM_E_Left,Extended,75.9449,20.3036,90.7502,80.9878,80.5044,105.447,104.7,7.22848,1.2853,-2.6126099999999997
45,VPX37077_009_PSS_HM_W_Left,Extended,76.3797,19.0175,89.1546,81.2641,81.7709,136.83700000000002,137.866,8.914,1.19059,-2.65766
46,VPX37077_020_PSS_HM_E_Left,Extended,78.1796,20.1558,93.3028,79.6561,79.7664,143.738,143.541,9.741810000000001,1.22549,-3.03303
47,VPX37077_020_PSS_HM_W_Left,Extended,77.3288,19.7422,92.4921,83.4539,83.5101,154.988,153.09799999999998,9.53927,1.20001,-2.7627599999999997
48,VPX37077_032_PSS_HM_E_Left,Extended,78.1193,19.1676,72.6724,83.2938,83.9068,173.524,175.99900000000002,8.72815,1.0979700000000001,-2.41742
49,VPX37077_032_PSS_HM_W_Left,Extended,77.7441,18.3678,65.6104,69.4857,69.6527,134.366,133.518,8.61477,1.08371,-2.4624599999999996
50,VPX35955_010_PSS_HM_E_Left,Extended,87.3467,19.5169,72.5148,82.5668,83.0805,123.316,123.0,8.67752,1.1393,-2.4624599999999996
51,VPX35955_010_PSS_HM_W_Left,Extended,83.7096,17.9688,69.6687,92.5299,92.2286,103.71,104.14299999999999,7.64544,1.12259,-2.5375400000000004
52,VPX35955_020_PSS_HM_E_Left,Extended,85.56700000000001,20.0306,74.4309,84.1967,84.4166,125.853,125.727,8.03223,1.0914,-2.5375400000000004
53,VPX35955_020_PSS_HM_W_Left,Extended,85.7602,16.8563,64.6354,66.125,66.5088,122.76799999999999,123.74600000000001,8.35215,1.11555,-2.58258
54,VPX35955_030_PSS_HM_E_Left,Extended,85.6387,18.1157,57.8703,77.6039,77.7461,94.0025,93.876,7.23394,1.02613,-2.37237
55,VPX35955_030_PSS_HM_W_Left,Extended,86.2527,17.2464,57.5414,76.0892,76.4403,92.9596,92.816,7.67323,1.0161200000000001,-2.37237
56,VPX35955_047_PSS_HM_E_Left,Extended,87.5763,20.0248,73.0108,73.7267,73.2701,148.61,147.904,7.833810000000001,1.03738,-2.35736
57,VPX35955_047_PSS_HM_W_Left,Extended,87.1931,18.3557,65.9616,79.1789,79.6587,93.7648,93.3587,7.85531,1.03135,-2.44745
58,VPX37904_008_2-S_HM_E_Left,Extended,88.9699,19.1677,85.4088,75.5316,74.4953,139.583,137.495,6.3673,1.2146299999999999,-2.6876900000000004
59,VPX37904_008_2-S_HM_W_Left,Extended,85.2826,15.8846,82.8075,75.7787,76.001,148.642,149.44799999999998,6.6462699999999995,1.0924,-2.73273
60,VPX37904_023_2-S_HM_E_Left,Extended,83.8283,26.5655,81.9143,106.87,106.831,166.213,166.669,7.688269999999999,1.1288799999999999,-2.73273
61,VPX37904_023_2-S_HM_W_Left,Extended,81.7103,28.3892,86.1884,122.37299999999999,122.10700000000001,160.85399999999998,160.282,6.3573900000000005,1.24525,-2.7627599999999997
62,VPX37904_047_2-S_HM_E_Left,Extended,84.2158,25.331999999999997,92.73700000000001,74.3566,74.6908,151.037,150.514,6.22917,1.08838,-2.65766
63,VPX37904_047_2-S_HM_W_Left,Extended,83.1881,24.008000000000003,87.3372,101.988,101.93,130.18200000000002,131.491,6.55,1.11481,-2.67267
64,VPX35720_008_2-S_HM_E_Left,Extended,76.3132,23.000999999999998,71.0863,89.2024,88.1991,134.497,133.49,8.41348,1.15307,-2.62763
65,VPX35720_008_2-S_HM_W_Left,Extended,75.0854,22.116,77.057,94.5293,94.3536,102.13799999999999,102.53,8.10213,1.22092,-2.6126099999999997
66,VPX35720_015_2-S_HM_E_Left,Extended,75.4188,25.0879,79.7464,110.113,109.78200000000001,92.9829,93.0722,8.38358,1.3079,-2.62763
67,VPX35720_015_2-S_HM_W_Left,Extended,74.9312,25.3333,80.5141,122.311,122.95,149.032,149.814,5.565119999999999,1.12929,-2.65766
68,VPX35720_034_2-S_HM_E_Left,Extended,85.4028,14.5529,53.0384,58.4176,58.6242,119.15700000000001,120.29799999999999,5.90814,1.05053,-2.44745
69,VPX35720_034_2-S_HM_W_Left,Extended,84.4395,13.2364,52.7148,57.9438,57.8075,120.337,120.736,9.521,1.05435,-2.49249
70,VPX35720_049_2-S_HM_E_Left,Extended,79.0414,23.4197,79.4807,97.4169,98.1483,117.21799999999999,117.58200000000001,8.471119999999999,1.27652,-2.55255
71,VPX35720_049_2-S_HM_W_Left,Extended,79.4159,19.5024,76.8558,70.9085,71.1112,103.727,103.196,8.28548,1.12581,-2.56757
72,VPX37400_006_2-S_HM_E_Left,Extended,87.4145,18.4344,77.0887,77.681,77.4094,153.866,152.376,9.0336,1.27042,-2.71772
73,VPX37400_006_2-S_HM_W_Left,Extended,84.2937,16.4276,71.873,71.028,70.9372,116.413,115.382,8.5068,1.19634,-2.79279
74,VPX37400_019_2-S_HM_E_Left,Extended,89.4666,18.452,78.2391,79.543,79.7789,108.118,108.729,9.10967,1.19604,-2.82282
75,VPX37400_019_2-S_HM_W_Left,Extended,83.5551,14.9118,71.6045,61.23,61.8097,139.214,138.252,9.50337,1.22655,-2.8979
76,VPX37400_049_2-S_HM_E_Left,Extended,85.3919,20.0194,84.7612,84.3506,84.3252,145.99,144.68,9.05927,1.15927,-2.67267
77,VPX37400_049_2-S_HM_W_Left,Extended,82.65299999999999,18.8798,78.1072,70.3942,69.9258,116.831,115.39299999999999,8.3422,1.20393,-2.77778
78,VPX37905_010_2-S_HM_E_Left,Extended,94.089,23.2798,64.6948,94.3233,93.5587,122.464,124.24,7.1184,1.2221799999999998,-2.74775
79,VPX37905_010_2-S_HM_W_Left,Extended,92.4498,20.4323,67.3741,69.4879,68.0846,138.766,137.29,7.25213,1.16126,-2.85285
80,VPX37905_021_2-S_HM_E_Left,Extended,90.2729,21.676,66.5787,99.0372,98.7551,136.217,134.486,6.9558,1.1735799999999998,-2.74775
81,VPX37905_021_2-S_HM_W_Left,Extended,94.4859,22.066,68.4222,48.6287,49.2265,96.1724,97.0311,7.38967,1.13301,-2.86787
82,VPX37905_049_2-S_HM_E_Left,Extended,83.4451,27.656999999999996,84.8315,115.27600000000001,115.984,136.733,136.004,7.5566699999999996,1.06272,-2.7027
83,VPX37905_049_2-S_HM_W_Left,Extended,82.309,26.2799,83.4911,119.735,119.211,84.5737,85.9116,7.8556,1.05827,-2.77778
84,VPX35954_010_PSS_HM_E_Left,Extended,78.3243,19.632,76.1154,80.5371,80.2245,125.83,126.037,8.82296,1.3411,-2.5976
85,VPX35954_010_PSS_HM_W_Left,Extended,79.3807,19.9527,80.3831,85.2151,84.7838,107.74,107.65299999999999,8.62815,1.15241,-2.65766
86,VPX35954_021_PSS_HM_E_Left,Extended,77.8223,22.0404,81.0438,78.1909,77.8885,123.725,124.833,9.2959,1.2204899999999999,-2.56757
87,VPX35954_021_PSS_HM_W_Left,Extended,77.1164,21.5279,86.7542,98.2785,98.1529,166.11599999999999,165.601,9.121269999999999,1.1672,-2.65766
88,VPX35954_034_PSS_HM_E_Left,Extended,83.6163,19.160999999999998,65.8968,78.4881,77.9702,139.52700000000002,140.328,8.89852,1.10046,-2.50751
89,VPX35954_034_PSS_HM_W_Left,Extended,81.2252,18.3596,62.8461,67.7887,67.8238,139.613,139.303,7.021710000000001,1.11463,-2.56757
90,VPX35954_046_PSS_HM_E_Left,Extended,79.6533,20.0458,74.9908,86.4227,86.8768,168.10299999999998,169.442,7.92767,1.11489,-2.52252
91,VPX35954_046_PSS_HM_W_Left,Extended,80.6807,18.6762,70.6247,67.0882,66.9068,237.98,237.579,8.02792,1.0630899999999999,-2.55255
92,VPX36793_007_PSS_HM_E_Left,Extended,85.7487,19.7713,82.9659,80.5327,80.149,105.62100000000001,107.743,9.66998,1.18571,-2.8378400000000004
93,VPX36793_007_PSS_HM_W_Left,Extended,84.7888,19.621,82.0424,73.1889,73.3698,140.488,141.093,9.64385,1.21316,-2.9129099999999997
94,VPX36793_021_PSS_HM_E_Left,Extended,84.1171,21.9259,77.6296,92.6864,92.0648,99.1502,98.9608,9.918460000000001,1.31344,-2.8979
95,VPX36793_021_PSS_HM_W_Left,Extended,81.3956,21.0623,82.2409,79.1467,78.7163,130.028,130.207,9.637080000000001,1.33217,-3.003
96,VPX36793_048_PSS_HM_E_Left,Extended,83.5205,18.3694,80.1624,68.8071,68.4923,152.86700000000002,152.025,8.8929,1.25063,-2.77778
97,VPX36793_048_PSS_HM_W_Left,Extended,81.8951,19.2005,78.2088,73.5126,74.1313,112.367,112.09299999999999,8.89002,1.27197,-2.86787
98,VPX38869_005_2-S_HM_E_Left,Extended,94.2273,19.5008,79.1634,67.895,67.8299,145.281,143.69899999999998,7.8108699999999995,0.96595,-2.2973
99,VPX38869_005_2-S_HM_W_Left,Extended,92.0298,19.8554,80.9168,72.0031,72.0939,158.666,158.083,7.72993,0.947825,-2.34234
100,VPX38869_025_2-S_HM_E_Left,Extended,88.6721,36.9225,58.5099,158.77,161.409,84.4163,84.9264,7.5324,1.02348,-2.34234
101,VPX38869_025_2-S_HM_W_Left,Extended,85.2834,34.2888,64.936,159.53,159.216,101.02600000000001,100.421,7.6152,0.9744790000000001,-2.41742
102,VPX38869_048_2-S_HM_E_Left,Extended,91.014,19.9621,81.4404,92.2686,93.6861,148.075,149.238,7.47273,1.01537,-2.34234
103,VPX38869_048_2-S_HM_W_Left,Extended,91.3064,19.1473,74.8894,85.1746,84.9271,121.823,122.15299999999999,7.6302,0.968088,-2.35736
104,VPX35716_004_2-S_HM_E_Left,Extended,79.0513,28.644000000000002,66.6859,123.515,123.985,152.497,152.942,6.44736,1.05971,-1.8618599999999998
105,VPX35716_004_2-S_HM_W_Left,Extended,78.4409,25.1477,63.3174,108.58,107.818,92.5187,92.432,6.60262,1.03904,-1.95195
106,VPX35716_017_2-S_HM_E_Left,Extended,76.7385,32.3252,75.5324,140.494,139.844,141.893,140.709,7.3560300000000005,1.09893,-2.04204
107,VPX35716_017_2-S_HM_W_Left,Extended,75.5997,28.5361,73.942,119.19200000000001,118.72200000000001,109.521,109.882,7.22483,1.06083,-2.13213
108,VPX35716_031_2-S_HM_E_Left,Extended,76.9814,29.2904,58.7727,130.755,129.968,122.10799999999999,121.64399999999999,7.1585399999999995,0.989548,-1.7567599999999999
109,VPX35716_031_2-S_HM_W_Left,Extended,76.6765,24.3211,55.6421,94.0813,93.8914,104.113,102.663,7.035769999999999,0.972577,-1.8618599999999998
110,VPX35716_045_2-S_HM_E_Left,Extended,74.9845,29.776,73.3162,119.897,120.11399999999999,110.396,110.39299999999999,7.5505,1.0347899999999999,-1.8318299999999998
111,VPX35716_045_2-S_HM_W_Left,Extended,74.3719,26.1757,66.9266,108.02799999999999,108.795,122.634,121.64,7.72767,1.05908,-1.93694
112,VPX36243_005_2-S_HM_E_Left,Extended,73.5005,18.9704,72.1607,80.5172,80.2147,122.167,121.788,8.34752,1.1840899999999999,-2.62763
113,VPX36243_005_2-S_HM_W_Left,Extended,73.4945,17.391,72.1722,82.8012,82.1778,117.611,118.78399999999999,9.41806,1.08808,-3.3633599999999997
114,VPX36243_015_2-S_HM_E_Left,Extended,73.1557,18.5025,77.8627,74.1626,74.3736,120.88600000000001,120.26,10.4419,1.04511,-2.62763
115,VPX36243_015_2-S_HM_W_Left,Extended,71.9368,16.6356,73.0577,66.0857,66.3638,148.076,147.511,10.8174,1.01255,-2.67267
116,VPX36243_026_2-S_HM_E_Left,Extended,78.5578,14.8455,55.9044,56.2664,56.1042,93.1493,93.4994,10.1844,0.9068,-2.4624599999999996
117,VPX36243_026_2-S_HM_W_Left,Extended,77.3191,15.0501,53.7616,55.1192,54.8783,86.7163,87.1122,8.596119999999999,1.07217,-2.49249
118,VPX36243_035_2-S_HM_E_Left,Extended,75.2347,15.0252,61.5789,55.3156,55.0494,123.43799999999999,124.25200000000001,8.73081,1.1561700000000001,-2.50751
119,VPX36243_035_2-S_HM_W_Left,Extended,72.6825,13.5387,57.9727,50.4814,50.7947,90.6292,90.1518,8.18988,1.1033,-2.52252
120,VPX35721_002_2-S_HM_E_Left,Extended,81.4069,20.4741,64.6035,81.3788,81.7356,102.773,102.315,8.699060000000001,1.12274,-2.64264
121,VPX35721_002_2-S_HM_W_Left,Extended,82.1791,18.7151,61.9525,75.2413,75.6813,101.03399999999999,100.34700000000001,8.94854,1.10664,-2.65766
122,VPX35721_012_2-S_HM_E_Left,Extended,81.1825,19.6768,75.0516,85.2936,85.1668,83.5377,83.5427,9.37073,1.12961,-2.7027
123,VPX35721_012_2-S_HM_W_Left,Extended,81.4595,18.7475,72.6707,78.0119,79.1317,100.09700000000001,100.803,9.28571,1.1193600000000001,-2.74775
124,VPX35721_020_2-S_HM_E_Left,Extended,80.7279,21.5441,73.453,86.619,86.6536,122.91799999999999,123.05,6.73671,1.24065,-2.7027
125,VPX35721_020_2-S_HM_W_Left,Extended,79.8391,19.3892,69.6848,79.9399,79.8542,110.197,110.62100000000001,6.916810000000001,1.13687,-2.74775
126,VPX35721_033_2-S_HM_E_Left,Extended,83.9737,15.2449,54.4676,64.88600000000001,64.6597,129.596,129.499,6.862939999999999,1.14785,-2.5375400000000004
127,VPX35721_033_2-S_HM_W_Left,Extended,87.5325,15.5912,55.1686,62.5119,62.8434,103.695,103.742,6.76575,1.01954,-2.58258
128,VPX38870_013_2-S_HM_E_Left,Extended,85.2959,20.2443,95.6248,91.9008,92.415,123.969,123.35700000000001,8.6708,1.2194,-2.82282
129,VPX38870_013_2-S_HM_W_Left,Extended,83.0664,18.1376,93.5931,71.9939,71.5667,141.44899999999998,143.987,8.3016,1.19807,-2.77778
130,VPX38870_026_2-S_HM_E_Left,Extended,85.0447,19.7937,80.6902,98.9237,99.9815,145.997,146.451,7.7264,1.10548,-2.64264
131,VPX38870_026_2-S_HM_W_Left,Extended,83.5401,20.415,73.8456,81.0323,80.7457,101.486,100.88,7.7876,1.04911,-2.65766
132,VPX38870_034_2-S_HM_E_Left,Extended,84.7021,19.6786,90.5996,87.6614,87.5998,133.5,133.957,8.057,1.15278,-2.64264
133,VPX38870_034_2-S_HM_W_Left,Extended,83.617,18.0719,77.6117,69.5427,68.742,182.66,183.22099999999998,7.94647,1.07974,-2.64264
134,VPX37401_009_2-S_HM_E_Left,Extended,84.2478,16.112000000000002,62.4342,59.8845,60.3042,123.715,124.02600000000001,6.81513,1.03591,-2.34234
135,VPX37401_009_2-S_HM_W_Left,Extended,84.3873,15.23,57.7413,51.6579,52.0041,141.154,141.361,6.62137,1.05108,-2.44745
136,VPX37401_026_2-S_HM_E_Left,Extended,78.2174,16.3745,56.588,65.9471,65.4662,108.62700000000001,108.859,6.11453,0.953909,-2.25225
137,VPX37401_026_2-S_HM_W_Left,Extended,77.4058,16.6168,53.6551,42.2559,42.5645,91.1648,89.9536,6.723269999999999,0.867734,-2.34234
138,VPX37401_041_2-S_HM_E_Left,Extended,79.921,16.2645,61.3109,53.2097,53.6553,109.89299999999999,108.881,7.55922,0.992477,-2.26727
139,VPX37401_041_2-S_HM_W_Left,Extended,77.2683,15.0621,55.0693,53.9212,54.0187,105.104,104.76299999999999,7.295669999999999,1.01722,-2.34234
140,VPX38872_042_2-S_HM_E_Left,Extended,95.8348,14.3506,69.946,57.4824,58.0975,151.545,149.548,9.1862,1.31434,-2.64264
141,VPX38872_042_2-S_HM_W_Left,Extended,92.5155,15.3757,69.6425,57.9048,57.6664,97.7486,97.85799999999999,8.67653,1.2307700000000001,-2.65766
142,VPX38876_034_2-S_HM_E_Left,Extended,81.7129,18.0107,72.3377,71.7781,72.2012,110.60600000000001,110.991,7.22267,1.12679,-2.65766
143,VPX38876_034_2-S_HM_W_Left,Extended,79.9442,18.7404,65.5392,58.5182,58.6664,126.12100000000001,125.28299999999999,7.474069999999999,1.07864,-2.6876900000000004
144,VPX38876_046_2-S_HM_E_Left,Extended,81.4822,20.332,81.6758,92.6798,92.6185,116.40299999999999,116.322,8.14353,1.12571,-2.74775
145,VPX38876_046_2-S_HM_W_Left,Extended,78.8792,19.285999999999998,76.5731,87.47399999999999,87.1888,137.981,136.387,8.37173,1.1086200000000002,-2.74775
146,VPX38196_002_2-S_HM_E_Left,Extended,90.9384,21.2623,74.2628,83.4414,83.5684,118.609,118.719,9.15833,1.104,-2.67267
147,VPX38196_002_2-S_HM_W_Left,Extended,91.398,20.5405,71.6738,93.5934,92.7823,121.491,120.948,7.9732,1.18088,-2.67267
148,VPX38196_005_2-S_HM_E_Left,Extended,88.9462,22.8777,76.2484,88.4507,89.1606,97.6011,98.0519,8.2904,1.1659,-2.6876900000000004
149,VPX38196_005_2-S_HM_W_Left,Extended,87.4006,18.4312,74.9546,76.3335,76.7576,145.895,146.23,7.3243,1.2685799999999998,-2.74775
150,VPX38196_019_2-S_HM_E_Left,Extended,83.8732,23.6675,80.2563,95.9655,95.8396,137.292,136.159,8.99443,1.1809100000000001,-2.71772
151,VPX38196_019_2-S_HM_W_Left,Extended,83.5703,23.8892,81.6049,102.25299999999999,101.61399999999999,136.81,137.144,9.12053,1.16711,-2.74775
152,VPX38199_019_2-S_HM_E_Left,Extended,92.9037,16.6858,90.1242,62.3878,61.9907,151.658,152.33700000000002,7.433269999999999,1.20066,-2.56757
153,VPX38199_019_2-S_HM_W_Left,Extended,90.9577,15.0119,84.8554,63.9226,63.5315,137.10299999999998,135.806,7.814,1.1573,-2.65766
154,VPX38199_039_2-S_HM_E_Left,Extended,85.8405,14.6968,72.5859,41.339,41.3594,125.426,123.845,8.07933,1.07911,-2.44745
155,VPX38199_039_2-S_HM_W_Left,Extended,84.1379,15.0499,65.5591,55.9853,55.815,127.36,126.741,8.2854,1.08782,-2.4624599999999996
156,VPX38199_043_2-S_HM_E_Left,Extended,83.6383,16.3824,75.7574,73.1834,73.7455,133.30200000000002,133.512,7.4358,1.13025,-2.4624599999999996
157,VPX38199_043_2-S_HM_W_Left,Extended,83.3427,14.2135,68.9845,51.2271,51.5364,126.677,127.09100000000001,7.752999999999999,1.1092799999999998,-2.4624599999999996
