ID,KIND_OF_CONDITION_ID,KIND_OF_CONDITION,CONDITION_DATA_SET_ID,CHANNEL_ID,AGGREGATED_COND_DATA_SET_ID,KIND_OF_PART_ID,KIND_OF_PART,PART_ID,PART_BARCODE,PART_SERIAL_NUMBER,PART_NAME_LABEL,VTH_V
9410333,9160,"Tracker Halfmoon TC Parameters",825031,,825030,7400,"2S Halfmoon E",28344,34332_017_2-S_HM_EE,,34332_017_2-S_HM_EE,4.034
9441667,9160,"Tracker Halfmoon TC Parameters",825760,,825759,7400,"2S Halfmoon E",28344,34332_017_2-S_HM_EE,,34332_017_2-S_HM_EE,4.045
9410324,9160,"Tracker Halfmoon TC Parameters",824512,,824511,7420,"2S Halfmoon W",28347,34332_017_2-S_HM_WW,,34332_017_2-S_HM_WW,3.925
9441668,9160,"Tracker Halfmoon TC Parameters",825763,,825762,7420,"2S Halfmoon W",28347,34332_017_2-S_HM_WW,,34332_017_2-S_HM_WW,4.017
21886117,9160,"Tracker Halfmoon TC Parameters",2048984,,2048983,7480,"PS-s Halfmoon E",26206,34252_002_PSS_HM_EE,,34252_002_PSS_HM_EE,4.33
21841827,9160,"Tracker Halfmoon TC Parameters",2046239,,2046238,7480,"PS-s Halfmoon E",26206,34252_002_PSS_HM_EE,,34252_002_PSS_HM_EE,4.345
21936173,9160,"Tracker Halfmoon TC Parameters",2050457,,2050456,7500,"PS-s Halfmoon W",26211,34252_002_PSS_HM_WW,,34252_002_PSS_HM_WW,4.196
21841825,9160,"Tracker Halfmoon TC Parameters",2046014,,2046013,7500,"PS-s Halfmoon W",26211,34252_002_PSS_HM_WW,,34252_002_PSS_HM_WW,4.355
21936165,9160,"Tracker Halfmoon TC Parameters",2049806,,2049805,7480,"PS-s Halfmoon E",26212,34252_003_PSS_HM_EE,,34252_003_PSS_HM_EE,4.358
21936160,9160,"Tracker Halfmoon TC Parameters",2049326,,2049325,7480,"PS-s Halfmoon E",26212,34252_003_PSS_HM_EE,,34252_003_PSS_HM_EE,4.336
21886114,9160,"Tracker Halfmoon TC Parameters",2048867,,2048866,7500,"PS-s Halfmoon W",26217,34252_003_PSS_HM_WW,,34252_003_PSS_HM_WW,4.165
21841826,9160,"Tracker Halfmoon TC Parameters",2046122,,2046121,7500,"PS-s Halfmoon W",26217,34252_003_PSS_HM_WW,,34252_003_PSS_HM_WW,4.378
21886109,9160,"Tracker Halfmoon TC Parameters",2048357,,2048356,7480,"PS-s Halfmoon E",26218,34252_004_PSS_HM_EE,,34252_004_PSS_HM_EE,4.37
21841822,9160,"Tracker Halfmoon TC Parameters",2045939,,2045938,7480,"PS-s Halfmoon E",26218,34252_004_PSS_HM_EE,,34252_004_PSS_HM_EE,4.382
21936162,9160,"Tracker Halfmoon TC Parameters",2049593,,2049592,7500,"PS-s Halfmoon W",26223,34252_004_PSS_HM_WW,,34252_004_PSS_HM_WW,4.272
21841824,9160,"Tracker Halfmoon TC Parameters",2045981,,2045980,7500,"PS-s Halfmoon W",26223,34252_004_PSS_HM_WW,,34252_004_PSS_HM_WW,4.449
21886119,9160,"Tracker Halfmoon TC Parameters",2049170,,2049169,7480,"PS-s Halfmoon E",26236,34252_007_PSS_HM_EE,,34252_007_PSS_HM_EE,4.387
21886113,9160,"Tracker Halfmoon TC Parameters",2048648,,2048647,7480,"PS-s Halfmoon E",26236,34252_007_PSS_HM_EE,,34252_007_PSS_HM_EE,4.395
21936164,9160,"Tracker Halfmoon TC Parameters",2049779,,2049778,7500,"PS-s Halfmoon W",26241,34252_007_PSS_HM_WW,,34252_007_PSS_HM_WW,4.417
21841830,9160,"Tracker Halfmoon TC Parameters",2046497,,2046496,7500,"PS-s Halfmoon W",26241,34252_007_PSS_HM_WW,,34252_007_PSS_HM_WW,4.208
21886118,9160,"Tracker Halfmoon TC Parameters",2049164,,2049163,7480,"PS-s Halfmoon E",26242,34252_008_PSS_HM_EE,,34252_008_PSS_HM_EE,4.309
21841823,9160,"Tracker Halfmoon TC Parameters",2045963,,2045962,7480,"PS-s Halfmoon E",26242,34252_008_PSS_HM_EE,,34252_008_PSS_HM_EE,4.331
21936171,9160,"Tracker Halfmoon TC Parameters",2050235,,2050234,7500,"PS-s Halfmoon W",26247,34252_008_PSS_HM_WW,,34252_008_PSS_HM_WW,4.218
21841839,9160,"Tracker Halfmoon TC Parameters",2047202,,2047201,7500,"PS-s Halfmoon W",26247,34252_008_PSS_HM_WW,,34252_008_PSS_HM_WW,4.425
21886112,9160,"Tracker Halfmoon TC Parameters",2048633,,2048632,7480,"PS-s Halfmoon E",26248,34252_009_PSS_HM_EE,,34252_009_PSS_HM_EE,4.314
21886102,9160,"Tracker Halfmoon TC Parameters",2047637,,2047636,7480,"PS-s Halfmoon E",26248,34252_009_PSS_HM_EE,,34252_009_PSS_HM_EE,4.324
21936161,9160,"Tracker Halfmoon TC Parameters",2049581,,2049580,7500,"PS-s Halfmoon W",26253,34252_009_PSS_HM_WW,,34252_009_PSS_HM_WW,4.397
21886103,9160,"Tracker Halfmoon TC Parameters",2047730,,2047729,7500,"PS-s Halfmoon W",26253,34252_009_PSS_HM_WW,,34252_009_PSS_HM_WW,4.205
21886107,9160,"Tracker Halfmoon TC Parameters",2048231,,2048230,7480,"PS-s Halfmoon E",26254,34252_010_PSS_HM_EE,,34252_010_PSS_HM_EE,4.309
21886116,9160,"Tracker Halfmoon TC Parameters",2048939,,2048938,7480,"PS-s Halfmoon E",26254,34252_010_PSS_HM_EE,,34252_010_PSS_HM_EE,4.336
21936168,9160,"Tracker Halfmoon TC Parameters",2050076,,2050075,7500,"PS-s Halfmoon W",26259,34252_010_PSS_HM_WW,,34252_010_PSS_HM_WW,4.38
21886111,9160,"Tracker Halfmoon TC Parameters",2048399,,2048398,7500,"PS-s Halfmoon W",26259,34252_010_PSS_HM_WW,,34252_010_PSS_HM_WW,4.236
21886108,9160,"Tracker Halfmoon TC Parameters",2048249,,2048248,7480,"PS-s Halfmoon E",26260,34252_011_PSS_HM_EE,,34252_011_PSS_HM_EE,4.356
21841835,9160,"Tracker Halfmoon TC Parameters",2046743,,2046742,7480,"PS-s Halfmoon E",26260,34252_011_PSS_HM_EE,,34252_011_PSS_HM_EE,4.335
21841829,9160,"Tracker Halfmoon TC Parameters",2046395,,2046394,7500,"PS-s Halfmoon W",26265,34252_011_PSS_HM_WW,,34252_011_PSS_HM_WW,4.217
21936170,9160,"Tracker Halfmoon TC Parameters",2050130,,2050129,7480,"PS-s Halfmoon E",26266,34252_012_PSS_HM_EE,,34252_012_PSS_HM_EE,3.715
21886105,9160,"Tracker Halfmoon TC Parameters",2048087,,2048086,7480,"PS-s Halfmoon E",26266,34252_012_PSS_HM_EE,,34252_012_PSS_HM_EE,4.359
21886110,9160,"Tracker Halfmoon TC Parameters",2048387,,2048386,7500,"PS-s Halfmoon W",26271,34252_012_PSS_HM_WW,,34252_012_PSS_HM_WW,3.477
21841832,9160,"Tracker Halfmoon TC Parameters",2046647,,2046646,7500,"PS-s Halfmoon W",26271,34252_012_PSS_HM_WW,,34252_012_PSS_HM_WW,4.304
21936169,9160,"Tracker Halfmoon TC Parameters",2050091,,2050090,7480,"PS-s Halfmoon E",26284,34252_015_PSS_HM_EE,,34252_015_PSS_HM_EE,4.367
21841833,9160,"Tracker Halfmoon TC Parameters",2046704,,2046703,7480,"PS-s Halfmoon E",26284,34252_015_PSS_HM_EE,,34252_015_PSS_HM_EE,4.318
21936167,9160,"Tracker Halfmoon TC Parameters",2049974,,2049973,7500,"PS-s Halfmoon W",26289,34252_015_PSS_HM_WW,,34252_015_PSS_HM_WW,4.387
21841828,9160,"Tracker Halfmoon TC Parameters",2046377,,2046376,7500,"PS-s Halfmoon W",26289,34252_015_PSS_HM_WW,,34252_015_PSS_HM_WW,4.227
21886106,9160,"Tracker Halfmoon TC Parameters",2048165,,2048164,7480,"PS-s Halfmoon E",26290,34252_016_PSS_HM_EE,,34252_016_PSS_HM_EE,4.264
21841836,9160,"Tracker Halfmoon TC Parameters",2046797,,2046796,7480,"PS-s Halfmoon E",26290,34252_016_PSS_HM_EE,,34252_016_PSS_HM_EE,4.298
21936163,9160,"Tracker Halfmoon TC Parameters",2049728,,2049727,7500,"PS-s Halfmoon W",26295,34252_016_PSS_HM_WW,,34252_016_PSS_HM_WW,4.141
21886115,9160,"Tracker Halfmoon TC Parameters",2048894,,2048893,7500,"PS-s Halfmoon W",26295,34252_016_PSS_HM_WW,,34252_016_PSS_HM_WW,4.329
21841838,9160,"Tracker Halfmoon TC Parameters",2047061,,2047060,7480,"PS-s Halfmoon E",26308,34252_019_PSS_HM_EE,,34252_019_PSS_HM_EE,4.298
21841834,9160,"Tracker Halfmoon TC Parameters",2046725,,2046724,7480,"PS-s Halfmoon E",26308,34252_019_PSS_HM_EE,,34252_019_PSS_HM_EE,4.243
21886104,9160,"Tracker Halfmoon TC Parameters",2047784,,2047783,7500,"PS-s Halfmoon W",26313,34252_019_PSS_HM_WW,,34252_019_PSS_HM_WW,4.163
21936174,9160,"Tracker Halfmoon TC Parameters",2050532,,2050531,7500,"PS-s Halfmoon W",26313,34252_019_PSS_HM_WW,,34252_019_PSS_HM_WW,4.342
21841837,9160,"Tracker Halfmoon TC Parameters",2046803,,2046802,7480,"PS-s Halfmoon E",26314,34252_020_PSS_HM_EE,,34252_020_PSS_HM_EE,4.315
21841820,9160,"Tracker Halfmoon TC Parameters",2045645,,2045644,7480,"PS-s Halfmoon E",26314,34252_020_PSS_HM_EE,,34252_020_PSS_HM_EE,4.331
21886101,9160,"Tracker Halfmoon TC Parameters",2047481,,2047480,7500,"PS-s Halfmoon W",26319,34252_020_PSS_HM_WW,,34252_020_PSS_HM_WW,4.255
21841821,9160,"Tracker Halfmoon TC Parameters",2045792,,2045791,7500,"PS-s Halfmoon W",26319,34252_020_PSS_HM_WW,,34252_020_PSS_HM_WW,4.352
9441675,9160,"Tracker Halfmoon TC Parameters",826036,,826035,7400,"2S Halfmoon E",28364,34332_024_2-S_HM_EE,,34332_024_2-S_HM_EE,3.962
9441660,9160,"Tracker Halfmoon TC Parameters",825412,,825411,7400,"2S Halfmoon E",28364,34332_024_2-S_HM_EE,,34332_024_2-S_HM_EE,3.972
9410334,9160,"Tracker Halfmoon TC Parameters",825061,,825060,7420,"2S Halfmoon W",28367,34332_024_2-S_HM_WW,,34332_024_2-S_HM_WW,3.915
9410330,9160,"Tracker Halfmoon TC Parameters",824734,,824733,7420,"2S Halfmoon W",28367,34332_024_2-S_HM_WW,,34332_024_2-S_HM_WW,3.962
9284792,9160,"Tracker Halfmoon TC Parameters",820406,,820405,7400,"2S Halfmoon E",28960,34348_001_2-S_HM_EE,,34348_001_2-S_HM_EE,4.092
9284797,9160,"Tracker Halfmoon TC Parameters",820751,,820750,7420,"2S Halfmoon W",28963,34348_001_2-S_HM_WW,,34348_001_2-S_HM_WW,3.174
