batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,ISURF_PAMPR
42251,2S,EE,Brown,Right,20.0,20.082,3.058
42251,2S,WW,Brown,Right,20.0,20.009,3.197
42251,2S,EE,Brown,Right,20.0,20.003,3.037
42251,2S,WW,Brown,Right,20.0,20.003,3.232
42251,2S,EE,Brown,Right,20.0,20.064,3.124
42251,2S,WW,Brown,Right,20.0,20.002,3.275
42251,2S,EE,Brown,Right,20.0,20.045,3.151
42251,2S,WW,Brown,Right,20.0,20.056,3.298
42253,2S,EE,Demokritos,Left,22.8,22.8,6.86
42253,2S,WW,Demokritos,Left,22.7,22.7,6.515
42253,2S,EE,Demokritos,Left,22.1,22.1,6.301
42253,2S,WW,Demokritos,Left,22.0,22.0,6.105
42253,2S,EE,Demokritos,Left,22.5,22.5,6.891
42253,2S,WW,Demokritos,Left,22.4,22.4,6.502
42253,2S,EE,Demokritos,Left,20.8,20.8,5.285
42253,2S,WW,Demokritos,Left,21.5,21.5,5.361
42253,2S,EE,Demokritos,Left,22.2,22.2,6.427
42253,2S,WW,Demokritos,Left,22.2,22.2,6.167
42254,2S,EE,Demokritos,Left,20.6,20.6,5.028
42254,2S,WW,Demokritos,Left,21.2,21.2,5.198
42254,2S,EE,Demokritos,Left,21.7,21.7,5.434
42254,2S,WW,Demokritos,Left,21.7,21.7,5.589
42254,2S,EE,Demokritos,Left,21.5,21.5,5.356
42254,2S,WW,Demokritos,Left,21.8,21.8,5.509
42254,2S,EE,Demokritos,Left,21.8,21.8,5.181
42254,2S,WW,Demokritos,Left,21.8,21.8,5.216
42254,2S,EE,Demokritos,Left,21.8,21.8,5.267
42254,2S,WW,Demokritos,Left,21.8,21.8,5.361
42255,2S,EE,Demokritos,Left,21.9,21.9,5.239
42255,2S,WW,Demokritos,Left,21.9,21.9,5.073
42255,2S,EE,Demokritos,Left,21.9,21.9,5.458
42255,2S,WW,Demokritos,Left,22.0,22.0,5.247
42255,2S,EE,Demokritos,Left,20.6,20.6,5.134
42255,2S,WW,Demokritos,Left,21.1,21.1,5.046
42255,2S,EE,Demokritos,Left,21.5,21.5,4.824
42255,2S,WW,Demokritos,Left,21.8,21.8,4.802
42255,2S,EE,Demokritos,Left,21.8,21.8,5.084
42255,2S,WW,Demokritos,Left,21.9,21.9,4.757
42651,2S,EE,Perugia,Left,20.0,20.0,3.571
42651,2S,WW,Perugia,Left,20.0,20.0,3.543
42651,2S,EE,Perugia,Left,20.0,20.0,5.493
42651,2S,EE,Perugia,Left,20.0,20.0,3.594
42651,2S,WW,Perugia,Left,20.0,20.0,5.284
42651,2S,WW,Perugia,Left,20.0,20.0,3.568
42651,2S,EE,Perugia,Left,20.0,20.0,3.726
