batch_number,Average,std
38869,-2.3495000000000004,0.03882653731663431
38870,-2.698,0.08087026647662285
38872,-2.6505,0.010606601717798144
38873,-2.4,0.12353946737783825
38874,-2.563375,0.10277150452755436
38875,-2.280666666666667,0.11133672649519864
38876,-2.7105,0.045000000000000186
38877,-2.1783333333333332,0.11451429521908542
38882,-2.047,0.058387420812114295
38883,-2.7205,0.10875431025940997
38884,-2.5051666666666668,0.11090431311119807
38920,-2.36275,0.05497090139337358
38921,-2.1274117647058826,0.049110918876978514
38922,-2.414625,0.05706356105256669
39478,-2.467875,0.12410150415419348
39479,-2.7230000000000003,0.09230384607371471
39484,-2.427166666666667,0.06718754844959472
39485,-2.4685,0.1330369053376475
39487,-2.628,0.025584085962673062
39488,-2.5813333333333333,0.0925038901720878
39547,-2.474833333333333,0.09645603488982253
39563,-2.337125,0.08090459549017351
39564,-2.3915,0.05615959401562654
39565,-2.6631666666666667,0.07800619633507756
39566,-2.329,0.09802186345038405
39567,-2.59925,0.09843598354841006
39568,-2.3343333333333334,0.126057226061913
39569,-2.37975,0.15521463633734203
39570,-2.518,0.11313708498984723
39571,-2.32475,0.13552951708022876
39572,-2.35425,0.09925850089538923
41352,-2.61,0.06941181455631315
41353,-2.201375,0.07137494892000512
41354,-2.2341666666666664,0.11632612203055114
41355,-2.581625,0.07671929353167944
41356,-2.422,0.040987803063838125
41357,-2.6054999999999997,0.06055988771455915
41727,-2.208875,0.10422288958902291
41728,-1.4533749999999999,0.13396610267775447
41729,-2.244625,0.08508640566254641
41730,-2.0245,0.030618621784789773
41731,-2.267,0.08031189202104508
41732,-2.7479999999999998,0.07823042886243194
41736,-2.4008333333333334,0.10973590887658273
41737,-2.34225,0.15160013192606397
41738,-2.4603333333333333,0.20953425987319108
41739,-0.6098571428571429,2.37749301890564
41740,-2.35325,0.11771257366993565
41741,-2.778,0.09949874371066204
41742,-2.563125,0.16723431665380964
41743,-2.262166666666667,0.10353289625071171
41746,-2.1521666666666666,0.10899277151455604
41748,-2.560166666666667,0.07558946134658351
41749,-2.51125,0.11828602340654347
41750,-2.012,0.0
41751,-2.3275,0.07920290398716448
41752,-2.449875,0.0555606168329433
41753,-2.266,0.1049190163888319
41754,-2.5406666666666666,0.07948500906879646
41755,-2.3661250000000003,0.10899729682100223
41756,-2.7929999999999997,0.09486832980505118
41757,-2.5301666666666667,0.07708181407184227
41758,-2.012,0.0
42240,-1.88775,0.12499799998399966
42245,-2.116625,0.5535625237874539
42246,-2.4682500000000003,0.06392443455622694
42247,-2.420666666666667,0.06128186246081849
42248,-2.18125,0.10635130464644059
42249,-2.3461666666666665,0.07351303739246973
42250,-2.420875,0.06372950650993604
42251,-2.194714285714286,0.08158168561982185
42253,-2.69175,0.0894776508408664
42254,-2.56775,0.13838442831474956
42255,-2.54925,0.007500000000000099
42256,-2.53325,0.11488223784131554
42257,-2.7807500000000003,0.5303976271224663
42258,-3.7527647058823526,0.28772111701519365
42259,-4.405117647058823,0.17814000194823623
42649,-2.0127058823529413,1.8080837496057076
42651,-2.181888888888889,0.09080871225946464
42652,-2.154125,0.07947567762110204
42657,-2.653,0.02949576240750535
42658,-2.4145,0.06933613776379521
42659,-2.484833333333333,0.04764206824505687
42660,-3.87625,0.2697879414157227
42899,-2.20275,0.06617703529170817
42901,-2.648,0.07745966692414831
42902,-2.684375,0.36288838799671885
42903,-1.9016250000000001,0.050796337044543456
42904,-2.92175,0.5051451700819704
42905,-2.623875,0.08952483693686025
42906,-2.612833333333333,0.10334489182667257
42907,-2.638,0.09934787365615835
42908,-2.64275,0.08296599992079381
42909,-2.608857142857143,0.2547288941675237
42912,-3.356,0.631437588817318
42913,-3.329625,0.7336653455668425
42914,-3.434625,0.6987494824940581
43256,-2.331,0.07266754040540667
43257,-2.390625,0.14543721031035065
43258,-2.7125,0.044042403809662026
43259,-2.38675,0.11704101845079787
43260,-2.47625,0.1637216714863544
43261,-2.444625,0.11829012457271562
43262,-2.6967499999999998,0.09650869686939395
43263,-2.358375,0.07950370611307554
43264,-2.8805,0.09459122580873991
43265,-2.5218333333333334,0.23975438821149173
43266,-2.587666666666667,0.3035955643066392
43267,-2.710875,0.07533437367591823
43268,-2.358,0.05600255096230628
43269,-2.4631250000000002,0.10096595961015781
43271,-2.0861666666666667,0.10372939737021443
43272,-2.49675,0.056195449739534706
43273,-2.3770000000000002,0.10745417627993802
43274,-2.64,0.08162352602038234
43275,-2.4023333333333334,0.06973855939626711
43276,-2.75225,0.09615872295325059
43277,-2.489,0.08935962654992946
43278,-2.357625,0.06892633231004165
43280,-3.521125,0.7368057385963896
43281,-3.262272727272727,0.7844873601160304
43282,-3.0445,0.42840074696480157
43284,-3.2563750000000002,0.6816511335405693
43836,-2.4521666666666664,0.06367233831631
43837,-2.653,0.04615192303685732
43838,-2.26975,0.06268002643813832
44169,-2.54675,0.07700046382049572
44170,-2.298375,0.09783066638694783
44171,-2.498625,0.08745927623757245
44172,-2.328,0.0795828409358988
44174,-2.546375,0.11682090994338283
44175,-1.914125,0.1924707306134029
44674,-2.571625,0.09982404162181718
44676,-2.504875,0.12485813378161846
44677,-2.613375,0.0820312440476188
44681,-2.5328749999999998,0.12248199576147648
44682,-3.40475,0.7651285139485674
44683,-3.17575,0.6934389972139894
45777,-2.514625,0.08099548047356019
45778,-2.3914999999999997,0.0752994023880668
45779,-2.688,0.11541230437002814
45780,-2.4773333333333336,0.11431651965777583
45781,-2.6805,0.1282478069987942
45782,-2.2516249999999998,0.14357072672180962
45783,-2.465375,0.163330460373178
45788,-3.4046250000000002,0.4688989953680246
45789,-4.414625,0.3937791032328368
46229,-1.835875,0.16231665480957722
46230,-4.4135,0.3117870152157445
46798,-2.858,0.11528226229563664
