batch_number,Type,VFB_V,Location,KIND_OF_HM_SET_ID
34354,2-S,-3.085,Perugia,Left
34354,2-S,-3.074,Perugia,Left
34354,2-S,-3.099,Perugia,Left
34354,2-S,-3.079,Perugia,Left
34354,2-S,-3.118,Perugia,Left
34354,2-S,-3.068,Perugia,Left
34354,2-S,-3.092,Perugia,Left
34354,2-S,-3.07,Perugia,Left
34354,2-S,-3.12,Perugia,Left
34354,2-S,-2.955,Perugia,Left
34354,2-S,-2.929,Perugia,Left
34354,2-S,-2.956,Perugia,Left
34354,2-S,-2.94,Perugia,Left
34354,2-S,-2.959,Perugia,Left
34354,2-S,-2.968,Perugia,Left
34354,2-S,-2.974,Perugia,Left
34354,2-S,-2.982,Perugia,Left
34354,2-S,-2.969,Perugia,Left
34354,2-S,-2.96,Perugia,Left
34354,2-S,-2.984,Perugia,Left
34354,2-S,-3.012,Perugia,Left
34354,2-S,-2.978,Perugia,Left
34354,2-S,-3.0,Perugia,Left
34354,2-S,-2.987,Perugia,Left
34354,2-S,-3.02,Perugia,Left
34354,2-S,-2.986,Perugia,Left
34354,2-S,-2.987,Perugia,Left
34354,2-S,-2.991,Perugia,Left
34354,2-S,-3.014,Perugia,Left
34354,2-S,-2.982,Perugia,Left
34354,2-S,-3.009,Perugia,Left
34357,2-S,-2.395,Perugia,Left
34357,2-S,-2.388,Perugia,Left
34357,2-S,-2.434,Perugia,Left
34357,2-S,-2.376,Perugia,Left
34357,2-S,-2.4,Perugia,Left
34357,2-S,-2.276,Perugia,Left
34357,2-S,-2.35,Perugia,Left
34357,2-S,-2.348,Perugia,Left
34357,2-S,-2.363,Perugia,Left
34357,2-S,-2.469,Perugia,Left
34357,2-S,-2.396,Perugia,Left
34357,2-S,-2.574,Perugia,Left
34357,2-S,-2.524,Perugia,Left
34357,2-S,-2.398,Perugia,Left
34357,2-S,-2.462,Perugia,Left
34357,2-S,-2.567,Perugia,Left
34357,2-S,-2.543,Perugia,Left
34357,2-S,-2.639,Perugia,Left
34357,2-S,-2.571,Perugia,Left
34357,2-S,-2.248,Perugia,Left
34357,2-S,-2.248,Perugia,Left
34357,2-S,-2.168,Perugia,Left
34357,2-S,-2.249,Perugia,Left
34357,2-S,-2.247,Perugia,Left
34357,2-S,-2.26,Perugia,Left
34357,2-S,-2.252,Perugia,Left
34357,2-S,-2.277,Perugia,Left
34357,2-S,-2.296,Perugia,Left
34357,2-S,-2.273,Perugia,Left
34359,2-S,-2.748,Brown,Right
34359,2-S,-2.797,Brown,Right
34359,2-S,-2.746,Brown,Left
34359,2-S,-2.763,Brown,Right
34359,2-S,-2.74,Brown,Right
34359,2-S,-2.799,Brown,Right
34359,2-S,-2.876,Brown,Right
