batch_number,Type,ID,KIND_OF_CONDITION_ID,KIND_OF_CONDITION,CONDITION_DATA_SET_ID,KIND_OF_PART_ID,KIND_OF_PART,PART_ID,PART_BARCODE,PART_NAME_LABEL,VFB_V,CACC_PFRD,NOX,TOX_NM,CAC_PFRD,KIND_OF_HM_FLUTE_ID,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_CONFIG_ID,KIND_OF_HM_SET_ID,PROCEDURE_TYPE,EQUIPMENT,WAITING_TIME_S,AC_FREQ_HZ,AC_AMPL_V,CORR_OPEN_PFRD,TEMP_SET_DEGC,AV_TEMP_DEGC,FILE_NAME,Location
34252,PSS,21955825,9140,Tracker Halfmoon CV Parameters,2050175,7500,PS-s Halfmoon W,26253,34252_009_PSS_HM_WW,34252_009_PSS_HM_WW,-2.353,86.27,4606113000000.0,,,PQC1,MOS_QUARTER,Not Used,Right,MOS,PQC_HM_POSITION 2,10.0,10000.0,0.05,,20.0,20.072,Test_HPK_VPX34252_009_PSS_HM_WW_West_North_PQC1_MOS_MOSQuarter_CV_Run01_09_03_2020_04_59_04_PM.txt,Brown
34252,PSS,21888295,9140,Tracker Halfmoon CV Parameters,2047853,7480,PS-s Halfmoon E,26254,34252_010_PSS_HM_EE,34252_010_PSS_HM_EE,-2.416,86.811,4637072000000.0,,,PQC1,MOS_QUARTER,Not Used,Left,MOS,PQC_HM_POSITION 3,10.0,10000.0,0.05,,20.0,20.036,Test_HPK_VPX34252_010_PSS_HM_EE_East_North_PQC1_MOS_MOSQuarter_CV_Run02_09_08_2020_03_06_32_PM.txt,Brown
34252,PSS,21888283,9140,Tracker Halfmoon CV Parameters,2047562,7500,PS-s Halfmoon W,26259,34252_010_PSS_HM_WW,34252_010_PSS_HM_WW,-2.427,84.746,4527136000000.0,,,PQC1,MOS_QUARTER,Not Used,Right,MOS,PQC_HM_POSITION 4,10.0,10000.0,0.05,,20.0,20.035,Test_HPK_VPX34252_010_PSS_HM_WW_West_North_PQC1_MOS_MOSQuarter_CV_Run03_09_04_2020_02_40_39_PM.txt,Brown
34252,PSS,21918347,9140,Tracker Halfmoon CV Parameters,2048870,7500,PS-s Halfmoon W,26259,34252_010_PSS_HM_WW,34252_010_PSS_HM_WW,-2.305,86.699,4627512000000.0,,,PQC1,MOS_QUARTER,Not Used,Right,MOS,PQC_HM_POSITION 4,10.0,10000.0,0.05,,20.0,20.035,Test_HPK_VPX34252_010_PSS_HM_WW_West_North_PQC1_MOS_MOSQuarter_CV_Run03_09_04_2020_02_40_39_PM.txt,Brown
34252,PSS,21857864,9140,Tracker Halfmoon CV Parameters,2046428,7480,PS-s Halfmoon E,26260,34252_011_PSS_HM_EE,34252_011_PSS_HM_EE,-2.419,86.859,4639727000000.0,,,PQC1,MOS_QUARTER,Not Used,Left,MOS,PQC_HM_POSITION 1,10.0,10000.0,0.05,,20.0,20.142,Test_HPK_VPX34252_011_PSS_HM_EE_East_North_PQC1_MOS_MOSQuarter_CV_Run01_09_02_2020_03_47_13_PM.txt,Brown
34252,PSS,21931011,9140,Tracker Halfmoon CV Parameters,2049395,7480,PS-s Halfmoon E,26266,34252_012_PSS_HM_EE,34252_012_PSS_HM_EE,-2.352,85.587,4569645000000.0,,,PQC1,MOS_QUARTER,Not Used,Left,MOS,PQC_HM_POSITION 3,10.0,10000.0,0.05,,20.0,20.144,Test_HPK_VPX34252_012_PSS_HM_EE_East_North_PQC1_MOS_MOSQuarter_CV_Run01_09_02_2020_06_38_11_PM.txt,Brown
34252,PSS,21857868,9140,Tracker Halfmoon CV Parameters,2046605,7480,PS-s Halfmoon E,26266,34252_012_PSS_HM_EE,34252_012_PSS_HM_EE,-2.409,86.915,4642409000000.0,,,PQC1,MOS_QUARTER,Not Used,Left,MOS,PQC_HM_POSITION 3,10.0,10000.0,0.05,,20.0,20.144,Test_HPK_VPX34252_012_PSS_HM_EE_East_North_PQC1_MOS_MOSQuarter_CV_Run01_09_02_2020_06_38_11_PM.txt,Brown
34252,PSS,21842672,9140,Tracker Halfmoon CV Parameters,2046074,7500,PS-s Halfmoon W,26271,34252_012_PSS_HM_WW,34252_012_PSS_HM_WW,-2.283,86.457,4613872000000.0,,,PQC1,MOS_QUARTER,Not Used,Right,MOS,PQC_HM_POSITION 4,10.0,10000.0,0.05,,20.0,20.086,Test_HPK_VPX34252_012_PSS_HM_WW_West_North_PQC1_MOS_MOSQuarter_CV_Run01_09_02_2020_02_17_30_PM.txt,Brown
34252,PSS,21944744,9140,Tracker Halfmoon CV Parameters,2049818,7480,PS-s Halfmoon E,26284,34252_015_PSS_HM_EE,34252_015_PSS_HM_EE,-2.415,86.317,4610674000000.0,,,PQC1,MOS_QUARTER,Not Used,Right,MOS,PQC_HM_POSITION 1,10.0,10000.0,0.05,,20.0,20.012,Test_HPK_VPX34252_015_PSS_HM_EE_East_South_PQC1_MOS_MOSQuarter_CV_Run01_08_25_2020_05_23_44_PM.txt,Brown
34252,PSS,21842679,9140,Tracker Halfmoon CV Parameters,2046254,7480,PS-s Halfmoon E,26284,34252_015_PSS_HM_EE,34252_015_PSS_HM_EE,-2.428,85.837,4585449000000.0,,,PQC1,MOS_QUARTER,Not Used,Right,MOS,PQC_HM_POSITION 1,10.0,10000.0,0.05,,20.0,20.012,Test_HPK_VPX34252_015_PSS_HM_EE_East_South_PQC1_MOS_MOSQuarter_CV_Run01_08_25_2020_05_23_44_PM.txt,Brown
