batch_number,Type,Orientation,AGGREGATED_COND_DATA_SET_ID,PART_ID,PART_NAME_LABEL,VTH_V,PART_NAME_LABEL.1,KIND_OF_HM_FLUTE_ID,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_CONFIG_ID,KIND_OF_HM_SET_ID,PROCEDURE_TYPE,EQUIPMENT,WAITING_TIME_S,AC_FREQ_HZ,AC_AMPL_V,CORR_OPEN_PFRD,TEMP_SET_DEGC,AV_TEMP_DEGC,FILE_NAME,Location
34252,PSS,EE,2046724,26308,34252_019_PSS_HM_EE,4.243,34252_019_PSS_HM_EE,PQC1,FET_PSS,Not Used,Left,FET1,PQC_HM_POSITION 1,0.01,,,,20.0,20.08,Test_HPK_VPX34252_019_PSS_HM_EE_East_North_PQC1_FET1_FETPSs_trans_Run01_08_20_2020_03_37_16_PM.txt,Brown
34252,PSS,EE,2047060,26308,34252_019_PSS_HM_EE,4.298,34252_019_PSS_HM_EE,PQC1,FET_PSS,Not Used,Right,FET1,PQC_HM_POSITION 1,0.01,,,,20.0,20.018,Test_HPK_VPX34252_019_PSS_HM_EE_East_South_PQC1_FET1_FETPSs_trans_Run01_08_19_2020_03_28_05_PM.txt,Brown
34252,PSS,WW,2047783,26313,34252_019_PSS_HM_WW,4.163,34252_019_PSS_HM_WW,PQC1,FET_PSS,Not Used,Left,FET1,PQC_HM_POSITION 2,0.01,,,,20.0,20.075,Test_HPK_VPX34252_019_PSS_HM_WW_West_South_PQC1_FET1_FETPSs_trans_Run01_08_20_2020_05_04_14_PM.txt,Brown
34252,PSS,WW,2050531,26313,34252_019_PSS_HM_WW,4.342,34252_019_PSS_HM_WW,PQC1,FET_PSS,Not Used,Right,FET1,PQC_HM_POSITION 2,0.01,,,,20.0,20.085,Test_HPK_VPX34252_019_PSS_HM_WW_West_North_PQC1_FET1_FETPSs_trans_Run01_08_19_2020_05_45_26_PM.txt,Brown
34252,PSS,EE,2045644,26314,34252_020_PSS_HM_EE,4.331,34252_020_PSS_HM_EE,PQC1,FET_PSS,Not Used,Right,FET1,PQC_HM_POSITION 3,0.01,,,,20.0,20.014,Test_HPK_VPX34252_020_PSS_HM_EE_East_South_PQC1_FET1_FETPSs_trans_Run01_08_20_2020_11_35_13_AM.txt,Brown
34252,PSS,EE,2046802,26314,34252_020_PSS_HM_EE,4.315,34252_020_PSS_HM_EE,PQC1,FET_PSS,Not Used,Left,FET1,PQC_HM_POSITION 3,0.01,,,,20.0,20.041,Test_HPK_VPX34252_020_PSS_HM_EE_East_North_PQC1_FET1_FETPSs_trans_Run01_08_21_2020_05_53_26_PM.txt,Brown
34252,PSS,WW,2045791,26319,34252_020_PSS_HM_WW,4.352,34252_020_PSS_HM_WW,PQC1,FET_PSS,Not Used,Right,FET1,PQC_HM_POSITION 4,0.01,,,,20.0,20.036,Test_HPK_VPX34252_020_PSS_HM_WW_West_North_PQC1_FET1_FETPSs_trans_Run01_08_20_2020_01_39_29_PM.txt,Brown
34252,PSS,WW,2047480,26319,34252_020_PSS_HM_WW,4.255,34252_020_PSS_HM_WW,PQC1,FET_PSS,Not Used,Left,FET1,PQC_HM_POSITION 4,0.01,,,,20.0,20.432,Test_HPK_VPX34252_020_PSS_HM_WW_West_South_PQC1_FET1_FETPSs_trans_Run03_08_24_2020_05_29_19_PM.txt,Brown
34332,2S,EE,824523,28280,34332_001_2-S_HM_EE,4.088,34332_001_2-S_HM_EE,PQC1,FET_2S,Not Used,Right,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_001_2-S_HM_E_flute1_R_FET_25_9_2020_16h51m17s.txt,Perugia
34332,2S,EE,824964,28280,34332_001_2-S_HM_EE,4.069,34332_001_2-S_HM_EE,PQC1,FET_2S,Not Used,Left,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_001_2-S_HM_E_flute1_L_FET_25_9_2020_14h56m54s.txt,Perugia
