batch_number,Type,Orientation,AGGREGATED_COND_DATA_SET_ID,PART_ID,PART_NAME_LABEL,RSH_OHMSQR,T_UM,RHO_KOHMCM,RC_OHM,R_OHM,PART_NAME_LABEL.1,KIND_OF_HM_FLUTE_ID,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_CONFIG_ID,KIND_OF_HM_SET_ID,PROCEDURE_TYPE,EQUIPMENT,WAITING_TIME_S,AC_FREQ_HZ,AC_AMPL_V,CORR_OPEN_PFRD,TEMP_SET_DEGC,AV_TEMP_DEGC,FILE_NAME,Location
34330,2S,WW,832844,26039,34330_046_2-S_HM_WW,,,,,83.810142286,34330_046_2-S_HM_WW,PQC4,CC_STRIP,Not Used,Left,ContactChain-Strip,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_046_2-S_HM_W_L_flute4_n+_Chain_6_8_2020_9h48m15s.txt,Perugia
34252,PSS,EE,2049748,26200,34252_001_PSS_HM_EE,,,,,93.97549000000001,34252_001_PSS_HM_EE,PQC4,CC_STRIP,Not Used,Right,ContactChain-Strip,PQC_HM_POSITION 1,0.2,,,,20.0,19.997,Test_HPK_VPX34252_001_PSS_HM_EE_East_South_PQC4_ContactChain-Strip_CCStrip_IV_Run01_08_10_2020_06_18_42_PM.txt,Brown
34252,PSS,EE,2050558,26200,34252_001_PSS_HM_EE,,,,,102.652,34252_001_PSS_HM_EE,PQC4,CC_STRIP,Not Used,Left,ContactChain-Strip,PQC_HM_POSITION 1,0.2,,,,20.0,20.053,Test_HPK_VPX34252_001_PSS_HM_EE_East_North_PQC4_ContactChain-Strip_CCStrip_IV_Run01_08_12_2020_02_03_09_PM.txt,Brown
34252,PSS,WW,2048062,26205,34252_001_PSS_HM_WW,,,,,101.41250000000001,34252_001_PSS_HM_WW,PQC4,CC_STRIP,Not Used,Right,ContactChain-Strip,PQC_HM_POSITION 2,0.2,,,,20.0,20.016,Test_HPK_VPX34252_001_PSS_HM_WW_West_North_PQC4_ContactChain-Strip_CCStrip_IV_Run01_08_11_2020_04_11_43_PM.txt,Brown
34252,PSS,WW,2049343,26205,34252_001_PSS_HM_WW,,,,,125.4127,34252_001_PSS_HM_WW,PQC4,CC_STRIP,Not Used,Left,ContactChain-Strip,PQC_HM_POSITION 2,0.2,,,,20.0,20.086,Test_HPK_VPX34252_001_PSS_HM_WW_West_South_PQC4_ContactChain-Strip_CCStrip_IV_Run01_08_12_2020_03_29_31_PM.txt,Brown
34252,PSS,EE,2047096,26206,34252_002_PSS_HM_EE,,,,,95.61097000000001,34252_002_PSS_HM_EE,PQC4,CC_STRIP,Not Used,Right,ContactChain-Strip,PQC_HM_POSITION 3,0.2,,,,20.0,20.101,Test_HPK_VPX34252_002_PSS_HM_EE_East_South_PQC4_ContactChain-Strip_CCStrip_IV_Run01_08_11_2020_06_01_31_PM.txt,Brown
34252,PSS,EE,2048965,26206,34252_002_PSS_HM_EE,,,,,98.12659,34252_002_PSS_HM_EE,PQC4,CC_STRIP,Not Used,Left,ContactChain-Strip,PQC_HM_POSITION 3,0.2,,,,20.0,20.034,Test_HPK_VPX34252_002_PSS_HM_EE_East_North_PQC4_ContactChain-Strip_CCStrip_IV_Run01_08_12_2020_05_21_33_PM.txt,Brown
34252,PSS,WW,2046145,26211,34252_002_PSS_HM_WW,,,,,99.17987,34252_002_PSS_HM_WW,PQC4,CC_STRIP,Not Used,Left,ContactChain-Strip,PQC_HM_POSITION 4,0.2,,,,20.0,20.042,Test_HPK_VPX34252_002_PSS_HM_WW_West_South_PQC4_ContactChain-Strip_CCStrip_IV_Run01_08_12_2020_08_02_07_PM.txt,Brown
34252,PSS,WW,2049514,26211,34252_002_PSS_HM_WW,,,,,95.68298,34252_002_PSS_HM_WW,PQC4,CC_STRIP,Not Used,Right,ContactChain-Strip,PQC_HM_POSITION 4,0.2,,,,20.0,20.011,Test_HPK_VPX34252_002_PSS_HM_WW_West_North_PQC4_ContactChain-Strip_CCStrip_IV_Run02_08_12_2020_12_22_23_PM.txt,Brown
34252,PSS,EE,2050108,26212,34252_003_PSS_HM_EE,,,,,96.65685,34252_003_PSS_HM_EE,PQC4,CC_STRIP,Not Used,Right,ContactChain-Strip,PQC_HM_POSITION 1,0.2,,,,20.0,20.0,Test_HPK_VPX34252_003_PSS_HM_EE_East_South_PQC4_ContactChain-Strip_CCStrip_IV_Run01_08_13_2020_06_08_03_PM.txt,Brown
34252,PSS,EE,2050288,26212,34252_003_PSS_HM_EE,,,,,98.52962,34252_003_PSS_HM_EE,PQC4,CC_STRIP,Not Used,Left,ContactChain-Strip,PQC_HM_POSITION 1,0.2,,,,20.0,20.018,Test_HPK_VPX34252_003_PSS_HM_EE_East_North_PQC4_ContactChain-Strip_CCStrip_IV_Run01_08_17_2020_11_32_21_AM.txt,Brown
