batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,R_OHM
34252,PSS,EE,Brown,Right,20.0,20.008,11447.21
34252,PSS,EE,Brown,Left,20.0,20.053,11279.18
34252,PSS,WW,Brown,Right,20.0,20.018,11377.96
34252,PSS,WW,Brown,Left,20.0,20.077,11412.16
34252,PSS,WW,Brown,Left,20.0,20.078,11410.43
34252,PSS,WW,Brown,Right,20.0,20.019,11363.94
34252,PSS,EE,Brown,Right,20.0,20.067,10398.5
34252,PSS,EE,Brown,Left,20.0,20.033,11352.34
34252,PSS,EE,Brown,Left,20.0,20.032,11326.05
34252,PSS,WW,Brown,Right,20.0,20.018,11273.66
34252,PSS,WW,Brown,Left,20.0,20.054,11440.5
34252,PSS,WW,Brown,Left,20.0,20.056,11362.86
34252,PSS,EE,Brown,Right,20.0,20.028,11356.17
34252,PSS,EE,Brown,Left,20.0,20.053,11347.43
34252,PSS,WW,Brown,Left,20.0,19.953,11321.59
34252,PSS,WW,Brown,Left,20.0,20.055,11384.56
34252,PSS,EE,Brown,Left,20.0,20.062,11520.53
34252,PSS,EE,Brown,Right,20.0,20.038,11282.0
34252,PSS,EE,Brown,Left,20.0,20.057,11470.13
34252,PSS,WW,Brown,Left,20.0,20.029,11380.45
34252,PSS,WW,Brown,Right,20.0,20.003,11453.49
34252,PSS,WW,Brown,Left,20.0,20.029,11290.98
34252,PSS,WW,Brown,Right,20.0,20.122,11400.87
34332,2S,EE,Perugia,Left,20.0,20.0,15136.034842
34332,2S,WW,Perugia,Right,20.0,20.0,15132.227563
34332,2S,WW,Perugia,Left,20.0,20.0,15124.266101
34332,2S,EE,Perugia,Left,20.0,20.0,15430.146188
34332,2S,EE,Perugia,Right,20.0,20.0,15623.871135
34332,2S,WW,Perugia,Left,20.0,20.0,15541.57714
34332,2S,WW,Perugia,Right,20.0,20.0,15698.912013
34332,2S,EE,Perugia,Left,20.0,20.0,15512.000202
34332,2S,EE,Perugia,Right,20.0,20.0,15448.289928
34332,2S,WW,Perugia,Right,20.0,20.0,15403.032626
34332,2S,WW,Perugia,Left,20.0,20.0,15460.900246
34332,2S,EE,Perugia,Right,20.0,20.0,15401.755411
34332,2S,WW,Perugia,Right,20.0,20.0,15393.065698
34332,2S,WW,Perugia,Left,20.0,20.0,15363.431953
34332,2S,WW,Perugia,Left,20.0,20.0,15329.287357
34332,2S,EE,Perugia,Right,20.0,20.0,15015.199566
34332,2S,EE,Perugia,Left,20.0,20.0,15145.9907
34332,2S,WW,Perugia,Left,20.0,20.0,15052.539324
34332,2S,WW,Perugia,Right,20.0,20.0,15004.944052
34332,2S,EE,Perugia,Left,20.0,20.0,15899.0972
34332,2S,EE,Perugia,Right,20.0,20.0,15822.515261
34332,2S,WW,Perugia,Right,20.0,20.0,15845.012159
34332,2S,WW,Perugia,Left,20.0,20.0,15783.105479
34332,2S,EE,Perugia,Right,20.0,20.0,15655.124755
34332,2S,EE,Perugia,Left,20.0,20.0,15470.008176
34332,2S,EE,Perugia,Right,20.0,20.0,15653.078745
34332,2S,WW,Perugia,Left,20.0,20.0,15513.92103
34332,2S,WW,Perugia,Right,20.0,20.0,15567.455148
34332,2S,EE,Perugia,Right,20.0,20.0,15936.96343
34332,2S,EE,Perugia,Left,20.0,20.0,16100.333638
34332,2S,WW,Perugia,Right,20.0,20.0,16067.975397
34332,2S,WW,Perugia,Left,20.0,20.0,15933.543514
34332,2S,EE,Perugia,Right,20.0,20.0,15149.381587
34332,2S,EE,Perugia,Left,20.0,20.0,15207.74044
34332,2S,WW,Perugia,Left,20.0,20.0,15035.212627
34332,2S,WW,Perugia,Right,20.0,20.0,15133.698714
34332,2S,EE,Perugia,Right,20.0,20.0,15929.897812
34332,2S,EE,Perugia,Left,20.0,20.0,15908.99276
34332,2S,WW,Perugia,Left,20.0,20.0,15929.921739
34332,2S,WW,Perugia,Right,20.0,20.0,16054.976407
34346,2S,EE,Perugia,Right,20.0,20.0,15878.635019
34346,2S,EE,Perugia,Left,20.0,20.0,15841.076145
34346,2S,WW,Perugia,Right,20.0,20.0,15807.769361
34346,2S,WW,Perugia,Left,20.0,20.0,15850.663706
34346,2S,EE,Perugia,Right,20.0,20.0,15785.720954
34346,2S,EE,Perugia,Left,20.0,20.0,15883.107339
34346,2S,WW,Perugia,Left,20.0,20.0,15860.756271
34346,2S,WW,Perugia,Right,20.0,20.0,15804.527671
34346,2S,EE,Perugia,Right,20.0,20.0,15853.382423
34346,2S,EE,Perugia,Left,20.0,20.0,15862.044616
34346,2S,WW,Perugia,Left,20.0,20.0,15690.254948
34346,2S,WW,Perugia,Right,20.0,20.0,15813.44601
34346,2S,EE,Perugia,Left,20.0,20.0,15827.493307
34346,2S,EE,Perugia,Right,20.0,20.0,15916.506846
34346,2S,WW,Perugia,Left,20.0,20.0,16044.737693
34346,2S,EE,Perugia,Right,20.0,20.0,15899.388396
34346,2S,EE,Perugia,Left,20.0,20.0,15926.845849
34346,2S,WW,Perugia,Right,20.0,20.0,15925.303828
34346,2S,WW,Perugia,Left,20.0,20.0,15814.457252
34346,2S,EE,Perugia,Left,20.0,20.0,15368.40643
34346,2S,EE,Perugia,Right,20.0,20.0,15447.618652
34346,2S,WW,Perugia,Left,20.0,20.0,15458.011243
34346,2S,WW,Perugia,Right,20.0,20.0,15409.708825
34346,2S,EE,Perugia,Right,20.0,20.0,15490.471454
34346,2S,EE,Perugia,Left,20.0,20.0,15427.372569
34346,2S,WW,Perugia,Left,20.0,20.0,15352.999014
34346,2S,WW,Perugia,Right,20.0,20.0,15454.826656
34346,2S,EE,Perugia,Left,20.0,20.0,15150.385627
34346,2S,EE,Perugia,Right,20.0,20.0,15115.005669
34346,2S,EE,Perugia,Right,20.0,20.0,15159.538128
34346,2S,WW,Perugia,Left,20.0,20.0,15081.598884
34346,2S,EE,Perugia,Right,20.0,20.0,15253.053561
34346,2S,EE,Perugia,Left,20.0,20.0,15247.553522
34346,2S,WW,Perugia,Left,20.0,20.0,15316.647338
34346,2S,WW,Perugia,Right,20.0,20.0,15242.576443
34346,2S,EE,Perugia,Right,20.0,20.0,15166.267238
34346,2S,EE,Perugia,Left,20.0,20.0,15115.019895
34346,2S,WW,Perugia,Right,20.0,20.0,15157.90087
34346,2S,WW,Perugia,Left,20.0,20.0,15137.839352
34348,2S,EE,Perugia,Left,20.0,20.0,14795.172647
34348,2S,WW,Perugia,Left,20.0,20.0,14679.351843
34348,2S,EE,Perugia,Left,20.0,20.0,14727.662491
34348,2S,WW,Perugia,Left,20.0,20.0,14808.277066
34348,2S,EE,Perugia,Left,20.0,20.0,14677.251023
34348,2S,WW,Perugia,Left,20.0,20.0,14791.257261
34348,2S,EE,Perugia,Left,20.0,20.0,14738.32652
34348,2S,WW,Perugia,Left,20.0,20.0,14810.988374
34348,2S,EE,Perugia,Left,20.0,20.0,14938.815451
34348,2S,WW,Perugia,Left,20.0,20.0,14740.76948
34348,2S,EE,Perugia,Left,20.0,20.0,14789.292927
34348,2S,EE,Perugia,Left,20.0,20.0,14668.068416
34348,2S,EE,Perugia,Left,20.0,20.0,14791.985074
34348,2S,WW,Perugia,Left,20.0,20.0,14992.591766
34348,2S,EE,Perugia,Left,20.0,20.0,14901.060743
34348,2S,WW,Perugia,Left,20.0,20.0,14856.569323
34348,2S,EE,Perugia,Left,20.0,20.0,14790.238593
34348,2S,WW,Perugia,Left,20.0,20.0,14819.518391
34348,2S,EE,Perugia,Left,20.0,20.0,15009.602951
34348,2S,WW,Perugia,Left,20.0,20.0,15021.731609
34348,2S,EE,Perugia,Left,20.0,20.0,14653.023138
34348,2S,EE,Perugia,Left,20.0,20.0,14668.039116
34348,2S,WW,Perugia,Left,20.0,20.0,14741.016741
34348,2S,EE,Perugia,Left,20.0,20.0,14809.278583
34348,2S,EE,Perugia,Left,20.0,20.0,14806.855076
34331,2S,EE,Brown,Left,20.0,20.117,11582.76
34331,2S,EE,Brown,Left,20.0,20.117,11529.8
34331,2S,WW,Brown,Right,20.0,20.038,11491.56
34331,2S,WW,Brown,Left,20.0,20.091,11663.71
34331,2S,WW,Brown,Right,20.0,20.039,11570.42
34331,2S,WW,Brown,Left,20.0,20.091,11623.11
34331,2S,EE,Brown,Right,20.0,20.008,11683.77
34331,2S,EE,Brown,Right,20.0,20.007,11662.52
34331,2S,WW,Brown,Right,20.0,20.049,11604.48
34331,2S,WW,Brown,Right,20.0,20.048,11623.98
34331,2S,EE,Brown,Right,20.0,20.114,11732.64
34331,2S,EE,Brown,Right,20.0,20.114,11730.65
34331,2S,WW,Brown,Right,20.0,20.056,11651.11
34331,2S,WW,Brown,Right,20.0,20.059,11724.02
34331,2S,EE,Brown,Right,20.0,20.029,11633.44
34331,2S,EE,Brown,Right,20.0,20.029,11584.29
34331,2S,WW,Brown,Right,20.0,20.073,11621.74
34331,2S,WW,Brown,Right,20.0,20.073,11589.01
34331,2S,EE,Brown,Right,20.0,20.131,11655.54
