batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,TOX_NM
36240,2S,EE,HEPHY,Left,,,668.992
36240,2S,WW,HEPHY,Left,,,680.526
36240,2S,EE,HEPHY,Left,,,667.676
36240,2S,WW,HEPHY,Left,,,673.976
36240,2S,WW,HEPHY,Right,,,665.292
36241,2S,EE,HEPHY,Left,,,676.186
36241,2S,WW,HEPHY,Left,,,686.951
36241,2S,EE,HEPHY,Left,,,677.331
36241,2S,WW,HEPHY,Left,,,690.922
36241,2S,EE,HEPHY,Left,,,676.342
36241,2S,WW,HEPHY,Left,,,688.665
36241,2S,EE,HEPHY,Left,,,674.921
36241,2S,WW,HEPHY,Left,,,688.739
36241,2S,EE,HEPHY,Left,,,674.569
36241,2S,WW,HEPHY,Left,,,685.932
36241,2S,EE,HEPHY,Left,,,671.119
36241,2S,WW,HEPHY,Left,,,683.465
36241,2S,EE,HEPHY,Left,,,675.438
36241,2S,WW,HEPHY,Left,,,680.748
36241,2S,EE,HEPHY,Left,,,669.097
36241,2S,WW,HEPHY,Left,,,680.671
36241,2S,EE,HEPHY,Left,,,668.343
36241,2S,WW,HEPHY,Left,,,677.452
36241,2S,EE,HEPHY,Left,,,668.445
36241,2S,WW,HEPHY,Left,,,677.916
36243,2S,EE, ,Left,26.4,20.002,640.0
36243,2S,EE, ,Left,26.4,20.002,640.0
36243,2S,EE, ,Left,26.4,20.002,640.0
36243,2S,EE, ,Left,26.4,20.002,640.0
36243,2S,EE, ,Left,26.4,20.002,640.0
36243,2S,EE, ,Left,26.4,20.002,640.0
36243,2S,EE, ,Left,26.4,20.002,640.0
36243,2S,EE, ,Left,26.4,20.002,640.0
36243,2S,EE, ,Left,26.4,20.002,640.0
36243,2S,EE, ,Left,26.4,20.002,640.0
36243,2S,EE, ,Left,26.4,20.002,640.0
36243,2S,EE, ,Left,26.4,20.002,640.0
36243,2S,EE, ,Left,26.4,20.002,640.0
36243,2S,EE, ,Left,26.4,20.002,640.0
36243,2S,EE, ,Left,26.4,20.002,640.0
36243,2S,EE, ,Left,26.4,20.002,640.0
36243,2S,EE, ,Left,26.4,20.002,640.0
36245,2S,EE,Brown,Right,20.0,20.002,666.574
36245,2S,EE,Brown,Right,20.0,20.002,666.574
36245,2S,EE,Brown,Right,20.0,20.002,666.574
36245,2S,EE,Brown,Right,20.0,20.002,666.574
36245,2S,EE,Brown,Right,20.0,20.002,666.574
36245,2S,WW,Brown,Right,20.0,20.002,658.955
36245,2S,WW,Brown,Right,20.0,20.002,658.955
36245,2S,WW,Brown,Right,20.0,20.002,658.955
36245,2S,EE,Brown,Right,20.0,20.009,666.299
36245,2S,EE,Brown,Right,20.0,20.009,666.299
36245,2S,EE,Brown,Right,20.0,20.009,666.299
36245,2S,WW,Brown,Right,20.0,20.002,658.035
36245,2S,WW,Brown,Right,20.0,20.002,658.035
36245,2S,EE,Brown,Right,20.0,20.003,664.495
36245,2S,EE,Brown,Right,20.0,20.003,664.495
36245,2S,EE,Brown,Right,20.0,20.003,664.495
36245,2S,EE,Brown,Right,20.0,20.003,664.495
36245,2S,WW,Brown,Right,20.0,20.002,658.829
36245,2S,WW,Brown,Right,20.0,20.002,658.829
36245,2S,EE,Brown,Right,20.0,20.001,660.203
36245,2S,EE,Brown,Right,20.0,20.001,660.203
36245,2S,EE,Brown,Right,20.0,20.001,660.203
36245,2S,EE,Brown,Right,20.0,20.001,660.203
36245,2S,WW,Brown,Right,20.0,20.002,659.054
36245,2S,WW,Brown,Right,20.0,20.002,659.054
36245,2S,EE,Brown,Right,20.0,20.003,659.625
36245,2S,EE,Brown,Right,20.0,20.003,659.625
36245,2S,EE,Brown,Right,20.0,20.003,659.625
36245,2S,EE,Brown,Right,20.0,20.003,659.625
36245,2S,WW,Brown,Right,20.0,20.003,652.71
36245,2S,WW,Brown,Right,20.0,20.003,652.71
36245,2S,EE,Brown,Right,20.0,20.002,662.199
36245,2S,EE,Brown,Right,20.0,20.002,662.199
36245,2S,EE,Brown,Right,20.0,20.002,662.199
36245,2S,EE,Brown,Right,20.0,20.002,662.199
36245,2S,WW,Brown,Right,20.0,20.002,652.148
36245,2S,WW,Brown,Right,20.0,20.002,652.148
36245,2S,EE,Brown,Right,20.0,20.005,659.314
36245,2S,EE,Brown,Right,20.0,20.005,659.314
36245,2S,EE,Brown,Right,20.0,20.005,659.314
36245,2S,EE,Brown,Right,20.0,20.005,659.314
36245,2S,WW,Brown,Right,20.0,20.002,652.43
36245,2S,WW,Brown,Right,20.0,20.002,652.43
36245,2S,EE,Brown,Right,20.0,20.005,659.467
36245,2S,EE,Brown,Right,20.0,20.005,659.467
36245,2S,EE,Brown,Right,20.0,20.005,659.467
36245,2S,EE,Brown,Right,20.0,20.005,659.467
36245,2S,WW,Brown,Right,20.0,20.003,652.798
36245,2S,WW,Brown,Right,20.0,20.003,652.798
36245,2S,EE,Brown,Right,20.0,20.008,657.336
36245,2S,EE,Brown,Right,20.0,20.008,657.336
36245,2S,EE,Brown,Right,20.0,20.008,657.336
36245,2S,EE,Brown,Right,20.0,20.008,657.336
36245,2S,WW,Brown,Right,20.0,20.002,652.892
36245,2S,WW,Brown,Right,20.0,20.002,652.892
35499,PSP,EE,HEPHY,Left,,,650.799
35499,PSP,EE,HEPHY,Right,,,659.801
35499,PSP,WW,HEPHY,Left,,,655.402
35499,PSP,WW,HEPHY,Right,,,655.393
35499,PSP,EE,HEPHY,Left,,,647.888
35499,PSP,EE,HEPHY,Right,,,657.416
35499,PSP,WW,HEPHY,Right,,,650.985
35499,PSP,WW,HEPHY,Left,,,656.259
35499,PSP,EE,HEPHY,Right,,,657.132
35499,PSP,EE,HEPHY,Left,,,648.705
35499,PSP,WW,HEPHY,Right,,,652.342
35499,PSP,WW,HEPHY,Left,,,652.863
35499,PSP,EE,HEPHY,Left,,,651.87
