batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,CACC_PFRD
35722,2S,EE,Brown,Right,20.0,20.052,83.652
35722,2S,WW,Brown,Right,20.0,20.043,84.159
35722,2S,EE,Brown,Right,20.0,20.031,83.793
35722,2S,WW,Brown,Right,20.0,20.033,84.099
35952,2S,EE,Brown,Right,20.0,20.009,85.43
35952,2S,WW,Brown,Right,20.0,20.015,85.813
35952,2S,EE,Brown,Right,20.0,20.067,85.369
35952,2S,WW,Brown,Right,20.0,20.025,85.705
35717,2S,EE,Brown,Right,20.0,20.029,86.942
35717,2S,WW,Brown,Right,20.0,20.033,87.725
35717,2S,EE,Brown,Right,20.0,20.013,86.813
35717,2S,WW,Brown,Right,20.0,20.039,87.544
35717,2S,EE,Brown,Right,20.0,20.083,86.923
35717,2S,WW,Brown,Right,20.0,20.094,87.787
35717,2S,EE,Brown,Right,20.0,20.081,86.812
35717,2S,WW,Brown,Right,20.0,20.081,87.743
35717,2S,EE,Brown,Right,20.0,20.017,87.519
35717,2S,WW,Brown,Right,20.0,20.039,87.899
35717,2S,EE,Brown,Right,20.0,20.092,87.61
35717,2S,WW,Brown,Right,20.0,20.067,88.189
35717,2S,EE,Brown,Right,20.0,20.085,87.472
35717,2S,WW,Brown,Right,20.0,20.094,88.16
35717,2S,EE,Brown,Right,20.0,20.101,87.433
35717,2S,WW,Brown,Right,20.0,20.094,88.251
35717,2S,EE,Brown,Right,20.0,20.055,87.607
35717,2S,WW,Brown,Right,20.0,20.065,88.461
35717,2S,EE,Brown,Right,20.0,20.092,87.89
35717,2S,WW,Brown,Right,20.0,20.094,87.975
35718,2S,EE,Brown,Right,20.0,20.119,85.529
35718,2S,WW,Brown,Right,20.0,20.068,86.26
35718,2S,EE,Brown,Right,20.0,20.004,85.431
35718,2S,WW,Brown,Right,20.0,20.012,86.25
35718,2S,EE,Brown,Right,20.0,20.108,85.705
35718,2S,WW,Brown,Right,20.0,20.118,86.42
