batch_number,Type,Average,std
36704,2S,65542035477.3317,4416524757.338818
36705,2S,65899991259.38595,3581475939.721522
36706,2S,78357882500.0,2656828185.587007
36795,2S,82082038750.0,2190139816.894117
36796,2S,74925026250.0,4410317219.358679
36797,2S,85983781875.0,1988612118.4558797
36798,2S,69854680835.828,2431238279.758162
36799,2S,80788655282.3183,2509708763.8122334
36800,2S,116870575000.0,3441234359.916283
36801,2S,122689605000.0,3028382216.625517
36802,2S,116265210000.0,4313403483.012366
36803,2S,108332021250.0,5633671994.808687
37077,PSS,81302683648.0,
37079,2S,117371200000.0,2252979900.1914487
37081,2S,115187235000.0,3810139728.239704
37083,2S,75955056730.56107,4030802840.203165
37084,2S,99843203634.72095,2262703232.4253573
37085,2S,95049372154.9517,3083520309.7889028
37086,2S,75899136761.43657,3000955827.0871286
37087,2S,80882845625.0,2745002206.138686
37088,2S,73894686875.0,3218069326.706555
37398,PSS,83112337500.0,1813863844.7891674
37399,PSS,77838865000.0,2384919948.4035816
37400,2S,66035136581.818184,2798078814.4284
37401,2S,52305714285.71429,2091233402.290893
37402,2S,74313200554.82184,2527177431.850091
37403,2S,77348123345.43887,2824892395.607219
37404,2S,115283175000.0,1793785711.8029501
37405,2S,113405372727.27272,2643770239.671587
37406,2S,81846517500.0,5334514129.519828
37407,2S,88958300625.0,2336217682.3874097
37408,2S,64377857142.85714,2914259844.20752
37895,PSS,83192396875.0,2119904947.210981
37896,PSS,77206870625.0,2763149331.702191
37897,2S,62335714285.71429,2245431992.9948525
37898,2S,119920522222.22223,1490327642.0484176
37899,2S,92060528750.0,1779637620.8725743
37900,2S,75839212113.74634,2937047076.961959
37901,2S,53028855128.142746,3083286581.816952
37903,2S,59856036875.0,2296693129.3658376
37904,2S,62475714285.71429,2100039246.101089
37905,2S,64885714285.71429,3335389988.2362146
37906,2S,116822524500.0,5308566865.915861
37907,2S,114314855000.0,15513708721.962276
38194,2S,76619317245.07957,2452311602.867631
38195,2S,68668655401.134125,2686711172.494105
38196,2S,63788571428.57143,1525888679.9947982
38197,2S,115597293750.0,1522085074.9191635
38198,2S,73631203071.99251,2427683834.679431
38199,2S,60571428571.42857,2167983313.6700215
38200,2S,109366531250.0,2803424728.843571
38201,2S,68373533651.23294,2447644537.520903
38202,2S,77623891875.0,2171335378.7910295
38212,PSS,65878000625.0,2404267674.3698034
38213,PSS,71739229860.7485,3190871127.6004295
38691,2S,117757656250.0,1071866539.558441
38693,2S,74972516250.0,2353096569.3028836
38694,2S,81640939375.0,2754716625.07167
38695,2S,80462751875.0,3180828501.490807
38696,2S,83388701500.0,2644750015.058187
38711,PSS,76460245509.35782,2221951045.58785
38712,PSS,112229538888.88889,2416790362.5747075
38713,2S,86444251250.0,1805323308.2668762
38714,2S,55314285714.28571,3976128217.801282
38715,2S,58712142857.14286,7826950657.402062
38716,2S,68817271818.32558,1456937995.3771307
38868,2S,116300012500.0,1064374309.3949602
38869,2S,56730714285.71429,8662308685.231771
38870,2S,63082142857.14286,1867557757.6133966
38871,2S,109577587500.0,1682306098.9308693
38872,2S,59582500000.0,2176409504.9721994
38873,2S,79938028000.0,2618545783.8689365
38874,2S,83762160833.33333,2391158256.168901
38875,2S,77387969000.0,3209989585.6163692
38876,2S,62566250000.0,1645365243.863588
38877,2S,67963225397.324066,3338563696.321571
38878,2S,113098625000.0,3686614366.6874986
38879,2S,108228375000.0,2255093435.0191946
