batch_number,Type,Orientation,AGGREGATED_COND_DATA_SET_ID,PART_ID,PART_NAME_LABEL,VFB_V,CACC_PFRD,NOX,TOX_NM,PART_NAME_LABEL.1,KIND_OF_HM_FLUTE_ID,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_CONFIG_ID,KIND_OF_HM_SET_ID,PROCEDURE_TYPE,EQUIPMENT,WAITING_TIME_S,AC_FREQ_HZ,AC_AMPL_V,TEMP_SET_DEGC,AV_TEMP_DEGC,FILE_NAME,Location
35953,2S,WW,713961,53211,35953_035_2-S_HM_WW,-2.879,85.765,114826300000.0,669.697,35953_035_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Right,MOS capacitor (HV Src),PQC Flute 1 Pos1,0.1,10000.0,0.25,,,HPK_VPX35953_035_2-S_HM_WR__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-09T07-13-06.json,HEPHY
35953,2S,EE,705041,53238,35953_040_2-S_HM_EE,-2.827,86.345,113914000000.0,665.195,35953_040_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Left,MOS capacitor (HV Src),PQC Flute 1 Pos2,0.1,10000.0,0.25,,,HPK_VPX35953_040_2-S_HM_EL__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-08T17-08-28.json,HEPHY
35953,2S,EE,707181,53238,35953_040_2-S_HM_EE,-2.881,85.591,114650700000.0,671.055,35953_040_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Right,MOS capacitor (HV Src),PQC Flute 1 Pos2,0.1,10000.0,0.25,,,HPK_VPX35953_040_2-S_HM_ER__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-12T15-50-18.json,HEPHY
35953,2S,WW,708921,53251,35953_040_2-S_HM_WW,-2.874,85.499,114305400000.0,671.777,35953_040_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Left,MOS capacitor (HV Src),PQC Flute 1 Pos1,0.1,10000.0,0.25,,,HPK_VPX35953_040_2-S_HM_WL__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-08T13-31-51.json,HEPHY
35953,2S,WW,714581,53251,35953_040_2-S_HM_WW,-2.883,85.787,114985100000.0,669.525,35953_040_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Right,MOS capacitor (HV Src),PQC Flute 1 Pos1,0.1,10000.0,0.25,,,HPK_VPX35953_040_2-S_HM_WR__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-08T10-22-00.json,HEPHY
35953,2S,EE,696041,53270,35953_043_2-S_HM_EE,-2.867,86.239,115078300000.0,666.018,35953_043_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Left,MOS capacitor (HV Src),PQC Flute 1 Pos4,0.1,10000.0,0.25,,,HPK_VPX35953_043_2-S_HM_EL__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-12T17-50-28.json,HEPHY
35953,2S,EE,700861,53270,35953_043_2-S_HM_EE,-2.949,85.471,116654000000.0,672.001,35953_043_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Right,MOS capacitor (HV Src),PQC Flute 1 Pos4,0.1,10000.0,0.25,,,HPK_VPX35953_043_2-S_HM_ER__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-09T01-26-45.json,HEPHY
35953,2S,WW,699401,53273,35953_043_2-S_HM_WW,-2.93,86.309,117211600000.0,665.477,35953_043_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Right,MOS capacitor (HV Src),PQC Flute 1 Pos3,0.1,10000.0,0.25,,,HPK_VPX35953_043_2-S_HM_WR__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-08T19-21-45.json,HEPHY
35953,2S,WW,703081,53273,35953_043_2-S_HM_WW,-2.973,85.75,117817300000.0,669.815,35953_043_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Left,MOS capacitor (HV Src),PQC Flute 1 Pos3,0.1,10000.0,0.25,,,HPK_VPX35953_043_2-S_HM_WL__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-08T23-40-37.json,HEPHY
35957,2S,EE,678141,58630,35957_001_2-S_HM_EE,-2.883,85.67,114804900000.0,670.436,35957_001_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Left,MOS capacitor (HV Src),PQC Flute 1 Pos2,0.1,10000.0,0.25,,,HPK_VPX35957_001_2-S_HM_EL__PQC_Flute_1_MOS_capacitor_HV_Source_2021-05-03T18-16-48.json,HEPHY
