batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,NOX
34359,2S,WW,Brown,Left,20.0,20.103,75013710000.0
34359,2S,EE,Brown,Right,20.0,20.003,83389020000.0
34359,2S,WW,Brown,Right,20.0,20.002,85386060000.0
34359,2S,EE,Brown,Right,20.0,20.011,82864470000.0
34359,2S,WW,Brown,Right,20.0,20.003,85103360000.0
34359,2S,EE,Brown,Left,20.0,20.011,76814830000.0
34359,2S,WW,Brown,Right,20.0,20.004,77905280000.0
34359,2S,EE,Brown,Left,20.0,20.033,74142520000.0
34359,2S,WW,Brown,Right,20.0,20.003,78551730000.0
34359,2S,EE,Brown,Right,20.0,20.002,80933760000.0
34359,2S,WW,Brown,Right,20.0,20.004,81455770000.0
34359,2S,EE,Brown,Right,20.0,20.009,79873730000.0
34359,2S,WW,Brown,Right,20.0,20.002,82251600000.0
34343,PSS,EE,Brown,Right,20.0,20.021,81546220000.0
34343,PSS,WW,Brown,Right,20.0,20.009,87046960000.0
34343,PSS,EE,Brown,Right,20.0,20.068,83177440000.0
34343,PSS,WW,Brown,Right,20.0,20.038,85050070000.0
34343,PSS,EE,Brown,Right,20.0,20.063,83666390000.0
34343,PSS,WW,Brown,Right,20.0,20.021,86344680000.0
34343,PSS,EE,Brown,Right,20.0,20.006,83040240000.0
34343,PSS,WW,Brown,Right,20.0,20.01,86213580000.0
34343,PSS,EE,Brown,Right,20.0,20.003,82323720000.0
34343,PSS,WW,Brown,Right,20.0,20.002,86266640000.0
34343,PSS,EE,Brown,Left,20.0,20.085,85558480000.0
34343,PSS,WW,Brown,Right,20.0,20.046,87390230000.0
34343,PSS,EE,Brown,Right,20.0,20.005,83115100000.0
34343,PSS,WW,Brown,Right,20.0,20.015,86333650000.0
34343,PSS,EE,Brown,Right,20.0,20.061,85912370000.0
34343,PSS,WW,Brown,Right,20.0,20.023,88739680000.0
34343,PSS,EE,Brown,Right,20.0,20.031,83908610000.0
34343,PSS,WW,Brown,Right,20.0,20.067,69509340000.0
34343,PSS,EE,Brown,Right,20.0,20.127,85810470000.0
34343,PSS,WW,Brown,Right,20.0,20.14,86908110000.0
34343,PSS,EE,Brown,Right,20.0,20.019,76861490000.0
34343,PSS,WW,Brown,Right,20.0,20.013,80865820000.0
34343,PSS,EE,Brown,Right,20.0,20.034,77469950000.0
34343,PSS,EE,Brown,Right,20.0,20.055,79592020000.0
34343,PSS,WW,Brown,Right,20.0,20.067,82784760000.0
34343,PSS,EE,Brown,Left,20.0,20.141,82775730000.0
34343,PSS,WW,Brown,Right,20.0,20.117,83135760000.0
34343,PSS,WW,Brown,Left,20.0,20.155,76660700000.0
34343,PSS,EE,Brown,Right,20.0,20.035,80925310000.0
34343,PSS,WW,Brown,Left,20.0,20.083,76273800000.0
34343,PSS,WW,Brown,Right,20.0,20.081,82596720000.0
34343,PSS,EE,Brown,Right,20.0,20.153,81977850000.0
34343,PSS,WW,Brown,Right,20.0,20.033,84137110000.0
35719,2S,EE,Perugia,Left,20.0,20.0,66914418249.047
35719,2S,WW,Perugia,Left,20.0,20.0,66523626594.694
35719,2S,EE,Perugia,Left,20.0,20.0,66971219119.391
35719,2S,WW,Perugia,Left,20.0,20.0,66922690887.787
35719,2S,WW,Perugia,Left,20.0,20.0,66598051096.066
35719,2S,WW,Perugia,Left,20.0,20.0,65447858387.31
35719,2S,WW,Perugia,Left,20.0,20.0,69271767135.621
35719,2S,EE,Perugia,Left,20.0,20.0,68492156992.93
35719,2S,WW,Perugia,Left,20.0,20.0,68309731518.373
35719,2S,EE,Perugia,Left,20.0,20.0,64257465811.957
35719,2S,WW,Perugia,Left,20.0,20.0,64724158169.874
35719,2S,EE,Perugia,Left,20.0,20.0,63889689740.177
35719,2S,WW,Perugia,Left,20.0,20.0,64546057745.407
35719,2S,EE,Perugia,Left,20.0,20.0,64632756489.938
35719,2S,WW,Perugia,Left,20.0,20.0,64821381481.789
35719,2S,EE,Perugia,Left,20.0,20.0,65521384137.564
35713,PSS,EE,Perugia,Left,20.0,20.0,77636273355.349
35713,PSS,WW,Perugia,Left,20.0,20.0,76567701878.871
35713,PSS,WW,Perugia,Left,20.0,20.0,76755011718.046
35713,PSS,EE,Perugia,Left,20.0,20.0,78100928362.262
35713,PSS,WW,Perugia,Left,20.0,20.0,78261098574.951
35713,PSS,EE,Perugia,Left,20.0,20.0,80140789178.631
35713,PSS,WW,Perugia,Left,20.0,20.0,80057325078.373
35713,PSS,EE,Perugia,Left,20.0,20.0,76814423650.624
35713,PSS,WW,Perugia,Left,20.0,20.0,75075895110.68
35713,PSS,EE,Perugia,Left,20.0,20.0,70474353545.659
35713,PSS,WW,Perugia,Left,20.0,20.0,70118269370.786
35713,PSS,EE,Perugia,Left,20.0,20.0,71619279814.51
35713,PSS,WW,Perugia,Left,20.0,20.0,71173027811.144
35713,PSS,EE,Perugia,Left,20.0,20.0,71321580852.49
35722,2S,EE,Brown,Right,20.0,20.004,74086020000.0
35722,2S,WW,Brown,Right,20.0,20.009,76778450000.0
35722,2S,EE,Brown,Right,20.0,20.003,72829740000.0
35722,2S,WW,Brown,Right,20.0,20.003,76295850000.0
35722,2S,EE,Brown,Right,20.0,20.044,71407390000.0
35722,2S,WW,Brown,Right,20.0,20.055,74613440000.0
35722,2S,EE,Brown,Right,20.0,20.026,70238540000.0
35722,2S,WW,Brown,Right,20.0,20.031,73757560000.0
35722,2S,EE,Brown,Right,20.0,20.043,67552200000.0
35722,2S,WW,Brown,Right,20.0,20.014,72943950000.0
35722,2S,EE,Brown,Right,20.0,20.001,68614630000.0
35722,2S,WW,Brown,Right,20.0,20.005,72423510000.0
35722,2S,EE,Brown,Right,20.0,20.052,65729420000.0
35722,2S,WW,Brown,Right,20.0,20.043,70795660000.0
35722,2S,EE,Brown,Right,20.0,20.031,67433770000.0
35722,2S,WW,Brown,Right,20.0,20.033,70721710000.0
35952,2S,EE,Brown,Right,20.0,20.009,80221560000.0
35952,2S,WW,Brown,Right,20.0,20.015,82733360000.0
35952,2S,EE,Brown,Right,20.0,20.067,80400690000.0
35952,2S,WW,Brown,Right,20.0,20.025,84026760000.0
35717,2S,EE,Brown,Right,20.0,20.029,74245180000.0
35717,2S,WW,Brown,Right,20.0,20.033,77847730000.0
35717,2S,EE,Brown,Right,20.0,20.013,75384160000.0
35717,2S,WW,Brown,Right,20.0,20.039,77540960000.0
35717,2S,EE,Brown,Right,20.0,20.083,77118990000.0
35717,2S,WW,Brown,Right,20.0,20.094,79267720000.0
35717,2S,EE,Brown,Right,20.0,20.081,76491140000.0
35717,2S,WW,Brown,Right,20.0,20.081,79745040000.0
35717,2S,EE,Brown,Right,20.0,20.017,76554810000.0
35717,2S,WW,Brown,Right,20.0,20.039,79553880000.0
35717,2S,EE,Brown,Right,20.0,20.092,73520040000.0
35717,2S,WW,Brown,Right,20.0,20.067,75658400000.0
35717,2S,EE,Brown,Right,20.0,20.085,73261690000.0
35717,2S,WW,Brown,Right,20.0,20.094,76208210000.0
35717,2S,EE,Brown,Right,20.0,20.101,72168190000.0
35717,2S,WW,Brown,Right,20.0,20.094,75467320000.0
35717,2S,EE,Brown,Right,20.0,20.055,74865990000.0
35717,2S,WW,Brown,Right,20.0,20.065,77010870000.0
35717,2S,EE,Brown,Right,20.0,20.092,75308400000.0
35717,2S,WW,Brown,Right,20.0,20.094,78391250000.0
35718,2S,EE,Brown,Right,20.0,20.119,75465710000.0
35718,2S,WW,Brown,Right,20.0,20.068,77320550000.0
35718,2S,EE,Brown,Right,20.0,20.004,75563980000.0
35718,2S,WW,Brown,Right,20.0,20.012,78755210000.0
35718,2S,EE,Brown,Right,20.0,20.108,77610550000.0
35718,2S,WW,Brown,Right,20.0,20.118,78925890000.0
35718,2S,EE,Brown,Right,20.0,20.042,77895200000.0
35718,2S,WW,Brown,Right,20.0,20.034,79661990000.0
35718,2S,EE,Brown,Right,20.0,20.058,72225620000.0
35718,2S,WW,Brown,Right,20.0,20.068,73756230000.0
35718,2S,EE,Brown,Right,20.0,20.027,70066770000.0
35718,2S,WW,Brown,Right,20.0,20.058,74198310000.0
35718,2S,EE,Brown,Right,20.0,20.101,71796850000.0
35718,2S,WW,Brown,Right,20.0,20.105,74523960000.0
35718,2S,EE,Brown,Right,20.0,20.093,74863910000.0
35718,2S,WW,Brown,Right,20.0,20.094,77039850000.0
35953,2S,WW,HEPHY,Right,,,115869900000.0
35953,2S,WW,HEPHY,Left,,,112577600000.0
35953,2S,EE,HEPHY,Right,,,115328400000.0
35953,2S,EE,HEPHY,Left,,,115794800000.0
35953,2S,WW,HEPHY,Left,,,114472900000.0
35953,2S,WW,HEPHY,Right,,,117207200000.0
35953,2S,WW,HEPHY,Right,,,118080900000.0
35953,2S,WW,HEPHY,Left,,,116548800000.0
35953,2S,WW,HEPHY,Right,,,118536300000.0
35953,2S,WW,HEPHY,Left,,,116135000000.0
35953,2S,EE,HEPHY,Left,,,118528400000.0
35953,2S,EE,HEPHY,Right,,,116670300000.0
35953,2S,WW,HEPHY,Right,,,119182500000.0
35953,2S,WW,HEPHY,Left,,,112709400000.0
35952,2S,EE,Brown,Right,20.0,20.059,81075170000.0
35952,2S,WW,Brown,Right,20.0,20.068,84875420000.0
35952,2S,EE,Brown,Right,20.0,20.066,83185390000.0
35952,2S,WW,Brown,Right,20.0,20.065,86186590000.0
35952,2S,EE,Brown,Right,20.0,20.004,81232770000.0
35952,2S,WW,Brown,Right,20.0,20.013,85970830000.0
35952,2S,EE,Brown,Right,20.0,20.007,77494060000.0
35952,2S,WW,Brown,Right,20.0,20.033,80547430000.0
35952,2S,EE,Brown,Right,20.0,20.056,77229470000.0
35952,2S,WW,Brown,Right,20.0,20.069,80534700000.0
35952,2S,EE,Brown,Right,20.0,20.069,78401890000.0
35952,2S,WW,Brown,Right,20.0,20.064,83296220000.0
