batch_number,Average,std
38713,665.4406875,3.772527724108454
38714,651.915,4.561968215584139
38715,652.1934285714286,4.254853043006569
38868,671.187125,6.556883059045691
38869,649.3988571428572,4.468977113340391
38870,688.3187142857142,6.62174503410567
38871,693.516375,5.037987877119183
38872,679.8575,6.503126350712675
38873,683.0755,5.332371647671323
38874,685.1565,5.11603147868631
38875,678.5887,3.4990236114283597
38876,686.37125,6.416036777370568
38878,704.5100666666666,6.855340602840404
38879,697.6218749999999,4.259564827146844
38880,701.4135,4.872578896231422
38881,675.6395,1.690692313817089
38882,705.387,4.66820278380977
38883,689.6268571428571,5.737641982250503
38884,682.8670714285714,7.178201193831317
38885,691.7309375,4.558672875197826
39479,680.8451428571428,5.835054081314752
39480,728.7125625,4.823982793898982
39481,707.6816249999999,4.128551915220013
39482,709.5820625,4.964134922538541
39483,702.6674375,4.398568160492657
39484,687.3155714285714,5.948868833830202
39486,689.95575,6.276065896191217
39487,667.1113571428571,3.3745301699236574
39547,681.5062857142857,4.993023508681027
39548,692.0256,5.238501236040711
39562,715.7747,5.799521895902491
39563,701.5325625,3.5033526032216846
39564,683.9125,4.0233264730929506
39565,693.9598333333333,5.731856479097284
39566,681.2280625,3.2679037821158246
39567,698.233625,6.866800845371879
39569,698.6279000000001,6.343360053368127
39570,692.21325,2.663204758056192
39571,690.6816249999999,9.431432082404049
39572,687.2991666666667,4.863604482959766
41352,687.120125,4.360586049653054
41354,689.1739166666666,9.764919665994862
41356,687.3771428571429,5.134818008346127
41357,683.3732857142858,4.411704036756822
41727,694.8761875,3.7493444265853437
41729,682.4443125,3.624713390393799
41730,683.067590909091,5.011705058779308
41731,682.7617333333333,3.1468832740077497
41732,685.7934285714285,4.6987154858462
41733,694.8859375,7.120121510842805
41734,699.1053125,5.543679147987711
41735,694.08325,5.103844805634283
41740,677.0786,4.303129710485527
41741,703.8133571428572,7.1277525376583935
41744,698.597375,4.620820762231165
41745,702.85825,5.885412276694536
41747,705.0659375,4.817221778421616
41748,688.3172142857142,3.580606201077649
41749,671.6757,10.219049415571623
41750,677.5407,4.628201607081217
41751,684.717,5.02071724321972
41752,692.292625,4.341015747111088
41753,691.0454375,5.195950948815838
41754,679.6326666666668,2.8034443857944487
41755,688.5985625,5.040383014133602
41756,675.8214285714286,2.7104119673892537
41757,686.5392142857143,5.73607266044754
41758,684.0690714285714,5.571152835871145
41759,699.4709375,6.44815242239978
42240,688.4173125,4.797085555748063
42241,690.8904,4.490086230563381
42242,692.04475,4.151725175554519
42243,712.1553333333334,5.855857490784803
42244,684.768875,4.010022524874407
42247,686.6171875,5.8942860152156635
42249,689.536625,7.942770388850472
42251,674.917,7.974618439148039
42252,703.0685625,6.282958262567614
42253,680.0353,2.8365983560125954
42254,685.166052631579,5.145256061803012
42255,676.2758,3.7566510440373055
42256,710.1120625,5.383665683884314
42257,700.5346842105263,3.5598475006761467
42648,700.0506499999999,6.732446441047899
42650,706.2987857142858,3.5746339711182107
42653,714.7713125,6.265807473569009
42654,709.067,3.9312736312340872
42655,701.6955625,13.275462668491073
42656,690.36875,4.733801044967307
42657,677.0147857142857,3.6978329241820838
42658,682.4707857142857,4.9894523698046775
42659,678.1572857142856,3.3840553375310343
42900,716.28735,5.941027638158918
42901,682.6237142857143,5.123901194456123
42902,700.4096875,3.591206922818615
42903,686.6858125,4.504115573099061
42904,701.739875,3.241467237224568
42905,685.4190625,19.250038117602962
42906,674.7264285714285,4.99005549089365
42907,672.0558571428571,3.828822250271695
42908,691.4763125,3.184309108085022
42909,689.267375,3.065902844187977
42910,693.4121875,4.863512903498908
42911,694.5083125,11.08353485562405
42912,672.12175,4.251102609911953
